Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,8169928000000.000000,-6626049000000.000000,1543879000000.000000,-951042000000.000000,-412538000000.000000,-538504000000.000000,,-951042000000.000000,592837000000.000000,-1099279000000.000000,11814000000.000000,-673195000000.000000,-407113000000.000000,-30785000000.000000,-1099279000000.000000,-506442000000.000000,99751000000.000000,-406691000000.000000,-491000000.000000,-407182000000.000000,,,-407182000000.000000,-406691000000.000000,-491000000.000000,-407182000000.000000,,,,
12M 2009,6832754000000.000000,-5996638000000.000000,836116000000.000000,-1025882000000.000000,-449312000000.000000,-576570000000.000000,,-1025882000000.000000,-189766000000.000000,-14013000000.000000,6291000000.000000,563819000000.000000,-466702000000.000000,-117421000000.000000,-14013000000.000000,-203779000000.000000,-13376000000.000000,-217155000000.000000,-16000000.000000,-217171000000.000000,,,-217171000000.000000,-217155000000.000000,-16000000.000000,-217171000000.000000,,,,
12M 2010,6243876000000.000000,-5584204000000.000000,659672000000.000000,-1010254000000.000000,-470617000000.000000,-539637000000.000000,,-1010254000000.000000,-350582000000.000000,-380803000000.000000,3860000000.000000,151811000000.000000,-410331000000.000000,-126143000000.000000,-380803000000.000000,-731385000000.000000,95771000000.000000,-635614000000.000000,132000000.000000,-635482000000.000000,,,-635482000000.000000,-635614000000.000000,132000000.000000,-635482000000.000000,,,,
12M 2011,7529439000000.000000,-6835761000000.000000,693678000000.000000,-968276000000.000000,-448193000000.000000,-520083000000.000000,,-968276000000.000000,-274598000000.000000,-1959789000000.000000,3157000000.000000,-42303000000.000000,-398820000000.000000,-1521823000000.000000,-1959789000000.000000,-2234387000000.000000,198184000000.000000,-2036203000000.000000,,-2036203000000.000000,-2020000000.000000,-2038223000000.000000,-2036203000000.000000,-2036125000000.000000,-78000000.000000,-2036203000000.000000,-2038223000000.000000,-2038145000000.000000,-78000000.000000,-2038223000000.000000
12M 2012,6835813000000.000000,-5870040000000.000000,965773000000.000000,-974033000000.000000,-430626000000.000000,-543407000000.000000,,-974033000000.000000,-8260000000.000000,-344924000000.000000,2985000000.000000,-288709000000.000000,-300082000000.000000,240882000000.000000,-344924000000.000000,-353184000000.000000,-82797000000.000000,-435981000000.000000,,-435981000000.000000,-348000000.000000,-436329000000.000000,-435981000000.000000,-435894000000.000000,-87000000.000000,-435981000000.000000,-436329000000.000000,-436242000000.000000,-87000000.000000,-436329000000.000000
12M 2013,7677823000000.000000,-6532953000000.000000,1144870000000.000000,-1939285000000.000000,-457658000000.000000,-603243000000.000000,-878384000000.000000,-1939285000000.000000,-794415000000.000000,1751378000000.000000,2273000000.000000,-272757000000.000000,-500977000000.000000,2522839000000.000000,1751378000000.000000,956963000000.000000,241074000000.000000,1198037000000.000000,,1198037000000.000000,,1198037000000.000000,1198037000000.000000,1200315000000.000000,-2278000000.000000,1198037000000.000000,1198037000000.000000,1200315000000.000000,-2278000000.000000,1198037000000.000000
12M 2014,9454661000000.000000,-7996894000000.000000,1457767000000.000000,-1291069000000.000000,-552752000000.000000,-654187000000.000000,-84130000000.000000,-1291069000000.000000,166698000000.000000,-538914000000.000000,2201000000.000000,-102902000000.000000,-217867000000.000000,-220346000000.000000,-538914000000.000000,-372216000000.000000,-17691000000.000000,-389907000000.000000,,-389907000000.000000,,-389907000000.000000,-389907000000.000000,-389410000000.000000,-497000000.000000,-389907000000.000000,-389907000000.000000,-389410000000.000000,-497000000.000000,-389907000000.000000
12M 2015,8975064000000.000000,-7513836000000.000000,1461228000000.000000,-1442886000000.000000,-606536000000.000000,-714975000000.000000,-121375000000.000000,-1442886000000.000000,18342000000.000000,-892486000000.000000,2473000000.000000,-354634000000.000000,-357421000000.000000,-182904000000.000000,-892486000000.000000,-874144000000.000000,-328287000000.000000,-1202431000000.000000,,-1202431000000.000000,2276151000000.000000,1073720000000.000000,-1202431000000.000000,-1200383000000.000000,-2048000000.000000,-1202431000000.000000,1073720000000.000000,1074192000000.000000,-472000000.000000,1073720000000.000000
12M 2016,8597208000000.000000,-7174254000000.000000,1422954000000.000000,-2578442000000.000000,-548845000000.000000,-685427000000.000000,-1344170000000.000000,-2578442000000.000000,-1155488000000.000000,-569914000000.000000,2893000000.000000,5689000000.000000,-361064000000.000000,-217432000000.000000,-569914000000.000000,-1725402000000.000000,-271636000000.000000,-1997038000000.000000,,-1997038000000.000000,195540000000.000000,-1801498000000.000000,-1997038000000.000000,-1987884000000.000000,-9154000000.000000,-1997038000000.000000,-1801498000000.000000,-1792528000000.000000,-8970000000.000000,-1801498000000.000000
12M 2017,6575570000000.000000,-5414679000000.000000,1160891000000.000000,-2192870000000.000000,-386561000000.000000,-552102000000.000000,-1254207000000.000000,-2192870000000.000000,-1031979000000.000000,-1480200000000.000000,2727000000.000000,-46366000000.000000,-385315000000.000000,-1051246000000.000000,-1480200000000.000000,-2512179000000.000000,-127241000000.000000,-2639420000000.000000,,-2639420000000.000000,406499000000.000000,-2232921000000.000000,-2639420000000.000000,-2636278000000.000000,-3142000000.000000,-2639420000000.000000,-2232921000000.000000,-2230046000000.000000,-2875000000.000000,-2232921000000.000000
