Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.66,84.43,0.67,83.48,"1,189 B","3,709 B","4,897 B","4,649 B","2,358 B"
12M 2009,0.76,79.33,0.77,78.40,"1,170 B","3,216 B","4,386 B","4,159 B","1,893 B"
12M 2010,0.83,63.62,0.84,62.73,"3,996 B",207 B,"4,203 B","3,961 B","(1,493 B)"
12M 2011,4.00,13.26,4.00,13.24,"4,234 B",189 B,"4,424 B","4,255 B","(2,672 B)"
12M 2012,21.37,2.48,21.54,2.46,"4,435 B",189 B,"4,624 B","4,504 B","(2,775 B)"
12M 2013,1.56,32.14,1.56,32.14,"1,635 B","2,464 B","4,099 B","3,913 B",649 B
12M 2014,4.58,22.51,4.58,22.51,"1,478 B","2,818 B","4,296 B","4,131 B",400 B
12M 2015,1.02,48.83,1.02,48.83,"1,809 B","3,413 B","5,222 B","5,073 B",1 B
12M 2016,11.01,4.54,11.01,4.54,"1,428 B","3,673 B","5,101 B","4,999 B","(1,149 B)"
12M 2017,-1.14,-43.85,-1.14,-43.85,"6,477 B",189 B,"6,665 B","6,123 B","(5,943 B)"
12M 2018,4.43,11.29,4.43,11.29,"1,797 B","2,304 B","4,101 B","3,986 B","(1,233 B)"
12M 2019,9.09,5.50,9.09,5.50,"3,941 B",213 B,"4,154 B","4,025 B","(3,503 B)"
12M 2020,4.22,11.84,4.22,11.84,"3,538 B",207 B,"3,745 B","3,443 B","(3,383 B)"
12M 2021,1.98,47.99,1.98,47.99,"1,190 B","1,248 B","2,438 B","2,340 B",(236 B)
12M 2022,0.99,53.37,0.99,53.37,"1,101 B","1,416 B","2,517 B","2,439 B",181 B
12M 2023,0.89,57.35,0.89,57.35,"1,374 B",960 B,"2,335 B","2,260 B",146 B
12M 2024,0.84,59.86,0.84,59.86,"1,405 B",520 B,"1,925 B","1,826 B",64 B
