Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Premi,Penerimaan Klaim Reasuransi,Tagihan Pajak,Pembayaran Klaim,Pembayaran Komisi - Bersih,Pembayaran Premi Reasuransi,Pembayaran Beban Umum Dan Administrasi,Penerimaan (Pembayaran) Lain-Lain - Bersih,Penerimaan Bunga,Penerimaan (Pembayaran) Pajak-Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Investasi,Hasil Penjualan Dan Pencairan Investasi,Perolehan Perangkat Lunak,"Penjualan Entitas Anak, Setelah Dikurangi Pelepasan Kas",Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Hasil Penerimaan Sewa,Penerimaan Dividen,Uang Muka Pembelian Aset Tetap,Pembelian Dimuka Aset Tetap Tak Berwujud,Penjualan Waran,Penerimaan Reksadana,Penerimaan (Pengeluaran) Lainnya,Penerimaan Bunga,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Pembayaran Utang Aset Sewaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,33343389171.000000,236356873566.000000,43781551444.000000,,-142811252068.000000,-13063618808.000000,-66509573850.000000,-24729526538.000000,42647306.000000,,276288119.000000,33343389171.000000,-26577067761.000000,-247192575140.000000,208745410691.000000,-114859060.000000,,-742696000.000000,210802000.000000,,4405793563.000000,,,,,,8111056185.000000,,-26577067761.000000,-3796194663.000000,-3148207649.000000,-647987014.000000,-3796194663.000000,2970126747.000000,875817048.000000,,3845943795.000000
12M 2009,-19510172879.000000,239696825103.000000,37885961905.000000,,-169865840886.000000,-19064803996.000000,-67621549181.000000,-42383460139.000000,44838250.000000,,1797856065.000000,-19510172879.000000,20718035307.000000,-180746408253.000000,188617622256.000000,,,-3814270190.000000,1533402000.000000,,5644167448.000000,,,,,,9483522046.000000,,20718035307.000000,-3542209144.000000,-2998650000.000000,-543559144.000000,-3542209144.000000,-2334346716.000000,3845943795.000000,,1511597079.000000
12M 2010,-1806743192.000000,308133926227.000000,30434022994.000000,,-189401416398.000000,-29678094388.000000,-73115890601.000000,-40150527335.000000,58098045.000000,,-8086861736.000000,-1806743192.000000,8084549455.000000,-443440662250.000000,405386435690.000000,-80771486.000000,,-5743066349.000000,589757500.000000,,40124986979.000000,,,,,,11247869371.000000,,8084549455.000000,-4564175439.000000,-4497975000.000000,-66200439.000000,-4564175439.000000,1713630824.000000,1511597079.000000,,3225227903.000000
12M 2011,27508392824.000000,420382700719.000000,32519651136.000000,,-240839524515.000000,-45115189747.000000,-85158864416.000000,-44501961769.000000,82477187.000000,,-9860895771.000000,27508392824.000000,-8303520727.000000,-633790160000.000000,571369600000.000000,-259033670.000000,,-10770750184.000000,144555000.000000,,49799228784.000000,,,,,,15203039343.000000,,-8303520727.000000,-17007621650.000000,-17007621650.000000,,-17007621650.000000,2197250447.000000,3225227903.000000,,5422478350.000000
12M 2012,53280541797.000000,509352675049.000000,34629237204.000000,,-280702648161.000000,-58518654517.000000,-86290944843.000000,-61705625148.000000,75582759.000000,,-3559080546.000000,53280541797.000000,-33656139005.000000,-654157369399.000000,606023713971.000000,-348462424.000000,,-14717151199.000000,3127308808.000000,121161420.000000,12385714088.000000,,,,,,13908945730.000000,,-33656139005.000000,-13048591350.000000,-13048591350.000000,,-13048591350.000000,6575811442.000000,5422478350.000000,,11998289792.000000
12M 2013,22566084216.000000,676486483286.000000,137221810413.000000,,-526927119896.000000,-78807737537.000000,-106570867446.000000,-60410761890.000000,119290993.000000,,-18545013707.000000,22566084216.000000,-7058730287.000000,-164321875210.000000,136930131692.000000,-327155571.000000,,-14903697740.000000,1889607363.000000,1056713978.000000,32470476505.000000,,,,,,147068696.000000,,-7058730287.000000,-13493965500.000000,-13493965500.000000,,-13493965500.000000,2013388429.000000,11998289792.000000,,14011678221.000000
12M 2014,-134298752858.000000,920144158071.000000,177949973353.000000,,-651000994341.000000,-85529398254.000000,-240219058985.000000,-74995370805.000000,-155901978860.000000,,-24746083037.000000,-134298752858.000000,159072018706.000000,-107796646697.000000,215433001673.000000,-1325155570.000000,,-6325167751.000000,2828264356.000000,1284916720.000000,34764236700.000000,,,,,,20208569275.000000,,159072018706.000000,-25041319800.000000,-25041319800.000000,,-25041319800.000000,-268053952.000000,14665444230.000000,-2618797303.000000,11778592975.000000
12M 2015,750912904.000000,1150029710222.000000,131333392112.000000,,-748094786827.000000,-69968382065.000000,-300520605684.000000,-141342942054.000000,-122404765.000000,,-20563068035.000000,750912904.000000,20139053069.000000,-791611138707.000000,773201833620.000000,-1090414403.000000,,-8990311912.000000,2494874742.000000,667359050.000000,19197831060.000000,,,,1383333333.000000,,24885686286.000000,,20139053069.000000,-11988012000.000000,-11988012000.000000,,-11988012000.000000,8901953973.000000,11778592974.000000,9508785273.000000,30189332220.000000
12M 2016,-23850676069.000000,1232841361681.000000,149636649559.000000,,-851961057513.000000,-73668329078.000000,-335778829161.000000,-138740504110.000000,-3089401947.000000,,-3090565500.000000,-23850676069.000000,45952034792.000000,-1193237339210.000000,1212565809267.000000,-7006112683.000000,,-6503499961.000000,5389121092.000000,541525978.000000,15093486811.000000,,,,,,19109043498.000000,,45952034792.000000,-24744967500.000000,-24744967500.000000,,-24744967500.000000,-2643608777.000000,20680546948.000000,-346313569.000000,17690624602.000000
12M 2017,128680346724.000000,1428534310279.000000,135446210736.000000,,-861886060450.000000,-95249753343.000000,-360506310249.000000,-119886750134.000000,2463680665.000000,,-234980780.000000,128680346724.000000,-96622087452.000000,-1043952041259.000000,918506403038.000000,-712115115.000000,,-4731323076.000000,499971779.000000,1200000000.000000,12375771359.000000,,,,,,20191245822.000000,,-96622087452.000000,-25487675000.000000,-25487675000.000000,,-25487675000.000000,6570584272.000000,17690624602.000000,14056621.000000,24275265495.000000
