Period,Total Pendapatan,Premi Bruto,Others,Total Premi Bruto,Premi Reasuransi,Others,Total Premi Reasuransi,Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Pendapatan Komisi,Hasil Investasi,Others,Total Pendapatan,Total Beban Usaha,Klaim Bruto,Others,Total Klaim Bruto,Klaim Reasuransi,Others,Total Klaim Reasuransi,Perubahan Bersih Estimasi Liabilitas Klaim,Beban Komisi,Beban Underwriting,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,174671479994.000000,,224628816296.000000,224628816296.000000,,-67439013753.000000,-67439013753.000000,-912645839.000000,,18394323290.000000,,174671479994.000000,-163523254282.000000,,-142750006785.000000,-142750006785.000000,,32133596380.000000,32133596380.000000,-2448843204.000000,-12358576319.000000,,-38099424354.000000,-163523254282.000000,11148225712.000000,3647173916.000000,14795399628.000000,-2701346350.000000,,,-2701346350.000000,12094053278.000000,,,,,12094053278.000000,12094053278.000000,,12094053278.000000,,,,
12M 2009,202011922225.000000,,250146168429.000000,250146168429.000000,,-69319007987.000000,-69319007987.000000,-8464461029.000000,,29649222812.000000,,202011922225.000000,-180024115778.000000,,-170434404939.000000,-170434404939.000000,,41876408434.000000,41876408434.000000,10703763846.000000,-19097985453.000000,,-43071897666.000000,-180024115778.000000,21987806447.000000,2600432872.000000,24588239319.000000,-1461061204.000000,,,-1461061204.000000,23127178115.000000,,,,,23127178115.000000,23127178115.000000,,23127178115.000000,,,,
12M 2010,321439894566.000000,,319180468870.000000,319180468870.000000,,-76073801021.000000,-76073801021.000000,-17404884864.000000,,95738111581.000000,,321439894566.000000,-252062238118.000000,,-190214264620.000000,-190214264620.000000,,37208566512.000000,37208566512.000000,-23276818708.000000,-29556801392.000000,,-46222919910.000000,-252062238118.000000,69377656448.000000,382861404.000000,69760517852.000000,-15701762035.000000,,,-15701762035.000000,54058755817.000000,,,,,54058755817.000000,54058755817.000000,,54058755817.000000,,,,
12M 2011,355829206778.000000,,411639439574.000000,411639439574.000000,,-81301833081.000000,-81301833081.000000,-25994368491.000000,,51485968776.000000,,355829206778.000000,-303750744036.000000,,-240824584964.000000,-240824584964.000000,,25282187325.000000,25282187325.000000,5003003699.000000,-41721094057.000000,,-51490256039.000000,-303750744036.000000,52078462742.000000,1137890716.000000,53216353458.000000,-11201946997.000000,,,-11201946997.000000,42014406461.000000,-60764989746.000000,-60764989746.000000,-60764989746.000000,-18750583285.000000,42014406461.000000,42014406461.000000,,42014406461.000000,-18750583285.000000,-18750583285.000000,,-18750583285.000000
12M 2012,446833887725.000000,,542005165595.000000,542005165595.000000,,-90909921331.000000,-90909921331.000000,-62465852000.000000,10887550073.000000,41643474707.000000,5673470681.000000,446833887725.000000,-389551531177.000000,,-281071243846.000000,-281071243846.000000,,24671190266.000000,24671190266.000000,-1215686342.000000,-67412339902.000000,,-64523451353.000000,-389551531177.000000,57282356548.000000,-4340543751.000000,52941812797.000000,-10319943564.000000,,,-10319943564.000000,42621869233.000000,311215024457.000000,311215024457.000000,311215024457.000000,353836893690.000000,42621869233.000000,42621869233.000000,,42621869233.000000,353836893690.000000,353836893690.000000,,353836893690.000000
12M 2013,646489819605.000000,,790244659783.000000,790244659783.000000,,-122056272963.000000,-122056272963.000000,-94517535380.000000,,72818968165.000000,,646489819605.000000,-548027539560.000000,,-531556939200.000000,-531556939200.000000,,147470740262.000000,147470740262.000000,-15141053062.000000,-78297831520.000000,,-70502456040.000000,-548027539560.000000,98462280045.000000,1890344122.000000,100352624167.000000,-21218753510.000000,,,-21218753510.000000,79133870657.000000,22861739979.000000,22861739979.000000,22861739979.000000,101995610636.000000,79133870657.000000,79133870657.000000,,79133870657.000000,101995610636.000000,101995610636.000000,,101995610636.000000
12M 2014,817564673523.000000,,1005543585536.000000,1005543585536.000000,,-242628213113.000000,-242628213113.000000,-69585131266.000000,,124234432366.000000,,817564673523.000000,-683151332918.000000,,-646381400806.000000,-646381400806.000000,,169346067885.000000,169346067885.000000,-28788653616.000000,-84022914948.000000,,-93304431433.000000,-683151332918.000000,134413340605.000000,8511343560.000000,142924684165.000000,-15051659469.000000,,,-15051659469.000000,127873024696.000000,132217296136.000000,132217296136.000000,132217296136.000000,260090320832.000000,127873024696.000000,127873024696.000000,,127873024696.000000,260090320832.000000,260090320832.000000,,260090320832.000000
12M 2015,938014375199.000000,,1212613539243.000000,1212613539243.000000,,-356767208924.000000,-356767208924.000000,-4764723946.000000,,86932768826.000000,,938014375199.000000,-844591063899.000000,,-750340411135.000000,-750340411135.000000,,142177157446.000000,142177157446.000000,-32331726713.000000,-66603279329.000000,-2820201869.000000,-134672602299.000000,-844591063899.000000,93423311300.000000,1380555725.000000,94803867025.000000,-17145664544.000000,,,-17145664544.000000,77658202481.000000,-97627159750.000000,-97627159750.000000,-97627159750.000000,-19968957269.000000,77658202481.000000,77658202481.000000,,77658202481.000000,-19968957269.000000,-19968957269.000000,,-19968957269.000000
12M 2016,991830802449.000000,,1285917785838.000000,1285917785838.000000,,-341077277319.000000,-341077277319.000000,-52184738340.000000,,100807855085.000000,-1632822815.000000,991830802449.000000,-905899004896.000000,,-860538749822.000000,-860538749822.000000,,152128912691.000000,152128912691.000000,20427219382.000000,-60552485965.000000,-16057552897.000000,-141306348285.000000,-905899004896.000000,85931797553.000000,,85931797553.000000,-2773686745.000000,,,-2773686745.000000,83158110808.000000,-148072777529.000000,-148072777529.000000,-148072777529.000000,-64914666721.000000,83158110808.000000,83158110808.000000,,83158110808.000000,-64914666721.000000,-64914666721.000000,,-64914666721.000000
12M 2017,1107453771288.000000,,1392846361476.000000,1392846361476.000000,,-354262067468.000000,-354262067468.000000,-31259577417.000000,,106812844875.000000,-6683790178.000000,1107453771288.000000,-1010654467474.000000,,-860849662100.000000,-860849662100.000000,,143652671858.000000,143652671858.000000,-48042220750.000000,-76114533902.000000,-23026258242.000000,-146274464338.000000,-1010654467474.000000,96799303814.000000,,96799303814.000000,-4924919889.000000,,,-4924919889.000000,91874383925.000000,-180895952770.000000,-180895952770.000000,-180895952770.000000,-89021568845.000000,91874383925.000000,91874383925.000000,,91874383925.000000,-89021568845.000000,-89021568845.000000,,-89021568845.000000
