Period,Aset,Kas Dan Setara Kas,Pihak Ketiga,Pihak Berelasi,Total Kas Dan Setara Kas,Others,Total Pihak Ketiga,Others,Total Pihak Berelasi,Piutang Premi,Pihak Ketiga,Pihak Berelasi,Total Piutang Premi,Piutang Reasuransi,Pihak Ketiga,Pihak Berelasi,Total Piutang Reasuransi,Aset Reasuransi,Piutang Lain-Lain,Piutang Pihak Berelasi,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Klaim,Pihak Ketiga,Pihak Berelasi,Total Utang Klaim,Utang Reasuransi,Pihak Ketiga,Pihak Berelasi,Total Utang Reasuransi,Utang Pajak,Premi Yang Belum Merupakan Pendapatan,Pihak Ketiga,Pihak Berelasi,Total Premi Yang Belum Merupakan Pendapatan,Liabilitas Kontrak Asuransi,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,3845943795.000000,,3845943795.000000,599681360253.000000,599681360253.000000,70719038037.000000,70719038037.000000,,15290760109.000000,4559482137.000000,19850242246.000000,,9742697806.000000,1020704879.000000,10763402685.000000,,4035433819.000000,14078500.000000,5998745776.000000,,2380478703.000000,2201886747.000000,675706309024.000000,724796521295.000000,,,749146569.000000,,,749146569.000000,13694504601.000000,12813086001.000000,881418600.000000,13694504601.000000,236177542.000000,52897728055.000000,52244029575.000000,653698480.000000,52897728055.000000,,,13325725338.000000,51934729800.000000,132838011905.000000,,75000000000.000000,102724933405.000000,146930678299.000000,7000000000.000000,139930678299.000000,146930678299.000000,267302897686.000000,591958509390.000000,724796521295.000000,150000000.000000
12M 2009,,,1511597079.000000,,1511597079.000000,493630072700.000000,493630072700.000000,54809701927.000000,54809701927.000000,,18760944101.000000,9270607257.000000,28031551358.000000,,14751029214.000000,2820000.000000,14753849214.000000,,6004429616.000000,11600000.000000,9226727465.000000,,953554027.000000,2206808664.000000,553536527295.000000,616236644718.000000,,,1317710622.000000,,,1317710622.000000,15391963407.000000,14228863243.000000,1163100164.000000,15391963407.000000,298478505.000000,61362189084.000000,59318790465.000000,2043398619.000000,61362189084.000000,,,14818067493.000000,39546908210.000000,132735317321.000000,,75000000000.000000,102724933405.000000,167057856414.000000,8000000000.000000,159057856414.000000,167057856414.000000,138718537578.000000,483501327397.000000,616236644718.000000,150000000.000000
12M 2010,,,3225227903.000000,,3225227903.000000,243448587010.000000,243448587010.000000,532438043600.000000,532438043600.000000,,28490122564.000000,10936016448.000000,39426139012.000000,,21525695432.000000,2697300.000000,21528392732.000000,,23407070319.000000,257110.000000,12769176998.000000,,561720101.000000,,782304656194.000000,883222640369.000000,,,2130558844.000000,,,2130558844.000000,18349873828.000000,17215624742.000000,1134249086.000000,18349873828.000000,1988841763.000000,78767073948.000000,77067318731.000000,1699755217.000000,78767073948.000000,,40094371.000000,21508547149.000000,65992010102.000000,188777000005.000000,,75000000000.000000,102724933405.000000,216616612231.000000,9000000000.000000,207616612231.000000,216616612231.000000,300104094728.000000,694445640364.000000,883222640369.000000,150000000.000000
12M 2011,,,5422478350.000000,,5422478350.000000,261560684916.000000,261560684916.000000,507624676200.000000,507624676200.000000,,44162277103.000000,12602420305.000000,56764697408.000000,,14288211341.000000,2720400.000000,14290931741.000000,,8025744000.000000,95000000.000000,28960473335.000000,,431956396.000000,,780620453707.000000,894611734937.000000,,,2115622114.000000,,,2115622114.000000,14492842493.000000,12307298686.000000,2185543807.000000,14492842493.000000,1929893737.000000,104761442439.000000,104153044064.000000,608398375.000000,104761442439.000000,,1232549868.000000,22401012079.000000,88783315128.000000,235716677858.000000,,75000000000.000000,102724933405.000000,241831018692.000000,10000000000.000000,231831018692.000000,241831018692.000000,239339104982.000000,658895057079.000000,894611734937.000000,150000000.000000
12M 2012,,,6512274526.000000,5486015266.000000,11998289792.000000,,340520833897.000000,,795158474000.000000,,99675902996.000000,21357427038.000000,121033330034.000000,,4331379861.000000,1504942.000000,4332884803.000000,100470783864.000000,9838028760.000000,,40173369275.000000,,535902139.000000,2237649318.000000,1156982031230.000000,1447602269215.000000,,,2484217799.000000,2447799095.000000,36418704.000000,2484217799.000000,19111818981.000000,16796773985.000000,2315044996.000000,19111818981.000000,10548166954.000000,,,,,305907852759.000000,,99486126284.000000,10382135670.000000,447920318447.000000,,75000000000.000000,102724933405.000000,271402887924.000000,11000000000.000000,260402887924.000000,271402887924.000000,550554129439.000000,999681950768.000000,1447602269215.000000,150000000.000000
12M 2013,,,13437683489.000000,573994732.000000,14011678221.000000,461741034396.000000,461741034396.000000,767547832700.000000,767547832700.000000,,131891053476.000000,48117233052.000000,180008286528.000000,,14579917678.000000,1896974.000000,14581814652.000000,198043263699.000000,13979742384.000000,,49063053297.000000,,687606535.000000,2251338449.000000,1239438820067.000000,1712065603832.000000,,,7114037103.000000,7106037103.000000,8000000.000000,7114037103.000000,34597224498.000000,32083089910.000000,2514134588.000000,34597224498.000000,13809585747.000000,,,,,513138921036.000000,,33719812554.000000,21508461488.000000,623888042426.000000,,75000000000.000000,102724933405.000000,337036758584.000000,12000000000.000000,325036758584.000000,337036758584.000000,573415869417.000000,1088177561406.000000,1712065603832.000000,150000000.000000
12M 2014,,,11205425524.000000,573167450.000000,11778592974.000000,580305721030.000000,580305721030.000000,899994398400.000000,899994398400.000000,,194678871761.000000,66748637825.000000,261427509586.000000,,5977909185.000000,,5977909185.000000,324591125317.000000,21007361144.000000,,49728722467.000000,,1674020175.000000,9870401836.000000,1502422602226.000000,2188478244910.000000,,,2494443567.000000,2494443567.000000,,2494443567.000000,37006378627.000000,34201252872.000000,2805125755.000000,37006378627.000000,11866575213.000000,,,,,738060567536.000000,,58271361875.000000,15782903120.000000,863482229938.000000,,75000000000.000000,102724933405.000000,441637916014.000000,13000000000.000000,428637916014.000000,441637916014.000000,705633165553.000000,1324996014972.000000,2188478244910.000000,150000000.000000
12M 2015,,,17565967631.000000,3114579317.000000,20680546948.000000,617037406394.000000,617037406394.000000,818043023450.000000,818043023450.000000,,229085532689.000000,90583692802.000000,319669225491.000000,,16821674520.000000,,16821674520.000000,338263317504.000000,14865913302.000000,,43072257562.000000,,2573607001.000000,3473565290.000000,1469310126512.000000,2228730234130.000000,,,11011617669.000000,11011617669.000000,,11011617669.000000,95672591620.000000,95636484380.000000,36107240.000000,95672591620.000000,1224670837.000000,,,,,788829210377.000000,,31024214789.000000,25243371262.000000,953005676554.000000,,75000000000.000000,102724933405.000000,490018704493.000000,14000000000.000000,476018704493.000000,490018704493.000000,607980919678.000000,1275724557576.000000,2228730234130.000000,150000000.000000
12M 2016,,,14548080078.000000,3142544524.000000,17690624602.000000,517532778813.000000,517532778813.000000,824129186400.000000,824129186400.000000,,266187873805.000000,105441081633.000000,371628955438.000000,,19296712174.000000,17225478.000000,19313937652.000000,435355517769.000000,13329238602.000000,,47652980708.000000,,8844450620.000000,4704456705.000000,1382438150222.000000,2300958312318.000000,,,20163417036.000000,20040398906.000000,123018130.000000,20163417036.000000,100945542723.000000,97358142975.000000,3587399748.000000,100945542723.000000,1893957137.000000,,,,,917678929599.000000,,41354345118.000000,32862229850.000000,1114898421463.000000,,75000000000.000000,102724933405.000000,548138560012.000000,15000000000.000000,533138560012.000000,548138560012.000000,460196397438.000000,1186059890855.000000,2300958312318.000000,150000000.000000
12M 2017,,,18650812815.000000,5624452679.000000,24275265494.000000,762478210211.000000,762478210211.000000,592373073888.000000,592373073888.000000,,213520176890.000000,121383115785.000000,334903292675.000000,,26955245157.000000,565153618.000000,27520398775.000000,537482831112.000000,10763097971.000000,,45194558106.000000,,8703397378.000000,6521117052.000000,1367745386393.000000,2363109344956.000000,,,19127020486.000000,18564092038.000000,562928448.000000,19127020486.000000,94701299942.000000,81246337201.000000,13454962741.000000,94701299942.000000,7424908357.000000,,,,,1099108041112.000000,,33793080403.000000,37416672646.000000,1291571022946.000000,,75000000000.000000,102724933405.000000,612121683275.000000,16000000000.000000,596121683275.000000,612121683275.000000,281691705330.000000,1071538322010.000000,2363109344956.000000,150000000.000000
12M 2018,,,13938558559.000000,2554839297.000000,16493397856.000000,730634764109.000000,730634764109.000000,513946953580.000000,513946953580.000000,,202453033580.000000,131083066767.000000,333536100347.000000,,20699220936.000000,1637663869.000000,22336884805.000000,781007063525.000000,11515026237.000000,,41712464138.000000,,8539903082.000000,7645418481.000000,1262400390646.000000,2485186649117.000000,,,8942404146.000000,7510088875.000000,1432315271.000000,8942404146.000000,95557620902.000000,88741368253.000000,6816252649.000000,95557620902.000000,10649278606.000000,,,,,1430229608548.000000,,38753285938.000000,21234957110.000000,1605367155250.000000,,75000000000.000000,102724933405.000000,644877227369.000000,17000000000.000000,627877227369.000000,644877227369.000000,57217333093.000000,879819493867.000000,2485186649117.000000,150000000.000000
12M 2019,,,13144086239.000000,4370977518.000000,17515063757.000000,719254238281.000000,719254238281.000000,466145673116.000000,466145673116.000000,,225388302072.000000,107872079145.000000,333260381217.000000,,32503140874.000000,3281989421.000000,35785130295.000000,742227875663.000000,15088812307.000000,,59931111698.000000,,7091478136.000000,12267741949.000000,1200538448179.000000,2423706043201.000000,,,11069169301.000000,10368752401.000000,700416900.000000,11069169301.000000,108760958228.000000,99817807986.000000,8943150242.000000,108760958228.000000,8467750904.000000,,,,,1368656817132.000000,,49246620124.000000,28992994323.000000,1575194310012.000000,,75000000000.000000,102724933405.000000,674600634891.000000,18000000000.000000,656600634891.000000,674600634891.000000,-3813835107.000000,848511733189.000000,2423706043201.000000,150000000.000000
12M 2020,,,20265025918.000000,3839238454.000000,24104264372.000000,920876330013.000000,920876330013.000000,418377231379.000000,418377231379.000000,,335654589233.000000,113268178064.000000,448922767297.000000,,26704229990.000000,4093565476.000000,30797795466.000000,863572391437.000000,24597554524.000000,,61211166120.000000,,6061775311.000000,4763566712.000000,1351547111856.000000,2815578393095.000000,,,17105872604.000000,16846621576.000000,259251028.000000,17105872604.000000,160930886067.000000,156734915887.000000,4195970180.000000,160930886067.000000,9748336182.000000,,,,,1572910372263.000000,,164133703655.000000,29669746909.000000,1954498917680.000000,,75000000000.000000,102724933405.000000,737110307484.000000,19000000000.000000,718110307484.000000,737110307484.000000,-53755765474.000000,861079475415.000000,2815578393095.000000,150000000.000000
12M 2021,,,27134715705.000000,2391767361.000000,29526483066.000000,1116414193826.000000,1116414193826.000000,331632633970.000000,331632633970.000000,,317230882037.000000,99585606578.000000,416816488615.000000,,77589248036.000000,902307978.000000,78491556014.000000,866685394407.000000,13459874320.000000,,52301087217.000000,,7515000586.000000,1538671493.000000,1456951704969.000000,2923286260687.000000,,,26285631820.000000,26276088173.000000,9543647.000000,26285631820.000000,149937459658.000000,139334539567.000000,10602920091.000000,149937459658.000000,3254388432.000000,,,,,1639117087632.000000,35539914791.000000,152137999236.000000,45179065787.000000,2051451547356.000000,,75000000000.000000,102724933405.000000,797497962705.000000,20000000000.000000,777497962705.000000,797497962705.000000,-103388182779.000000,871834713331.000000,2923286260687.000000,150000000.000000
12M 2022,,,30247498925.000000,10074462858.000000,40321961783.000000,1029576093039.000000,1029576093039.000000,242887441424.000000,242887441424.000000,,472972189654.000000,5482837240.000000,478455026894.000000,,80951730887.000000,,80951730887.000000,994286521384.000000,12833093268.000000,,51062037563.000000,,6259961233.000000,2287373940.000000,1264207004126.000000,2930664711078.000000,,,24000449577.000000,23912004680.000000,88444897.000000,24000449577.000000,144350304986.000000,144350304986.000000,,144350304986.000000,2916459294.000000,,,,,1892031324960.000000,49558856309.000000,47210161871.000000,40448460858.000000,2200516017855.000000,,150000000000.000000,27724933405.000000,743275106634.000000,21000000000.000000,722275106634.000000,743275106634.000000,-190851346816.000000,730148693223.000000,2930664711078.000000,300000000.000000
