Period,Total Pendapatan,Komisi Dari Transaksi Perantara Pedagang Efek,Keuntungan Atas Perdagangan Efek,Others,Total Keuntungan Atas Perdagangan Efek,Penjualan,Jasa Kegiatan Manager Investasi,Jasa Penjaminan Emisi Dan Penjualan Efek,Pendapatan Bunga,Others,Total Pendapatan,Total Beban Usaha,Beban Pokok Penjualan,Beban Tenaga Kerja,Beban Komisi,Beban Umum Dan Administrasi,Beban Penyusutan,Beban Penjualan,Beban Bunga,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,62702631568.000000,14659865214.000000,,-3718660944.000000,-3718660944.000000,,18558392527.000000,2140896875.000000,,31062137896.000000,62702631568.000000,-53554655694.000000,,-18407273976.000000,,-16523370934.000000,,-1323732119.000000,-16471666733.000000,-828611932.000000,-53554655694.000000,9147975874.000000,-2920676894.000000,14315177600.000000,,,,-17235854494.000000,-2920676894.000000,6227298980.000000,-1974039828.000000,4253259152.000000,,4253259152.000000,,,4253259152.000000,4253259152.000000,,4253259152.000000,,,,
12M 2009,69013262746.000000,22198362443.000000,,14925323151.000000,14925323151.000000,,12640850565.000000,3465370504.000000,,15783356083.000000,69013262746.000000,-53596082155.000000,,-19093451880.000000,,-18455480007.000000,,-3574776396.000000,-11670000000.000000,-802373872.000000,-53596082155.000000,15417180591.000000,121307139.000000,9388012339.000000,,,,-9266705200.000000,121307139.000000,15538487730.000000,-3096611381.000000,12441876349.000000,,12441876349.000000,,,12441876349.000000,12441876349.000000,,12441876349.000000,,,,
12M 2010,122735633055.000000,28469670191.000000,,53077741189.000000,53077741189.000000,,16376059289.000000,4656964801.000000,,20155197585.000000,122735633055.000000,-69995738848.000000,,-35099359657.000000,,-23506063566.000000,,-5626684429.000000,-3466666667.000000,-2296964529.000000,-69995738848.000000,52739894207.000000,-18664396757.000000,9226976104.000000,,,,-27891372861.000000,-18664396757.000000,34075497450.000000,-6580809894.000000,27494687556.000000,,27494687556.000000,,,27494687556.000000,27494687556.000000,,27494687556.000000,,,,
12M 2011,102999195898.000000,33798653657.000000,,3847919627.000000,3847919627.000000,,23732877503.000000,13404677397.000000,,28215067714.000000,102999195898.000000,-77550671062.000000,,-25860492199.000000,,-44075731174.000000,,-6272711262.000000,,-1341736427.000000,-77550671062.000000,25448524836.000000,-19284918327.000000,12027804212.000000,,,,-31312722539.000000,-19284918327.000000,6163606509.000000,6841840549.000000,13005447058.000000,,13005447058.000000,,13005447058.000000,13005447058.000000,13007719003.000000,-2271945.000000,13005447058.000000,13005447058.000000,13007719003.000000,-2271945.000000,13005447058.000000
12M 2012,122085005304.000000,40000822184.000000,49313756347.000000,,49313756347.000000,,13100991396.000000,5296044625.000000,4710132625.000000,9663258127.000000,122085005304.000000,-95751414476.000000,,-61211726405.000000,,-10800940035.000000,-4337420362.000000,-3062643622.000000,,-16338684052.000000,-95751414476.000000,26333590828.000000,-12848885024.000000,3109114350.000000,-21424716536.000000,,,5466717162.000000,-12848885024.000000,13484705804.000000,-3340238135.000000,10144467669.000000,,10144467669.000000,,10144467669.000000,10144467669.000000,10142851123.000000,1616546.000000,10144467669.000000,10144467669.000000,10142851123.000000,1616546.000000,10144467669.000000
12M 2013,141118542613.000000,54967708740.000000,41319859302.000000,,41319859302.000000,,10671483998.000000,25488385222.000000,2924918559.000000,5746186792.000000,141118542613.000000,-100389978121.000000,,-41567955373.000000,-17365964903.000000,-6606737433.000000,-4803224367.000000,-3123583572.000000,,-26922512473.000000,-100389978121.000000,40728564492.000000,-21208086066.000000,2424220319.000000,-25663333160.000000,,,2031026775.000000,-21208086066.000000,19520478426.000000,-3131839909.000000,16388638517.000000,,16388638517.000000,,16388638517.000000,16388638517.000000,16388682785.000000,-44268.000000,16388638517.000000,16388638517.000000,16388682785.000000,-44268.000000,16388638517.000000
12M 2014,193162428836.000000,45281287144.000000,122013427370.000000,,122013427370.000000,,12780676617.000000,8136863363.000000,1733031672.000000,3217142670.000000,193162428836.000000,-116919411396.000000,,-50159888220.000000,-15521574465.000000,-8432372074.000000,-5361628312.000000,-2821001933.000000,,-34622946392.000000,-116919411396.000000,76243017440.000000,-8294192160.000000,2013263654.000000,-7266243057.000000,,,-3041212757.000000,-8294192160.000000,67948825280.000000,-1419755716.000000,66529069564.000000,,66529069564.000000,,66529069564.000000,66529069564.000000,66522840537.000000,6229027.000000,66529069564.000000,66529069564.000000,66522840537.000000,6229027.000000,66529069564.000000
12M 2015,182631513966.000000,54435550666.000000,88446264638.000000,,88446264638.000000,,14723582025.000000,20134151167.000000,2580782688.000000,2311182782.000000,182631513966.000000,-124973162388.000000,,-58465455293.000000,,-9850395918.000000,-5387668815.000000,-2120937849.000000,,-49148704513.000000,-124973162388.000000,57658351578.000000,-1940545371.000000,3111285822.000000,-3098252414.000000,747021719.000000,-286049809.000000,-2414550689.000000,-1940545371.000000,55717806207.000000,487387048.000000,56205193255.000000,,56205193255.000000,573475020.000000,56778668275.000000,56205193255.000000,56196895288.000000,8297967.000000,56205193255.000000,56778564731.000000,56770370308.000000,8194423.000000,56778564731.000000
12M 2016,277394654140.000000,45005258517.000000,212598700705.000000,,212598700705.000000,,18107342178.000000,378093636.000000,40733207.000000,1264525897.000000,277394654140.000000,-126791891887.000000,,-70043661972.000000,,-8149781481.000000,-5254373268.000000,-1895336723.000000,,-41448738443.000000,-126791891887.000000,150602762253.000000,12940224839.000000,4387739747.000000,-5227193557.000000,-1548226909.000000,-4974970854.000000,20302876412.000000,12940224839.000000,163542987092.000000,1517344861.000000,165060331953.000000,,165060331953.000000,-2077023577.000000,162983308376.000000,165060331953.000000,165044323671.000000,16008282.000000,165060331953.000000,162983308376.000000,162967651903.000000,15656473.000000,162983308376.000000
12M 2017,1569702187476.000000,,,,,,,,,,1569702187476.000000,-1249899687867.000000,,,,,,,,,-1249899687867.000000,319802499609.000000,-20331673529.000000,7760149773.000000,-18387903876.000000,168437290.000000,-10558095743.000000,685739027.000000,-20331673529.000000,299470826080.000000,-3465131767.000000,296005694313.000000,,296005694313.000000,-5941348344.000000,290064345969.000000,296005694313.000000,291141739152.000000,4863955161.000000,296005694313.000000,290064345969.000000,285279978481.000000,4784367488.000000,290064345969.000000
