Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Komisi Perantara Perdagangan Efek,Penerimaan Dari Transaksi Pendapatan Tetap,Penerimaan (Pembayaran) Atas Perdagangan Portofolio Efek,Penerimaan Dari Pelanggan,Penerimaan Jasa Penjamin Emisi Dan Penjualan Efek Manajer Investasi,Penerimaan Dari Jasa Penasehat Keuangan,Penerimaan Dari Jasa Manajer Investasi,Penerimaan Dari Pembiayaan Transaksi Nasabah,Penjualan (Pembelian) Portofolio Efek,Penerimaan Dari (Pembayaran Ke) Nasabah Pihak – Pihak Berelasi,Penerimaan Dari (Pembayaran Ke) Nasabah Pihak Ketiga,Penjualan Aset Keuangan Yang Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi Pihak Ketiga,Penjualan Aset Keuangan Yang Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi Pihak Berelasi,Pembelian Aset Keuangan Yang Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi Pihak Ketiga,Pembelian Aset Keuangan Yang Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi Pihak Berelasi,Penerimaan Bunga Dan Dividen,Penerimaan Atas Restitusi Bea Masuk Dan Pajak,Penerimaan Dari Nasabah Margin - Bersih,(Pembayaran Kepada) Penerimaan Dari Lembaga Kliring Dan Penjaminan,Penerimaan Dari (Pembayaran Kepada) Perusahaan Efek,Pembayaran Ke Nasabah - Bersih,Penerimaan (Pembayaran) Bunga,Pembayaran Bunga,Penerimaan Bunga,Total Penerimaan (Pembayaran) Bunga,"Pembayaran Kepada Pemasok, Karyawan Dan Beban Operasional Lainnya",Penerimaan (Pembayaran) Operasi Lainnya,Penjualan Investasi Lainnya,Pembayaran Pajak Penghasilan,Adjustment,Penurunan (Kenaikan) Dalam Aset Operasi :,Portofolio Efek,Efek Yang Dibeli Dengan Janji Dijual Kembali,Piutang Lembaga Kliring Dan Penjaminan,Piutang Margin,Rekening Nasabah,Piutang Perusahaan Efek,Piutang Nasabah,Jaminan Lainnya,Pendapatan Yang Masih Akan Diterima,Penyertaan Saham Di Pt Bei,Total Penurunan (Kenaikan) Dalam Aset Operasi :,Kenaikan (Penurunan) Dalam Kewajiban Operasi :,Hutang Lembaga Kliring Dan Penjaminan,Hutang Perusahaan Efek,Hutang Margin,Hutang Nasabah Rekening,Hutang Nasabah Umum,Hutang Sewa Pembiayaan,Hutang Lain-Lain,Total Kenaikan (Penurunan) Dalam Kewajiban Operasi :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Uang Muka Investasi,Penambahan Uang Muka Investasi Film Dan Game,Penurunan Aset Lain-Lain,Penambahan Setoran Modal Dari Kepentingan Nonpengendali Untuk Pendirian Entitas Anak,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Perolehan Aset Lain-Lain,Penambahan Deposito Pada Lembaga Kliring Dan Penjaminan,Penempatan Deposito Yang Dibatasi Penggunaannya,Penurunan Deposit Yang Dibatasi Penggunaannya,Penyertaan Saham,Pembelian Investasi Lainnya Pada Entitas Anak,Penambahan Investasi Pada Entitas Anak,Penjualan Investasi Pada Entitas Anak,Penambahan Investasi Pada Entitas Asosiasi,Penjualan Saham Pada Entitas Asosiasi,Penerimaan Dari Pelepasan Entitas Anak,Penerimaan Atas Penurunan Saham Pada Entitas Asosiasi,Penambahan Deposit Yang Dibatasi Penggunaanya,Penambahan Investasi Saham,Pengembalian Uang Muka Investasi Saham,Penjualan Investasi Saham,Pembelian Investasi Lainnya,Penjualan Investasi Lainnya,Penempatan Investasi Lainnya,Penambahan Investasi Project,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari (Pembayaran Ke) Utang Sewa Pembiayaan,Pembayaran Atas Saham Treasuri,Penerimaan Utang Bank Jangka Pendek,Penerimaan Dari Utang Konversi,Pembayaran Utang Bank Jangka Pendek,Penambahan Piutang Pihak Berelasi,Penerimaan Dari Piutang Pihak Berelasi,Penerimaan Dari Pihak Berelasi,Penerimaan (Pembayaran) Utang Pihak Berelasi,Penerimaan Dari (Pembayaran Kepada) Piutang Pihak Berelasi,Penerimaan Dari Piutang Pihak Ketiga Jangka Pendek,Pembayaran Kepada Pihak Berelasi,Penerimaan (Pembayaran) Kepada Pihak Ketiga,Penempatan Deposito Yang Dibatasi Penggunaannya,Pembayaran Utang Pembiayaan,Pembayaran Porsi Pokok Liabilitas Sewa,Penurunan Modal Oleh Kepentingan Non Pengendali Pada Entitas Anak,Penambahan Investasi Pada Entitas Anak Yang Diperoleh Dari Kepentingan Non Pengendali,Setoran Modal,Penyertaan Saham Entitas Anak Oleh Kepentingan Nonpengendali,Tambahan Modal Di Setor,Tambahan Modal Disetor Dari Aset Pengampunan Pajak,Penambahan Modal Saham Kepentingan Nonpengendali,Kenaikan Modal Oleh Kepentingan Nonpengendali Pada Entitas Anak,Pelunasan Obligasi Yang Diterbitkan,Penerimaan Dari Hutang Obligasi,Pelunasan / Penambahan Piutang Pihak Hubungan Istimewa,Penerimaan Dari Hutang Bank,Pembayaran Biaya Emisi Obligasi,Biaya Emisi Saham,Pembayaran Dividen Kepada Kepentingan Nonpengendali,Pembayaran Dividen Kas,Pembayaran Surat Hutang,Pemberian Pinjaman Kepada Pihak Ketiga,Penerimaan (Pembayaran) Utang Jangka Pendek,Penerimaan Penawaran Umum Terbatas Ii,Penawaran Umum Perdana Saham,Penerimaan Penebusan Waran Seri Ii,Penerimaan Penebusan Kren-W,Penerimaan Penambahan Modal Saham,Penerimaan Uang Muka Setoran Awal,Pembayaran Bunga,Kepentingan Nonpengendali Dari Entitas Anak,Pembelian Saham Treasuri Dari Kepentingan Non Pengendali,Pembelian Saham Treasuri,Penerbitan Saham Pada Kepentingan Non Pengendali,Penerimaan Penambahan Modal Saham Entitas Anak,Pembayaran Saham Treasuri Oleh Entitas Anak,Penjualan Saham Treasuri Entitas Anak,Pembayaran Utang Pihak Ketiga,Penerimaan Dari Utang Lain-Lain Pihak Ketiga,Penerimaan Piutang Lain-Lain Jangka Panjang,Penambahan Piutang Lain-Lain Pihak Ketiga,Pembayaran Piutang Lain Jangka Panjang,Pembayaran Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Entitas Anak Sebelum Pelepasan,Bank Entitas Anak Saat Akuisisi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-54748176886.000000,14659865214.000000,1038194538.000000,-2156184351.000000,,2177045853.000000,480498850.000000,17945261587.000000,29540002030.000000,,,,,,,,,,,,,,,-34019588468.000000,17256077968.000000,-16763510500.000000,-18407273976.000000,-14970893086.000000,,-4260209339.000000,,,85338053303.000000,,39356544000.000000,22025495257.000000,93022934410.000000,,-40911095.000000,-1500000.000000,,,239700615875.000000,,-74082459500.000000,,3230326008.000000,-276999172991.000000,-49475380.000000,-637952645.000000,44807144927.000000,-303731589581.000000,-54748176886.000000,-3685724083.000000,142500000.000000,,,,,,-3828224083.000000,,,,,,,,,,,,,,,,,,,,,,-3685724083.000000,-34007386763.000000,,,,,,,,,,,,,,,,,,,,,,,,,-30858744400.000000,,-386322363.000000,,,,,-2762320000.000000,,,,,,,,,,,,,,,,,,,,,,,,-34007386763.000000,-92441287732.000000,,,134732374072.000000,42291086340.000000
12M 2009,14382535466.000000,22198362443.000000,874186851.000000,8447542401.000000,,3465370504.000000,500000000.000000,11919188497.000000,14409169232.000000,,,,,,,,,,,,,,,-26180735036.000000,18956833178.000000,-7223901858.000000,-19093451880.000000,-21740282943.000000,,-3949213862.000000,,,4822756679.000000,,-61651581000.000000,17230522824.000000,-68462651134.000000,-4662000.000000,43454422.000000,112000000.000000,,,-107910160209.000000,,48550760000.000000,,12028808040.000000,82781547891.000000,98277075.000000,-644936780.000000,-30328729936.000000,112485726290.000000,14382535466.000000,-3532965159.000000,233000000.000000,,,,,,-3765965159.000000,,,,,,,,,,,,,,,,,,,,,,-3532965159.000000,-27503266200.000000,,,,,,,,,,,,,,,,,,,,,,,,,-48787500000.000000,,-131766200.000000,22000000000.000000,,,,-584000000.000000,,,,,,,,,,,,,,,,,,,,,,,,-27503266200.000000,-16653695893.000000,,,42291086341.000000,25637390448.000000
12M 2010,284605894845.000000,28469670191.000000,1488504450.000000,28908602828.000000,,4656964801.000000,787373419.000000,17390635495.000000,17879319716.000000,,,,,,,,,,,,,,,-34489218065.000000,15434702300.000000,-19054515765.000000,-35099359657.000000,-30104431556.000000,,-628650939.000000,,,9240580544.000000,,-17556653500.000000,-23187948223.000000,-96707685037.000000,-40338000.000000,-35553863.000000,-1050000.000000,,,-128288648079.000000,,68092606000.000000,604108000.000000,50444612417.000000,281675026138.000000,17674899.000000,-829217205.000000,-1804380308.000000,398200429941.000000,284605894845.000000,-4964369294.000000,210500000.000000,,,,,,-5174869294.000000,,,,,,,,,,,,,,,,,,,,,,-4964369294.000000,-98937500029.000000,,,,,,,,,,,,,,,,,,,,,,,,,-75000000000.000000,,-68700029.000000,-22000000000.000000,,,,-1868800000.000000,,,,,,,,,,,,,,,,,,,,,,,,-98937500029.000000,180704025522.000000,,,25637390447.000000,206341415969.000000
12M 2011,-229990421492.000000,,,,,78166352865.000000,,,,,13128891804.000000,15847130263.000000,94799860439.000000,79202888757.000000,-284811329585.000000,-38702955820.000000,,,,-90366128000.000000,-559108000.000000,,-20914137227.000000,,,-20914137227.000000,-72279226290.000000,,,-3502660698.000000,,,,,,,,,,,,,,,,,,,,,,,-229990421492.000000,-3165322112.000000,127000000.000000,,,,,,-1992772822.000000,,-1299549290.000000,,,,,,,,,,,,,,,,,,,,-3165322112.000000,101074279266.000000,824588916.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5496608000.000000,,,,105746298350.000000,,,,,,,,,,,,,,,,,,,,101074279266.000000,-132081464338.000000,,,206341415968.000000,74259951630.000000
12M 2012,-55483494444.000000,49664080311.000000,,,,17233636454.000000,,,,213592046019.000000,,,,,,,4710132625.000000,,29379239568.000000,48532310000.000000,11845000000.000000,-318485799775.000000,-17802939630.000000,,,-17802939630.000000,-90621805213.000000,,,-3529394803.000000,,,,,,,,,,,,,,,,,,,,,,,-55483494444.000000,-8984948518.000000,2000000.000000,,,,,,-7269210278.000000,,-1717738240.000000,,,,,,,,,,,,,,,,,,,,-8984948518.000000,73918411194.000000,303675660.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,50000000000.000000,,,,,,,,,,23862652200.000000,,,,-247916666.000000,,,,,,,,,,,,,,73918411194.000000,9449968232.000000,,,74259951630.000000,83709919862.000000
12M 2013,8737428892.000000,59767015532.000000,,,,36817417202.000000,,,,73960950310.000000,,,,,,,2924918559.000000,,-310208398.000000,-33925072000.000000,-10304890000.000000,-8473872893.000000,-21659711191.000000,,,-21659711191.000000,-87922001366.000000,,,-2137116863.000000,,,,,,,,,,,,,,,,,,,,,,,8737428892.000000,-6501131630.000000,5454545.000000,,,,,3000000.000000,-5979695135.000000,-203636361.000000,-173254679.000000,-131000000.000000,,,-22000000.000000,,,,,,,,,,,,,,,,-6501131630.000000,-47461039855.000000,-1085658538.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-50000000000.000000,,,,,,,,,,5067328680.000000,,,,-1442709997.000000,,,,,,,,,,,,,,-47461039855.000000,-45224742593.000000,,,83709919862.000000,38485177269.000000
12M 2014,-47420816388.000000,48498429813.000000,,,,20716202977.000000,,,,-98547088879.000000,,,,,,,1524158450.000000,,12089413783.000000,16261849700.000000,-66361945700.000000,142346958076.000000,-4302548189.000000,,,-4302548189.000000,-111794941432.000000,,,-7851304987.000000,,,,,,,,,,,,,,,,,,,,,,,-47420816388.000000,-4771556756.000000,201580720.000000,,,,,,-4444736155.000000,-50909091.000000,-23492230.000000,,,,-454000000.000000,,,,,,,,,,,,,,,,-4771556756.000000,77456034595.000000,-672763465.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1634731647.000000,,,,,,79950942720.000000,,,,-187413013.000000,,,,,,,,,,,,,,77456034595.000000,25263661451.000000,,,38485177269.000000,63748838720.000000
12M 2015,67831416204.000000,56746733448.000000,,,,34601218535.000000,,,,122290877362.000000,,,,,,,4024938131.000000,,1523762634.000000,6952995600.000000,47941997200.000000,-61194001768.000000,-65049194.000000,,,-65049194.000000,-143383420198.000000,,,-1608635546.000000,,,,,,,,,,,,,,,,,,,,,,,67831416204.000000,-126346692112.000000,487272727.000000,,,,,-48835205233.000000,-2494844637.000000,,-276237682.000000,-25227678287.000000,,,-49999999000.000000,,,,,,,,,,,,,,,,-126346692112.000000,86122086488.000000,-2017778575.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50931079779.000000,37500000000.000000,-291214716.000000,,,,,,,,,,,,,,86122086488.000000,27606810580.000000,,,63748838720.000000,91355649300.000000
12M 2016,49075412482.000000,46269784414.000000,,,,19208898163.000000,,,,157682514884.000000,,,,,,,40733207.000000,,,69279754300.000000,234721688500.000000,-351008599699.000000,-345673686.000000,,,-345673686.000000,-126361553944.000000,,,-412133657.000000,,,,,,,,,,,,,,,,,,,,,,,49075412482.000000,-48620973536.000000,227727273.000000,,,,,,-2161922559.000000,-178409091.000000,1712773210.000000,4804798728.000000,,,-53025941097.000000,,,,,,,,,,,,,,,,-48620973536.000000,-1558467170.000000,-1375784912.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15385000.000000,,,,,,,,,-198067258.000000,,,,,,,,,,,,,,-1558467170.000000,-1104028224.000000,,,91355649289.000000,90251621065.000000
12M 2017,191767923569.000000,,,,1467151508663.000000,,,,,208074992222.000000,,,,,,,1394321812.000000,,,-89736818300.000000,-241281445500.000000,,-10274917226.000000,,,-10274917226.000000,-1121525984619.000000,,,-22033733483.000000,,,,,,,,,,,,,,,,,,,,,,,191767923569.000000,-337171303653.000000,330000000.000000,,-194029385000.000000,,,,-6893981421.000000,-299048106.000000,,-49728875838.000000,,,-86550013288.000000,,,,,,,,,,,,,,,,-337171303653.000000,217630529055.000000,-1674531318.000000,,526323000661.000000,,-499961254409.000000,,,,,,,-85609372182.000000,,,,,,,48145000000.000000,,,230600402527.000000,,,,,,,,,,,,,,,,,,,,-192716224.000000,,,,,,,,,,,,,,217630529055.000000,72227148971.000000,,38975033281.000000,90251621065.000000,201453803317.000000
