Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3633789178647.000000,-2219244777770.000000,1414544400877.000000,-1051173568388.000000,-842094706880.000000,-209078861508.000000,,-1051173568388.000000,363370832489.000000,77512191732.000000,66502249517.000000,-3056903416.000000,1128846585.000000,18226560662.000000,3930688472.000000,-9219250088.000000,77512191732.000000,440883024221.000000,-113967695751.000000,326915328470.000000,-6267430103.000000,320647898367.000000,,,320647898367.000000,326915328470.000000,-6267430103.000000,320647898367.000000,,,,,
12M 2009,4497931021113.000000,-2822351586347.000000,1675579434766.000000,-1.000000,-994856693041.000000,-235168767131.000000,,-1.000000,445553974594.000000,35032481988.000000,65977112592.000000,-3813587503.000000,1483107030.000000,-20994247033.000000,4952952672.000000,-12572855770.000000,35032481988.000000,480586456582.000000,-119662223046.000000,360924233536.000000,-959857198.000000,359964376338.000000,,,359964376338.000000,360924233536.000000,-959857198.000000,359964376338.000000,,,,,
12M 2010,5134242102154.000000,-3239912027011.000000,1894330075143.000000,-1303334634420.000000,-1054568179138.000000,-248766455282.000000,,-1303334634420.000000,590995440723.000000,38497420713.000000,70223668852.000000,-7237040789.000000,2829000665.000000,-20802412177.000000,7020858072.000000,-13536653910.000000,38497420713.000000,629492861436.000000,-134732066349.000000,494760795087.000000,-5871536166.000000,488889258921.000000,,,488889258921.000000,494760795087.000000,-5871536166.000000,488889258921.000000,,,,,
12M 2011,5780664117037.000000,-3580621360619.000000,2200042756418.000000,-1537223915436.000000,-1244275597160.000000,-297978787115.000000,5030468839.000000,-1537223915436.000000,662818840982.000000,77281426358.000000,82513767507.000000,-8632340549.000000,,,3399999400.000000,,77281426358.000000,740100267340.000000,-153737920910.000000,586362346430.000000,,586362346430.000000,-1053466837.000000,585308879593.000000,586362346430.000000,566048397448.000000,20313948982.000000,586362346430.000000,585308879593.000000,564994930611.000000,20313948982.000000,,585308879593.000000
12M 2012,6630809553343.000000,-4142488860541.000000,2488320692802.000000,-1746113807701.000000,-1428322090992.000000,-358192239710.000000,40400523001.000000,-1746113807701.000000,742206885101.000000,70172833157.000000,75274104517.000000,-6925496960.000000,,,1824225600.000000,,70172833157.000000,812379718258.000000,-177203624605.000000,635176093653.000000,,635176093653.000000,8391985065.000000,643568078718.000000,635176093653.000000,627950145504.000000,7225948149.000000,635176093653.000000,643568078718.000000,636342130569.000000,7225948149.000000,,643568078718.000000
12M 2013,6854889233121.000000,-4135086565009.000000,2719802668112.000000,-1962257010282.000000,-1664542204226.000000,-407275905400.000000,109561099344.000000,-1962257010282.000000,757545657830.000000,72389745256.000000,80645956633.000000,-7297688177.000000,,,-958523200.000000,,72389745256.000000,829935403086.000000,-191400294291.000000,638535108795.000000,,638535108795.000000,35611613039.000000,674146721834.000000,638535108795.000000,634622746467.000000,3912362328.000000,638535108795.000000,674146721834.000000,670234359506.000000,3912362328.000000,,674146721834.000000
12M 2014,7512115037587.000000,-4572218401004.000000,2939896636583.000000,-2261645273552.000000,-1884072436469.000000,-419558619423.000000,41985782340.000000,-2261645273552.000000,678251363031.000000,64481256467.000000,87847952765.000000,-9681023156.000000,,,-13685673142.000000,,64481256467.000000,742732619498.000000,-158439557374.000000,584293062124.000000,,584293062124.000000,18580615285.000000,602873677409.000000,584293062124.000000,579379534765.000000,4913527359.000000,584293062124.000000,602873677409.000000,597960150050.000000,4913527359.000000,,602873677409.000000
12M 2015,8181481867179.000000,-5063909651665.000000,3117572215514.000000,-2425777430245.000000,-2005396873955.000000,-458543900174.000000,38163343884.000000,-2425777430245.000000,691794785269.000000,15316147598.000000,73664258131.000000,-5803931529.000000,,,-13268205702.000000,-39275973302.000000,15316147598.000000,707110932867.000000,-177892281060.000000,529218651807.000000,,529218651807.000000,52242517862.000000,581461169669.000000,529218651807.000000,521959194423.000000,7259457384.000000,529218651807.000000,581461169669.000000,574201712285.000000,7259457384.000000,,581461169669.000000
12M 2016,9138238993842.000000,-5653874822666.000000,3484364171176.000000,-2792480040917.000000,-2336617049311.000000,-502897606337.000000,47034614731.000000,-2792480040917.000000,691884130259.000000,27074070110.000000,63162296862.000000,-8026998259.000000,,,-2220261686.000000,-25840966807.000000,27074070110.000000,718958200369.000000,-173464664107.000000,545493536262.000000,,545493536262.000000,-18841817628.000000,526651718634.000000,545493536262.000000,536273826937.000000,9219709325.000000,545493536262.000000,526651718634.000000,517769314261.000000,8882404373.000000,,526651718634.000000
12M 2017,9565462045199.000000,-5907286902999.000000,3658175142200.000000,-3024011074297.000000,-2488441696775.000000,-547288289015.000000,11718911493.000000,-3024011074297.000000,634164067903.000000,109926194970.000000,73157117119.000000,-23761732536.000000,,,576891363.000000,59953919024.000000,109926194970.000000,744090262873.000000,-186750680877.000000,557339581996.000000,,557339581996.000000,-95642149525.000000,461697432471.000000,557339581996.000000,543803896478.000000,13535685518.000000,557339581996.000000,461697432471.000000,450523902796.000000,11173529675.000000,,461697432471.000000
12M 2018,10088118830780.000000,-6246536620082.000000,3841582210698.000000,-3139005735489.000000,-2632954167821.000000,-563767602908.000000,57716035240.000000,-3139005735489.000000,702576475209.000000,25123703696.000000,74324750104.000000,-29207817043.000000,,,-2269652883.000000,-17723576482.000000,25123703696.000000,727700178905.000000,-187322033018.000000,540378145887.000000,,540378145887.000000,12660955989.000000,553039101876.000000,540378145887.000000,512028758825.000000,28349387062.000000,540378145887.000000,553039101876.000000,524210824601.000000,28828277275.000000,,553039101876.000000
12M 2019,10993842057747.000000,-6752312739035.000000,4241529318712.000000,-3444449497631.000000,-2837917470758.000000,-572413632822.000000,-34118394051.000000,-3444449497631.000000,797079821081.000000,-858909609.000000,90683171895.000000,-48181736807.000000,,,-17667930580.000000,-25692414117.000000,-858909609.000000,796220911472.000000,-201065998598.000000,595154912874.000000,,595154912874.000000,-26655842576.000000,568499070298.000000,595154912874.000000,554263001029.000000,40891911845.000000,595154912874.000000,568499070298.000000,529926626764.000000,38572443534.000000,,568499070298.000000
12M 2020,10968402090246.000000,-7055613010741.000000,3912789079505.000000,-2837141915252.000000,-2291480869504.000000,-507457277636.000000,-38203768112.000000,-2837141915252.000000,1075647164253.000000,-11198629379.000000,82628410552.000000,-48344863874.000000,,,-13249872778.000000,-32232303279.000000,-11198629379.000000,1064448534874.000000,-230078783192.000000,834369751682.000000,,834369751682.000000,9534514227.000000,843904265909.000000,834369751682.000000,787803135441.000000,46566616241.000000,834369751682.000000,843904265909.000000,797399802068.000000,46504463841.000000,,843904265909.000000
12M 2021,11234443003639.000000,-7226149613742.000000,4008293389897.000000,-2903946851293.000000,-2366875498863.000000,-554895359698.000000,17824007268.000000,-2903946851293.000000,1104346538604.000000,-5976121133.000000,54920983596.000000,-48124205541.000000,,,15341255330.000000,-28114154518.000000,-5976121133.000000,1098370417471.000000,-220552779828.000000,877817637643.000000,,877817637643.000000,-3107788936.000000,874709848707.000000,877817637643.000000,823767936791.000000,54049700852.000000,877817637643.000000,874709848707.000000,820722564924.000000,53987283783.000000,,874709848707.000000
