Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan Bunga,Pembayaran Pajak,Penerimaan Restitusi Pajak,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Aset Tetap - Penjualan,Perolehan Aset Tetap,Penjualan Penyertaan Saham,"Pengurangan (Penambahan) Atas Investasi Jangka Pendek, Neto",Penambahan Penyertaan Saham,Penempatan Investasi Jangka Pendek,Penerimaan Atas Investasi Jangka Pendek,Penjualan Entitas Anak,"Perolehan Entitas Anak, Setelah Dikurangi Kas Dan Setara Kas Yang Diperoleh",Penerimaan Dividen Kas,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank,Pembayaran Utang Bank,Penerimaan (Pembayaran) Kepada Pihak-Pihak Berelasi,Pembayaran Utang Sewa Pembiayaan,Penerimaan Dari Uang Muka Saham,Pembayaran Kepada Pihak Berelasi,Penerimaan Atas Pengeluaran Saham Baru,Penerimaan Setoran Modal Saham Dari Kepentingan Non-Pengendali Atas Entitas Anak,Pembayaran Dividen,Kepentingan Non Pengendali,Pemilik Entitas Induk,Total Pembayaran Dividen,Pembayaran Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Dari Entitas Yang Tidak Lagi Dikonsolidasikan,Kas Dan Setara Kas Akhir Periode
12M 2008,292296080215.000000,3649210603960.000000,-3230341841878.000000,,66092234887.000000,-228746894262.000000,38908310067.000000,-2826332559.000000,292296080215.000000,-35806798716.000000,5122629637.000000,-75454779518.000000,,30804981000.000000,,,,,,3720370165.000000,-35806798716.000000,-266007751599.000000,65500000000.000000,-56950000000.000000,-4552522594.000000,-5229005.000000,,,,,-270000000000.000000,,,-270000000000.000000,,-266007751599.000000,32535775565.000000,23017305465.000000,985235270032.000000,,1008252575497.000000
12M 2009,476589761145.000000,4522271173624.000000,-3861927158121.000000,,65762630156.000000,-247247679031.000000,1649627527.000000,-3918833010.000000,476589761145.000000,-101323962078.000000,11142448839.000000,-124528797517.000000,,,,,,,,12062386600.000000,-101323962078.000000,-153998536175.000000,155380000000.000000,-122750000000.000000,-5152446719.000000,-1169733956.000000,,,,,-180306355500.000000,,,-180306355500.000000,,-153998536175.000000,-48789224219.000000,172478038673.000000,1008252575497.000000,,1180730614170.000000
12M 2010,578089303003.000000,5215766923561.000000,-4403795407185.000000,,69396640582.000000,-299217875245.000000,3544268472.000000,-7605247182.000000,578089303003.000000,-85004254878.000000,11602696149.000000,-110414774197.000000,,,,-10000000000.000000,18458510170.000000,,,5349313000.000000,-85004254878.000000,-247458132515.000000,214068390609.000000,-163479892907.000000,-3834775033.000000,-1711855184.000000,,,,,-292500000000.000000,,,-292500000000.000000,,-247458132515.000000,-27982154506.000000,217644761104.000000,1180730614170.000000,,1398375375274.000000
12M 2011,587799605916.000000,5920466655609.000000,-5060418088652.000000,,82052790345.000000,-345197409918.000000,,-9104341468.000000,587799605916.000000,-180858830811.000000,7627862141.000000,-202993223450.000000,,,,-15000000000.000000,,,22089312498.000000,7417218000.000000,-180858830811.000000,-194706246952.000000,259617500000.000000,-234290000000.000000,-3001668688.000000,-1780538264.000000,,,,,-215251540000.000000,,,-215251540000.000000,,-194706246952.000000,-1791175103.000000,210443353050.000000,1398375375274.000000,,1608818728324.000000
12M 2012,635028604390.000000,6730431000533.000000,-5765094077691.000000,,74805476863.000000,-405895323269.000000,8249374466.000000,-7467846512.000000,635028604390.000000,-219405648136.000000,4956156902.000000,-210613383630.000000,,,,-30000000000.000000,17297460592.000000,380175000.000000,-4802000000.000000,3375943000.000000,-219405648136.000000,-394242187107.000000,224904528006.000000,-275066234746.000000,-176616891.000000,-1312704358.000000,,,,,,-81752347768.000000,-260838811350.000000,-342591159118.000000,,-394242187107.000000,21251521924.000000,42632291071.000000,1608818728324.000000,,1651451019395.000000
12M 2013,448669480614.000000,7084890930959.000000,-6257431876669.000000,,79753006054.000000,-457674133782.000000,5982887554.000000,-6851333502.000000,448669480614.000000,-182308265278.000000,237830037010.000000,-421973528288.000000,,,,,,,,1835226000.000000,-182308265278.000000,-260370496264.000000,252513874023.000000,-171665703045.000000,-1807737531.000000,-1775656776.000000,,,,,,-76858149085.000000,-260777123850.000000,-337635272935.000000,,-260370496264.000000,134780081296.000000,140770800368.000000,1651451019395.000000,,1792221819763.000000
12M 2014,512956089428.000000,7723484460296.000000,-6861652041087.000000,,87368883698.000000,-427737845359.000000,1250738266.000000,-9758106386.000000,512956089428.000000,-392273987548.000000,11287647227.000000,-403561634775.000000,,,,,,,,,-392273987548.000000,-443480931419.000000,311168171559.000000,-407154338682.000000,-8149401254.000000,-1696834670.000000,,,,,,-76635387022.000000,-261013141350.000000,-337648528372.000000,,-443480931419.000000,2391289071.000000,-320407540468.000000,1792221819763.000000,,1471814279295.000000
12M 2015,778361981647.000000,8287779975397.000000,-7119235585453.000000,,72475749618.000000,-457485911004.000000,528600442.000000,-5700847353.000000,778361981647.000000,-266324532501.000000,11008135604.000000,-262332668105.000000,,10000000000.000000,-25000000000.000000,,,,,,-266324532501.000000,-298565830311.000000,226638100353.000000,-231479557492.000000,-756198327.000000,-610637107.000000,,,,,,-68685427786.000000,-223672109952.000000,-292357537738.000000,,-298565830311.000000,62183229140.000000,275654847975.000000,1460372816467.000000,,1736027664442.000000
12M 2016,491655348447.000000,9003293887625.000000,-8135384753482.000000,,62212384020.000000,-466394302993.000000,35513147387.000000,-7585014110.000000,491655348447.000000,-387052250322.000000,21203577156.000000,-388265207478.000000,,-14990620000.000000,-5000000000.000000,,,,,,-387052250322.000000,-132501729109.000000,724331053350.000000,-644433231071.000000,21947076360.000000,-5058218587.000000,,,,,,-53215613261.000000,-176072795900.000000,-229288409161.000000,,-132501729109.000000,-21858218162.000000,-49756849146.000000,1736027664442.000000,,1686270815296.000000
12M 2017,544164330634.000000,9283545373175.000000,-7326051432179.000000,-936845116777.000000,76528934023.000000,-538603804385.000000,9150465548.000000,-23560088771.000000,544164330634.000000,-276561890475.000000,62693610846.000000,-389056012112.000000,,50000000000.000000,-811000000.000000,,,,,611510791.000000,-276561890475.000000,-11619328477.000000,109066385552.000000,,7321235880.000000,-8084361764.000000,,,105261875000.000000,,,-48091100809.000000,-177093362336.000000,-225184463145.000000,,-11619328477.000000,12702337673.000000,268685449355.000000,1686270815296.000000,18319841680.000000,1973276106331.000000
12M 2018,389088123975.000000,10001416139413.000000,-8070131704552.000000,-1068528786987.000000,72332871731.000000,-526447491388.000000,8644224645.000000,-28197128887.000000,389088123975.000000,-435278569446.000000,46040775682.000000,-466219345128.000000,,-15000000000.000000,-100000000.000000,,,,,,-435278569446.000000,-59827253135.000000,163048444921.000000,,-6603329916.000000,-18053531344.000000,,,,,,-54958660194.000000,-143260176602.000000,-198218836796.000000,,-59827253135.000000,35919444853.000000,-70098253753.000000,1973276106331.000000,,1903177852578.000000
12M 2019,889775270261.000000,11006222109243.000000,-8563261725647.000000,-1083065673776.000000,91256205709.000000,-608007758084.000000,94548355665.000000,-47916242849.000000,889775270261.000000,-365374820110.000000,57067497712.000000,-328687646138.000000,,-60000000000.000000,-33999276000.000000,,,,,244604316.000000,-365374820110.000000,-150246374076.000000,5354197956681.000000,-5250981692894.000000,-8990814120.000000,-34468358396.000000,,,,,,-65602339280.000000,-144401126067.000000,-210003465347.000000,,-150246374076.000000,-23115861077.000000,351038214998.000000,1903177852578.000000,,2254216067576.000000
12M 2020,982698939026.000000,11905438831478.000000,-9579298686556.000000,-1001317535488.000000,82373736249.000000,-521052950620.000000,144896505959.000000,-48340961996.000000,982698939026.000000,-388562094938.000000,33735922555.000000,-447836621809.000000,,35000000000.000000,-9706000000.000000,,,,,244604316.000000,-388562094938.000000,-212012632568.000000,5625788524937.000000,-5507467549813.000000,-9461158273.000000,-65872449419.000000,,,,,,-71530509100.000000,-183469490900.000000,-255000000000.000000,,-212012632568.000000,9590536973.000000,391714748493.000000,2254216067576.000000,,2645930816069.000000
