Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Pajak,Utang Sewa Pembiayaan,Liabilitas Keuangan Lainnya,Pihak Ketiga,Pihak Berelasi,Total Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank,Liabilitas Keuangan Lainnya,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1008252575497.000000,54847862157.000000,372571526768.000000,371395711788.000000,1175814980.000000,372571526768.000000,18587063913.000000,17324261077.000000,1262802836.000000,18587063913.000000,556760205595.000000,44135595950.000000,2055154829880.000000,,,665063282472.000000,28607873878.000000,70765549239.000000,147465519981.000000,911902225570.000000,2967057055450.000000,,,536504707248.000000,32700000000.000000,,352759143923.000000,1116271324.000000,353875415247.000000,55971167596.000000,22325316110.000000,959571748.000000,,62745815133.000000,7927421414.000000,70673236547.000000,,536504707248.000000,119427626758.000000,1389275887.000000,,,6907588371.000000,111130762500.000000,119427626758.000000,655932334006.000000,,225000000000.000000,124457261916.000000,1802514804428.000000,15750000000.000000,1786764804428.000000,1802514804428.000000,75436961313.000000,83715693787.000000,2311124721444.000000,2967057055450.000000,4500000000.000000
12M 2009,,,1180730614170.000000,59269550777.000000,464627714190.000000,464056240077.000000,571474113.000000,464627714190.000000,17738112352.000000,17105853926.000000,632258426.000000,17738112352.000000,585060214235.000000,46650408601.000000,2354076614325.000000,,,715003306406.000000,30841476522.000000,32549587774.000000,130631929981.000000,909026300683.000000,3263102915008.000000,,,678727987910.000000,63600000000.000000,,439569819437.000000,5492939585.000000,445062759022.000000,82468200813.000000,21032922319.000000,1705456003.000000,,59371652764.000000,5486996989.000000,64858649753.000000,,678727987910.000000,140919109738.000000,5399074375.000000,,,8161556474.000000,127358478889.000000,140919109738.000000,819647097648.000000,,225000000000.000000,124457261916.000000,1982479180766.000000,18000000000.000000,1964479180766.000000,1982479180766.000000,34584949537.000000,76934425141.000000,2443455817360.000000,3263102915008.000000,4500000000.000000
12M 2010,,,1398375375274.000000,52376646157.000000,536150472461.000000,535646482268.000000,503990193.000000,536150472461.000000,18618895376.000000,18414899775.000000,203995601.000000,18618895376.000000,595461383425.000000,41083020105.000000,2642065792798.000000,,,760788196333.000000,31881427299.000000,26055080418.000000,128805414372.000000,947530118422.000000,3589595911220.000000,,,784352502804.000000,113348997702.000000,,411829400305.000000,6804546374.000000,418633946679.000000,83717841285.000000,40623053671.000000,1783241146.000000,,118939079340.000000,7306342981.000000,126245422321.000000,,784352502804.000000,160510197825.000000,3625297246.000000,,,10060840370.000000,146824060209.000000,160510197825.000000,944862700629.000000,,225000000000.000000,124457261916.000000,2178868439687.000000,20250000000.000000,2158618439687.000000,2178868439687.000000,40629147748.000000,75778361240.000000,2644733210591.000000,3589595911220.000000,4500000000.000000
12M 2011,,,1608818728324.000000,66952009447.000000,599337463351.000000,599068886020.000000,268577331.000000,599337463351.000000,37199180086.000000,36888094626.000000,311085460.000000,37199180086.000000,726343386672.000000,83329102607.000000,3121979870487.000000,,,886134968731.000000,36605097328.000000,23171035698.000000,182483423077.000000,1128394524834.000000,4250374395321.000000,,,1012652540775.000000,139740000000.000000,,572894229505.000000,1451784097.000000,574346013602.000000,129383062369.000000,43704276847.000000,1230364939.000000,,119958512002.000000,4290311016.000000,124248823018.000000,,1012652540775.000000,191786107538.000000,2397984928.000000,,,9742405024.000000,179645717586.000000,191786107538.000000,1204438648313.000000,,225000000000.000000,124457261916.000000,2564916837135.000000,22500000000.000000,2542416837135.000000,2564916837135.000000,39272532159.000000,92289115798.000000,3045935747008.000000,4250374395321.000000,4500000000.000000
12M 2012,,,1651451019395.000000,,745771375982.000000,745588339396.000000,183036586.000000,745771375982.000000,2284866709.000000,,2284866709.000000,2284866709.000000,764579315527.000000,229691737837.000000,3393778315450.000000,,18549731773.000000,1000822028797.000000,40322163775.000000,,179512730924.000000,1239206655269.000000,4632984970719.000000,,,1097134545306.000000,93838293260.000000,,627064317532.000000,1742848337.000000,628807165869.000000,166381745715.000000,56703427830.000000,1537023227.000000,,110855133306.000000,1857016220.000000,112712149526.000000,37154739879.000000,1097134545306.000000,182694345603.000000,2119492769.000000,,,7833761567.000000,172741091267.000000,182694345603.000000,1279828890909.000000,,225000000000.000000,124457261916.000000,2855366982639.000000,24750000000.000000,2830616982639.000000,2855366982639.000000,30909384878.000000,117422450377.000000,3353156079810.000000,4632984970719.000000,4500000000.000000
12M 2013,,,1792221819763.000000,,808788359595.000000,807738309955.000000,1050049640.000000,808788359595.000000,425140256.000000,,425140256.000000,425140256.000000,1000694231080.000000,388986308120.000000,3991115858814.000000,,15766982573.000000,1203851892215.000000,36028385027.000000,,161194797176.000000,1416842056991.000000,5407957915805.000000,,,1347465965403.000000,184499822919.000000,,743430209625.000000,1892726331.000000,745322935956.000000,180051698878.000000,34136061930.000000,1685257612.000000,,151786301549.000000,6892901576.000000,158679203125.000000,43090984983.000000,1347465965403.000000,197540096162.000000,1772167860.000000,,,8737296282.000000,187030632020.000000,197540096162.000000,1545006061565.000000,,225000000000.000000,397349057207.000000,3152489729106.000000,27000000000.000000,3125489729106.000000,3152489729106.000000,40761390637.000000,47351677290.000000,3862951854240.000000,5407957915805.000000,4500000000.000000
12M 2014,,,1460372816467.000000,,839642753550.000000,838837545878.000000,805207672.000000,839642753550.000000,56565813958.000000,,56565813958.000000,56565813958.000000,1056050634231.000000,302068972860.000000,3714700991066.000000,,46129890164.000000,1554389853202.000000,36072445100.000000,,241437313428.000000,1878029501894.000000,5592730492960.000000,,,1237332206210.000000,88355655796.000000,,815322037664.000000,2233736736.000000,817555774400.000000,163840881502.000000,45152890689.000000,937264131.000000,,76264792066.000000,3224228479.000000,79489020545.000000,42000719147.000000,1237332206210.000000,223059288200.000000,4965018705.000000,,,7757013089.000000,210337256406.000000,223059288200.000000,1460391494410.000000,,225000000000.000000,401447183825.000000,3394369263871.000000,29250000000.000000,3365119263871.000000,3394369263871.000000,45590258279.000000,65932292575.000000,4132338998550.000000,5592730492960.000000,4500000000.000000
12M 2015,,,1736027664442.000000,,923247607102.000000,922485151051.000000,762456051.000000,923247607102.000000,4168193475.000000,,4168193475.000000,4168193475.000000,1232919055623.000000,408559623710.000000,4304922144352.000000,,57861684462.000000,1616562460878.000000,38754855774.000000,,266627953737.000000,1979806954851.000000,6284729099203.000000,,,1696486657073.000000,86224198657.000000,,1277212946599.000000,22453853083.000000,1299666799682.000000,111666747805.000000,56309291167.000000,896517294.000000,,105451880863.000000,2843759605.000000,108295640468.000000,33427462000.000000,1696486657073.000000,251101467010.000000,4081062354.000000,,,9263481010.000000,237756923646.000000,251101467010.000000,1947588124083.000000,,225000000000.000000,367356829205.000000,3614248377022.000000,31500000000.000000,3582748377022.000000,3614248377022.000000,48499201643.000000,82036567250.000000,4337140975120.000000,6284729099203.000000,4500000000.000000
12M 2016,,,1686270815296.000000,,951557798945.000000,951172121759.000000,385677186.000000,951557798945.000000,730031724.000000,,730031724.000000,730031724.000000,1362026037353.000000,384499232973.000000,4385083916291.000000,,60641422776.000000,1806744212273.000000,46576069956.000000,,286761728142.000000,2200723433147.000000,6585807349438.000000,,,1653413220121.000000,165353994618.000000,,1157952985882.000000,21465568906.000000,1179418554788.000000,91902309938.000000,49844173055.000000,6788706584.000000,,109818177759.000000,1977852248.000000,111796030007.000000,48309451131.000000,1653413220121.000000,297120986625.000000,20134445344.000000,,,12757230648.000000,264229310633.000000,297120986625.000000,1950534206746.000000,,225000000000.000000,368156829205.000000,3915351093086.000000,33750000000.000000,3881601093086.000000,3915351093086.000000,53062054954.000000,73703165447.000000,4635273142692.000000,6585807349438.000000,4500000000.000000
12M 2017,,,1973276106331.000000,,1114717326997.000000,1113293220788.000000,1424106209.000000,1114717326997.000000,601372640.000000,,601372640.000000,601372640.000000,1478762390030.000000,482006668389.000000,5049363864387.000000,,5601382261.000000,1984179208981.000000,57173466265.000000,,338582387127.000000,2385536444634.000000,7434900309021.000000,,,2002621403597.000000,274420380170.000000,,1281057257778.000000,4967941313.000000,1286025199091.000000,143242660611.000000,49483371439.000000,7029361209.000000,,189331469191.000000,5590595941.000000,194922065132.000000,47498365945.000000,2002621403597.000000,350270496279.000000,15155497517.000000,,,15372215536.000000,319742783226.000000,350270496279.000000,2352891899876.000000,,225000000000.000000,336167869956.000000,4205418414456.000000,36000000000.000000,4169418414456.000000,4205418414456.000000,285168067860.000000,30254056873.000000,5082008409145.000000,7434900309021.000000,4500000000.000000
