Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.81,496.82,0.83,481.09,104 B,1 B,106 B,(903 B),"1,519 B"
12M 2009,1.36,535.30,1.38,528.07,130 B,5 B,136 B,"(1,045 B)","1,675 B"
12M 2010,2.95,578.69,2.98,572.90,241 B,4 B,245 B,"(1,153 B)","1,858 B"
12M 2011,3.82,668.15,3.85,663.00,265 B,2 B,268 B,"(1,341 B)","2,109 B"
12M 2012,5.05,738.28,5.05,738.28,208 B,2 B,210 B,"(1,441 B)","2,297 B"
12M 2013,3.83,849.38,3.83,849.38,345 B,2 B,347 B,"(1,446 B)","2,644 B"
12M 2014,3.15,908.17,3.15,908.17,169 B,5 B,174 B,"(1,287 B)","2,477 B"
12M 2015,1.84,953.03,1.84,953.03,195 B,4 B,199 B,"(1,537 B)","2,608 B"
12M 2016,1.93,1018.27,1.93,1018.27,284 B,20 B,304 B,"(1,382 B)","2,732 B"
12M 2017,1.69,1065.96,1.69,1065.96,476 B,15 B,492 B,"(1,482 B)","3,047 B"
12M 2018,1.22,1141.53,1.22,1141.53,561 B,37 B,598 B,"(1,305 B)","3,092 B"
12M 2019,1.14,1219.23,1.14,1219.23,564 B,206 B,770 B,"(1,484 B)","3,479 B"
12M 2020,1.04,1345.82,1.04,1345.82,586 B,339 B,925 B,"(1,721 B)","3,933 B"
12M 2021,1.04,1448.02,1.04,1448.02,592 B,473 B,"1,065 B","(1,622 B)","4,344 B"
12M 2022,0.88,1599.87,0.88,1599.87,"1,338 B",372 B,"1,710 B","(1,774 B)","4,590 B"
12M 2023,1.08,1706.91,1.08,1706.91,"1,437 B",71 B,"1,507 B","(2,187 B)","4,775 B"
12M 2024,1.30,1926.84,1.30,1926.84,"1,090 B",59 B,"1,149 B","(3,308 B)","5,941 B"
