Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Lainnya,Penerimaan Bunga,Pembayaran Beban Bunga,Penerimaan Dari Pengembalian Pajak,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penjualan Investasi,Perolehan Aset Hak Guna,Akuisisi Entitas Anak,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Utang Sewa,Pembayaran Utang Sewa,Pembayaran Kewajiban Lainnya,Pembayaran Dividen,Agio Saham,Tambahan Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,13982478772.000000,172087943078.000000,-149491701485.000000,27043636.000000,-7556286501.000000,,-1084519956.000000,13982478772.000000,-1660609468.000000,-2135137194.000000,,,,,474527726.000000,-1660609468.000000,-11944890136.000000,71286696696.000000,-83127923212.000000,4250188.000000,-107913808.000000,,,,,-11944890136.000000,376979168.000000,759215157.000000,1136194325.000000
12M 2021,-8606502032.000000,140028544534.000000,-138526457967.000000,5171676.000000,-8412236513.000000,,-1701523762.000000,-8606502032.000000,-8305625339.000000,-8842216246.000000,,,,,536590907.000000,-8305625339.000000,16873738139.000000,87661809491.000000,-71286696696.000000,502875532.000000,-4250188.000000,,,,,16873738139.000000,-38389232.000000,1136194325.000000,1097805093.000000
12M 2022,19937496424.000000,288680858768.000000,-255353664737.000000,3463448.000000,-8619951962.000000,801752381.000000,-5574961474.000000,19937496424.000000,-5574535632.000000,-5090261164.000000,-526988940.000000,,,,42714472.000000,-5574535632.000000,2751005765.000000,89220299974.000000,-87661809491.000000,1695390814.000000,-502875532.000000,,,,,2751005765.000000,17113966557.000000,1097805093.000000,18211771650.000000
12M 2023,-45752721294.000000,180524686036.000000,-218644844768.000000,10906653.000000,-6248669072.000000,,-1394800143.000000,-45752721294.000000,-78743789275.000000,-15057798735.000000,-205450000.000000,660000000.000000,-250000000.000000,-64400000000.000000,509459460.000000,-78743789275.000000,113388458301.000000,167891106698.000000,-121425522722.000000,,-477125675.000000,,-10000000000.000000,,77400000000.000000,113388458301.000000,-11108052268.000000,18211771650.000000,7103719382.000000
12M 2024,-131784929905.000000,225499501510.000000,-326946700223.000000,5629899.000000,-11487612188.000000,1027034399.000000,-19882783302.000000,-131784929905.000000,-35317514056.000000,-36348656181.000000,-82450000.000000,,-928956017.000000,,2042548142.000000,-35317514056.000000,162038817090.000000,425583656273.000000,-380662328417.000000,,-502505002.000000,,,97411244236.000000,20208750000.000000,162038817090.000000,-5063626871.000000,7103719383.000000,2040092512.000000
