Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Penyesuaian Proforma,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,148939290627.000000,-92783611913.000000,56155678714.000000,-55541588733.000000,-56278873277.000000,737284544.000000,-55541588733.000000,614089981.000000,-7529242865.000000,27043636.000000,-7556286501.000000,-7529242865.000000,-6915152884.000000,-1143639811.000000,-1621992020.000000,478352209.000000,-1143639811.000000,-8058792695.000000,-8058792695.000000,-1476036522.000000,-1001263332.000000,-10536092549.000000,-8058792695.000000,-8058792695.000000,,-8058792695.000000,-10536092549.000000,-10536092549.000000,,-10536092549.000000
12M 2021,162182303811.000000,-106513581440.000000,55668722371.000000,-41947458991.000000,-43504974993.000000,1557516002.000000,-41947458991.000000,13721263380.000000,-8407064837.000000,5171676.000000,-8412236513.000000,-8407064837.000000,5314198543.000000,-1286891735.000000,-885686340.000000,-401205395.000000,-1286891735.000000,4027306808.000000,4027306808.000000,-5989266130.000000,985182363.000000,-976776959.000000,4027306808.000000,4027306808.000000,,4027306808.000000,-976776959.000000,-976776959.000000,,-976776959.000000
12M 2022,302520408105.000000,-190347898742.000000,112172509363.000000,-75161617638.000000,-74831744876.000000,-329872762.000000,-75161617638.000000,37010891725.000000,-8616488514.000000,3463448.000000,-8619951962.000000,-8616488514.000000,28394403211.000000,-5915945591.000000,-4925563720.000000,-990381871.000000,-5915945591.000000,22478457620.000000,22478457620.000000,-6259777887.000000,-486066099.000000,15732613634.000000,22478457620.000000,22478457620.000000,,22478457620.000000,15732613634.000000,15732613634.000000,,15732613634.000000
12M 2023,269070671933.000000,-163103820811.000000,105966851122.000000,-59485748463.000000,-61332587153.000000,1846838690.000000,-59485748463.000000,46481102659.000000,-6237762419.000000,10906653.000000,-6248669072.000000,-6237762419.000000,40243340240.000000,-8289385021.000000,-8254682480.000000,-34702541.000000,-8289385021.000000,31953955219.000000,31953955219.000000,,446911737.000000,32400866956.000000,31953955219.000000,31945320811.000000,8634408.000000,31953955219.000000,32400866956.000000,32392161080.000000,8705876.000000,32400866956.000000
12M 2024,261847241142.000000,-129195607763.000000,132651633379.000000,-85743218244.000000,-85784056358.000000,40838114.000000,-85743218244.000000,46908415135.000000,-11481982289.000000,5629899.000000,-11487612188.000000,-11481982289.000000,35426432846.000000,-8393848250.000000,-8853794620.000000,459946370.000000,-8393848250.000000,27032584596.000000,27032584596.000000,,651160478.000000,27683745074.000000,27032584596.000000,27026645867.000000,5938729.000000,27032584596.000000,27683745074.000000,27677149976.000000,6595098.000000,27683745074.000000
