Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Utang Lain-Lain,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,759215157.000000,75070582072.000000,26200683892.000000,48869898180.000000,75070582072.000000,594331322.000000,,594331322.000000,594331322.000000,87740894367.000000,18176592952.000000,182341615870.000000,,70472979220.000000,,3065386149.000000,10741000000.000000,84279365369.000000,266620981239.000000,,,129178116381.000000,,59365165.000000,17930665290.000000,17990030455.000000,1594278598.000000,43214885623.000000,6274047022.000000,,56662660122.000000,107913808.000000,56770573930.000000,3334300753.000000,129178116381.000000,35908110546.000000,26465263090.000000,9442847456.000000,35908110546.000000,165086226927.000000,,28000000000.000000,5211000000.000000,25310623278.000000,,25310623278.000000,25310623278.000000,,43013131034.000000,101534754312.000000,266620981239.000000,56000.000000
12M 2020,,,1136194325.000000,50711904313.000000,21424403133.000000,29287501180.000000,50711904313.000000,165416148.000000,,165416148.000000,165416148.000000,90230808903.000000,11386624320.000000,153630948009.000000,,58206058346.000000,,3887708625.000000,3300000000.000000,65393766971.000000,219024714980.000000,,,109511135982.000000,,59365165.000000,6984895615.000000,7044260780.000000,1762353983.000000,25872928396.000000,1148649060.000000,,71286696696.000000,4250188.000000,71290946884.000000,2391996879.000000,109511135982.000000,11658310481.000000,,11658310481.000000,11658310481.000000,121169446463.000000,,28000000000.000000,5211000000.000000,15775794061.000000,,15775794061.000000,15775794061.000000,,48868474456.000000,97855268517.000000,219024714980.000000,56000.000000
12M 2021,,,1097805093.000000,66040412715.000000,16939424250.000000,49100988465.000000,66040412715.000000,23557496.000000,,23557496.000000,23557496.000000,99257214179.000000,19635311643.000000,186054301126.000000,,55694007008.000000,,3208631282.000000,3300000000.000000,62202638290.000000,248256939416.000000,,,118393288460.000000,,115721740.000000,14844126392.000000,14959848132.000000,1518078455.000000,21924802586.000000,2528310540.000000,,71547209504.000000,77930767.000000,71625140271.000000,5837108476.000000,118393288460.000000,26995893268.000000,16114599987.000000,10881293281.000000,26995893268.000000,145389181728.000000,,28000000000.000000,5211000000.000000,13813834739.000000,,13813834739.000000,13813834739.000000,,55842922949.000000,102867757688.000000,248256939416.000000,56000.000000
12M 2022,,,18211771650.000000,81612856266.000000,20159355700.000000,61453500566.000000,81612856266.000000,53771895.000000,,53771895.000000,53771895.000000,108939580793.000000,19226957982.000000,228044938586.000000,,51889406885.000000,526988940.000000,2355344977.000000,3967797605.000000,58739538407.000000,286784476993.000000,,,127320693307.000000,,338624917.000000,29137788983.000000,29476413900.000000,3108182293.000000,20182587394.000000,2007819665.000000,,66916707042.000000,1137994148.000000,68054701190.000000,4490988865.000000,127320693307.000000,34603634477.000000,22303592932.000000,12300041545.000000,34603634477.000000,161924327784.000000,,28000000000.000000,5211000000.000000,30032514472.000000,,30032514472.000000,30032514472.000000,,61616634737.000000,124860149209.000000,286784476993.000000,56000.000000
12M 2023,,,7103719383.000000,167640183532.000000,76270158814.000000,91370024718.000000,167640183532.000000,6769723894.000000,5232899780.000000,1536824114.000000,6769723894.000000,92329475481.000000,17552416510.000000,291395518800.000000,,57250742727.000000,732418107.000000,2361916572.000000,241666666.000000,60586744072.000000,351982262872.000000,,,106807231720.000000,,,9183839571.000000,9183839571.000000,9387039760.000000,708840499.000000,483973644.000000,,82450319670.000000,1070330193.000000,83520649863.000000,3522888383.000000,106807231720.000000,60938940148.000000,48409207724.000000,12529732424.000000,60938940148.000000,167746171868.000000,,94616375350.000000,27378913831.000000,33018083498.000000,20200236.000000,32997883262.000000,33018083498.000000,81455578.000000,29141262746.000000,184236091003.000000,351982262871.000000,3784655014.000000
12M 2024,,,2040092512.000000,200254777754.000000,79055731644.000000,121199046110.000000,200254777754.000000,132553881.000000,,132553881.000000,132553881.000000,181552910781.000000,65446788336.000000,449427123264.000000,,79705977305.000000,752078523.000000,2470876131.000000,710033563.000000,83638965522.000000,533066088786.000000,,,182349746353.000000,,2704081.000000,5735334474.000000,5738038555.000000,2878471054.000000,237875000.000000,2230849633.000000,,165841180801.000000,1283042092.000000,167124222893.000000,4140289218.000000,182349746353.000000,21176512120.000000,9939674450.000000,11236837670.000000,21176512120.000000,203526258473.000000,,114825125350.000000,27378913831.000000,60044729365.000000,20200236.000000,60024529129.000000,60044729365.000000,87394307.000000,127203667460.000000,329539830313.000000,533066088786.000000,4593005014.000000
