Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Direksi Dan Karyawan,Pembayaran Pajak Penghasilan,Penerimaan Bunga,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Uang Muka Untuk Perolehan Aset Tetap,Tranfer Uang Muka Pembelian Aset Tetap,Pengurangan (Penambahan) Uang Muka Pembelian Bersih Aset Tetap,Investasi Atas Penyertaan Saham,Perolehan Investasi Pada Ventura Bersama,Hasil Penjualan Aset Tetap,Hasil Penjualan Dari Investasi Atas Penyertaan Saham,Penarikan Investasi Sementara,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hasil Penerbitan Saham Biasa,Hasil Dari Pinjaman Bank Jangka Panjang,Tambahan Modal Disetor,Penerimaan Pinjaman Bank Jangka Pendek,Pembayaran Dividen Tunai,Pembayaran Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Utang Jangka Panjang Lainnya,Perolehan Utang Jangka Panjang Lainnya,Perolehan Dari Pinjaman Bank Jangka Panjang,Pembayaran Dari Liabilitas,Perolehan Dari Liabilitas Sewa Pembiayaan,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,13635457000.000000,404602444000.000000,-345652070000.000000,-38954752000.000000,-7106804000.000000,746639000.000000,,13635457000.000000,-7826749000.000000,-8239659000.000000,-25000000.000000,,,,,,261316000.000000,,176594000.000000,-7826749000.000000,-18163253000.000000,,,,,,-5000000000.000000,-9386101000.000000,-257235000.000000,,,,,-3519917000.000000,-18163253000.000000,-12354545000.000000,39453582000.000000,27099037000.000000
12M 2019,30092815000.000000,372644308000.000000,-278182881000.000000,-42627546000.000000,-23277962000.000000,1536896000.000000,,30092815000.000000,-37962147000.000000,-38814276000.000000,,,,,,,28723000.000000,,823406000.000000,-37962147000.000000,60623514000.000000,45536883000.000000,,,,,,-10488896000.000000,-103048000.000000,,28300000000.000000,,,-2621425000.000000,60623514000.000000,52754182000.000000,27099037000.000000,79853219000.000000
12M 2020,47594558000.000000,310730994000.000000,-208883404000.000000,-45176069000.000000,-12180268000.000000,3103305000.000000,,47594558000.000000,-34402750000.000000,-34402750000.000000,,,,,,,,,,-34402750000.000000,7157925000.000000,,,,31099969000.000000,-7500000000.000000,-10000000000.000000,-10897653000.000000,,,4500000000.000000,,3550493000.000000,-3594884000.000000,7157925000.000000,20349733000.000000,79853218000.000000,100202951000.000000
12M 2021,-40371496000.000000,395681372000.000000,-367628406000.000000,-57714233000.000000,-12108703000.000000,1398474000.000000,,-40371496000.000000,-31418176000.000000,-31023041000.000000,-395135000.000000,,,,,,,,,-31418176000.000000,-8755957000.000000,,,,28300000000.000000,-7500000000.000000,-9393456000.000000,-30084948000.000000,-4666667000.000000,17500000000.000000,,-1381345000.000000,977912000.000000,-2507453000.000000,-8755957000.000000,-80545629000.000000,100202951000.000000,19657322000.000000
12M 2022,-29268614000.000000,584328100000.000000,-536350424000.000000,-62904983000.000000,-14418985000.000000,77678000.000000,,-29268614000.000000,-89688158000.000000,-45421105000.000000,-399599000.000000,,,,-42533700000.000000,-1500000000.000000,166246000.000000,,,-89688158000.000000,113312814000.000000,,,,234967814000.000000,-9000000000.000000,-139453683000.000000,-3908573000.000000,-3500000000.000000,,17820000000.000000,-1862268000.000000,24219546000.000000,-5970022000.000000,113312814000.000000,-5643958000.000000,19657323000.000000,14013365000.000000
12M 2023,49332623000.000000,353745740000.000000,-248986324000.000000,-49899712000.000000,-5637250000.000000,110169000.000000,,49332623000.000000,-44618322000.000000,-47637761000.000000,-121050000.000000,7421649000.000000,,,,-4301160000.000000,20000000.000000,,,-44618322000.000000,-2746122000.000000,,,,1279645000.000000,,-22176237000.000000,-2970000000.000000,-3500000000.000000,,41428954000.000000,-3032305000.000000,,-13776179000.000000,-2746122000.000000,1968179000.000000,14013364000.000000,15981543000.000000
12M 2024,75552137000.000000,314210156000.000000,-190899246000.000000,-43775170000.000000,-4791157000.000000,807554000.000000,,75552137000.000000,12032872000.000000,-36752397000.000000,-44364000.000000,-1799029000.000000,23291083000.000000,,,,129667000.000000,27207912000.000000,,12032872000.000000,-56397273000.000000,,,,8418032000.000000,,-50190185000.000000,-12519575000.000000,-3500000000.000000,,12070160000.000000,-1248030000.000000,,-9427675000.000000,-56397273000.000000,31187736000.000000,15981542000.000000,47169278000.000000
