Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,444993904000.000000,-340778737000.000000,104215167000.000000,-53672193000.000000,-5458408000.000000,-27048691000.000000,-21165094000.000000,-53672193000.000000,50542974000.000000,-3519917000.000000,-3519917000.000000,-3519917000.000000,47023057000.000000,-12090039000.000000,,,-12090039000.000000,34933018000.000000,-4557932000.000000,30375086000.000000,34933018000.000000,34933018000.000000,,34933018000.000000,30375086000.000000,30375086000.000000,,30375086000.000000
12M 2019,381575196000.000000,-269484142000.000000,112091054000.000000,-35092277000.000000,-6541496000.000000,-29580084000.000000,1029303000.000000,-35092277000.000000,76998777000.000000,-2621425000.000000,-2621425000.000000,-2621425000.000000,74377352000.000000,-18855357000.000000,,,-18855357000.000000,55521995000.000000,2689193000.000000,58211188000.000000,55521995000.000000,55521995000.000000,,55521995000.000000,58211188000.000000,58211188000.000000,,58211188000.000000
12M 2020,282013025000.000000,-205725552000.000000,76287473000.000000,-37514102000.000000,-5170861000.000000,-35443522000.000000,3100281000.000000,-37514102000.000000,38773371000.000000,-3594884000.000000,-3594884000.000000,-3594884000.000000,35178487000.000000,-6655335000.000000,,,-6655335000.000000,28523152000.000000,-6848256000.000000,21674896000.000000,28523152000.000000,28523152000.000000,,28523152000.000000,21674896000.000000,21674896000.000000,,21674896000.000000
12M 2021,422882541000.000000,-324764311000.000000,98118230000.000000,-43707341000.000000,-12708965000.000000,-32739375000.000000,1740999000.000000,-43707341000.000000,54410889000.000000,-2507453000.000000,-2507453000.000000,-2507453000.000000,51903436000.000000,-13169644000.000000,-12714157000.000000,-455487000.000000,-13169644000.000000,38733792000.000000,-5970503000.000000,32763289000.000000,38733792000.000000,38733792000.000000,,38733792000.000000,32763289000.000000,32763289000.000000,,32763289000.000000
12M 2022,615332096000.000000,-495933419000.000000,119398677000.000000,-54372384000.000000,-10930893000.000000,-36117723000.000000,-7323768000.000000,-54372384000.000000,65026293000.000000,-5970022000.000000,-5970022000.000000,-5970022000.000000,59056271000.000000,-14565557000.000000,-14530445000.000000,-35112000.000000,-14565557000.000000,44490714000.000000,-924504000.000000,43566210000.000000,44490714000.000000,44490714000.000000,,44490714000.000000,43566211000.000000,43566211000.000000,,43566211000.000000
12M 2023,349501044000.000000,-321023643000.000000,28477401000.000000,-42824564000.000000,-10807225000.000000,-34339272000.000000,2321933000.000000,-42824564000.000000,-14347163000.000000,-13776179000.000000,-13776179000.000000,-13776179000.000000,-28123342000.000000,5746748000.000000,,5746748000.000000,5746748000.000000,-22376594000.000000,-5382061000.000000,-27758655000.000000,-22376594000.000000,-22376592000.000000,-2000.000000,-22376594000.000000,-27758655000.000000,-27758653000.000000,-2000.000000,-27758655000.000000
12M 2024,291364724000.000000,-239631500000.000000,51733224000.000000,-39810336000.000000,-7409078000.000000,-29942846000.000000,-2458412000.000000,-39810336000.000000,11922888000.000000,-9427675000.000000,-9427675000.000000,-9427675000.000000,2495213000.000000,1407400000.000000,,1407400000.000000,1407400000.000000,3902613000.000000,-475727000.000000,3426886000.000000,3902613000.000000,3902664000.000000,-51000.000000,3902613000.000000,3426886000.000000,3426937000.000000,-51000.000000,3426886000.000000
