Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2018,0.00,278.99,0.00,278.84,10 B,13 B,23 B,(4 B),110 B
12M 2019,0.79,326.94,0.79,326.87,9 B,31 B,40 B,(39 B),177 B
12M 2020,0.71,339.18,0.71,339.16,30 B,25 B,55 B,(45 B),170 B
12M 2021,2.39,303.59,2.39,303.29,47 B,10 B,57 B,37 B,181 B
12M 2022,1.91,364.16,1.91,363.66,142 B,21 B,,149 B,191 B
12M 2023,1.38,341.03,1.38,340.60,125 B,51 B,177 B,161 B,161 B
12M 2024,0.84,343.88,0.84,343.62,84 B,45 B,129 B,82 B,173 B
