Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Hasil Investasi,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,1430567160628.000000,-1154595992176.000000,275971168452.000000,-129255780489.000000,146715387963.000000,745538992.000000,,-2195479642.000000,-511216011.000000,3187449871.000000,319689686.000000,,-54904912.000000,745538992.000000,147460926955.000000,-22458121149.000000,,,-22458121149.000000,125002805806.000000,,,,125002805806.000000,125002805806.000000,125002805806.000000,,125002805806.000000,125002805806.000000,125002793055.000000,12751.000000,125002805806.000000
12M 2013,2012610470950.000000,-1606899710010.000000,405710760940.000000,-221710139459.000000,184000621481.000000,54703320288.000000,37569049999.000000,-8503636147.000000,679292263.000000,19460640700.000000,-13338962.000000,,5511312435.000000,54703320288.000000,238703941769.000000,-31924773797.000000,,,-31924773797.000000,206779167972.000000,,,,206779167972.000000,206779167972.000000,206779167972.000000,,206779167972.000000,206779167972.000000,206780230307.000000,-1062335.000000,206779167972.000000
12M 2014,2226769599921.000000,-1798137189833.000000,428632410088.000000,-329784592416.000000,98847817672.000000,57116309770.000000,3046875000.000000,-4590111244.000000,,24196320233.000000,500046979.000000,,33963178802.000000,57116309770.000000,155964127442.000000,-26501643704.000000,,,-26501643704.000000,129462483738.000000,,,,129462483738.000000,129462483738.000000,129470229055.000000,-7745317.000000,129462483738.000000,129462483738.000000,129470229055.000000,-7745317.000000,129462483738.000000
12M 2015,1780602295137.000000,-1447729582671.000000,332872712466.000000,-337659690254.000000,-4786977788.000000,50076829732.000000,,-3193930773.000000,,27912575618.000000,283390021.000000,,25074794866.000000,50076829732.000000,45289851944.000000,-12248868335.000000,,,-12248868335.000000,33040983609.000000,3789912000.000000,,3789912000.000000,36830895609.000000,33040983609.000000,33048535002.000000,-7551393.000000,33040983609.000000,36830895609.000000,36838447002.000000,-7551393.000000,36830895609.000000
12M 2016,1659849583812.000000,-1410865130396.000000,248984453416.000000,-314945243334.000000,-65960789918.000000,38488352889.000000,,-1757952897.000000,,22409062961.000000,-531253722.000000,,18368496547.000000,38488352889.000000,-27472437029.000000,-4797762702.000000,,,-4797762702.000000,-32270199731.000000,11549232000.000000,,11549232000.000000,-20720967731.000000,-32270199731.000000,-32268079317.000000,-2120414.000000,-32270199731.000000,-20720967731.000000,-20718847317.000000,-2120414.000000,-20720967731.000000
12M 2017,1818471209910.000000,-1548966747362.000000,269504462548.000000,-312972840018.000000,-43468377470.000000,39111222576.000000,,-626722678.000000,,21626660883.000000,-655684997.000000,,18766969368.000000,39111222576.000000,-4357154894.000000,-5444792898.000000,,,-5444792898.000000,-9801947792.000000,-2695077000.000000,,-2695077000.000000,-12497024792.000000,-9801947790.000000,-9799466562.000000,-2481228.000000,-9801947790.000000,-12497024790.000000,-12494543562.000000,-2481228.000000,-12497024790.000000
12M 2018,2003208506432.000000,-1718258856692.000000,284949649740.000000,-311685274501.000000,-26735624761.000000,46318027059.000000,,-294113913.000000,,31631744668.000000,-20396946.000000,-7963434095.000000,22964227345.000000,46318027059.000000,19582402298.000000,2243390000.000000,,,2243390000.000000,21825792298.000000,-1593530787.000000,,-1593530787.000000,20232261511.000000,21825792298.000000,21830464391.000000,-4672093.000000,21825792298.000000,20232261511.000000,20236933604.000000,-4672093.000000,20232261511.000000
12M 2019,1978631967708.000000,-1631941216390.000000,346690751318.000000,-336739921456.000000,9950829862.000000,21970803826.000000,,-424900572.000000,,23303686055.000000,43414584.000000,-8565632467.000000,7614236226.000000,21970803826.000000,31921633688.000000,1347614001.000000,,,1347614001.000000,33269247689.000000,179278287.000000,,179278287.000000,33448525976.000000,33269247689.000000,33272033902.000000,-2786213.000000,33269247689.000000,33448525976.000000,33451312189.000000,-2786213.000000,33448525976.000000
12M 2020,1618490505399.000000,-1340438220353.000000,278052285046.000000,-307355207331.000000,-29302922285.000000,12683026253.000000,,-725615310.000000,,19582868183.000000,-2734247268.000000,-7293969214.000000,3853989862.000000,12683026253.000000,-16619896032.000000,-3882270749.000000,,,-3882270749.000000,-20502166781.000000,-40823689303.000000,,-40823689303.000000,-61325856084.000000,-20502166781.000000,-20504946629.000000,2779848.000000,-20502166781.000000,-61325856084.000000,-61328635932.000000,2779848.000000,-61325856084.000000
12M 2021,1811358512969.000000,-1508475878604.000000,302882634365.000000,-320102173096.000000,-17219538731.000000,31363634756.000000,,-1896521234.000000,,11601750314.000000,-213708090.000000,-8489827120.000000,30361940886.000000,31363634756.000000,14144096025.000000,-5436798871.000000,,,-5436798871.000000,8707297154.000000,139288628781.000000,,139288628781.000000,147995925935.000000,8707297154.000000,8728077067.000000,-20779913.000000,8707297154.000000,147995925935.000000,148016705848.000000,-20779913.000000,147995925935.000000
12M 2022,2192317036972.000000,-1802448441042.000000,389868595930.000000,-377376167756.000000,12492428174.000000,-613072024.000000,,-2895923609.000000,,3967118659.000000,-808790659.000000,-9787699753.000000,8912223338.000000,-613072024.000000,11879356150.000000,542075461.000000,,542075461.000000,542075461.000000,12421431611.000000,-184351839460.000000,,-184351839460.000000,-171930407849.000000,12421431611.000000,12435795169.000000,-14363558.000000,12421431611.000000,-171930407849.000000,-171916044291.000000,-14363558.000000,-171930407849.000000
12M 2023,2469277515021.000000,-2054643588741.000000,414633926280.000000,-396790342949.000000,17843583331.000000,-4633773564.000000,,-1161540523.000000,,10275023423.000000,-10760089.000000,-10355979853.000000,-3380516522.000000,-4633773564.000000,13209809767.000000,-162493226.000000,,-162493226.000000,-162493226.000000,13047316541.000000,-84750842679.000000,,-84750842679.000000,-71703526138.000000,13047316541.000000,13061650929.000000,-14334388.000000,13047316541.000000,-71703526138.000000,-71689191750.000000,-14334388.000000,-71703526138.000000
12M 2024,2429123633795.000000,-2008300677707.000000,420822956088.000000,-421128677646.000000,-305721558.000000,9625184283.000000,,-2521269357.000000,,12292767398.000000,263885487.000000,-10680681668.000000,10270482423.000000,9625184283.000000,9319462725.000000,-829530824.000000,,-829530824.000000,-829530824.000000,8489931901.000000,-12803296829.000000,,-12803296829.000000,-4313364928.000000,8489931901.000000,8494709059.000000,-4777158.000000,8489931901.000000,-4313364928.000000,-4308587770.000000,-4777158.000000,-4313364928.000000
