Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Pajak,Pembayaran Pajak Final,Pembayaran Bunga,Penerimaan Kas Dari Hibah Pemerintah Terkait Dengan Penghasilan,Penerimaan Restitusi Pajak,Penerimaan (Pembayaran) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Aset Yang Dijaminkan,Pencairan Kontrak Pengelolaan Dana,Pengembalian Utang Lain-Lain,Penjualan Aset Tetap,Perolehan Aset Hak Guna,Perolehan Aset Tetap,Penjualan Properti Investasi,Penambahan Properti Investasi,Hasil Investasi,Penempatan Investasi Jangka Pendek,Pembelian Saham,Penempatan Aset Keuangan Dimiliki Hingga Jatuh Tempo,Pencairan Aset Keuangan Dimiliki Hingga Jatuh Tempo,Pembayaran Untuk Perolehan Aset Keuangan,Penempatan Deposito Yang Dijaminkan,Penempatan Reksadana,Pencairan Reksadana,Pencairan (Penempatan) Surat Utang Jangka Menengah,Penempatan Penyertaan Langsung,Pelepasan Investasi Jangka Pendek,Pencairan (Penempatan) Investasi Mudharabah,Bagi Hasil Investasi Mudharabah,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Pembayaran Uang Muka Pembelian Tanah,"Perolehan Entitas Anak,Setelah Dikurangi Kas Yang Diperoleh",Penambahan Investasi Di Entitas Asosiasi,Pelepasan Entitas Asosiasi,Pelepasan Entitas Anak,Investasi Pada Pihak Ketiga,Penerimaan Kas Dari Hibah Pemerintah Terkait Dengan Asset,Penempatan Uang Muka,Piutang Lain-Lain Yang Diberikan,Uang Muka Atas Perolehan Aset Tetap,Pengembalian Uang Muka,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Saham Dan Modal Disetor,Biaya Transaksi Penerbitan Saham,Pembayaran Utang Sewa Pembiayaan,Penambahan Utang Sewa Pembiayaan,Penempatan Aset Yang Dijaminkan,Pencairan Aset Yang Dijaminkan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pinjaman Jangka Panjang,Penerimaan,Pembayaran,Total Pinjaman Jangka Panjang,Pembayaran Bunga,Utang Pihak Berelasi,Pembayaran Dividen Kepada :,Pemilik Entitas Induk,Kepentingan Non Pengendali,Total Pembayaran Dividen Kepada :,Penerimaan Dari Kepentingan Non Pengendali,Penerimaan Piutang Dari Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Penerimaan Penjualan Saham Treasur,Pembayaran Pembelian Kembali Saham Treasuri,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Pengaruh Perubahan Kurs Mata Uang Asing,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,51068058036.000000,1422163597416.000000,-1257306424907.000000,,-107279407519.000000,,-6509706954.000000,,,,,,51068058036.000000,-136395172984.000000,,,,1071981375.000000,,-77984320368.000000,,,,,,,,,,,,,,,,,171687200.000000,-10328284577.000000,-49308003990.000000,,,,-18232624.000000,,,,,,,-136395172984.000000,77196187029.000000,52500000000.000000,,,,,,46725000000.000000,-19833333329.000000,,,,,-2195479642.000000,,,,,,,,,,,77196187029.000000,-8130927919.000000,,94287868750.000000,86156940831.000000
12M 2013,-85533776996.000000,2060471193216.000000,-1941488559144.000000,,-173242426855.000000,,-31273984213.000000,,,,,,-85533776996.000000,-490967058112.000000,,,,523850791.000000,,-352412154243.000000,,,37569049999.000000,-150000000000.000000,,,,,,,,,,,,,14116153457.000000,,-40963958116.000000,,,200000000.000000,,,,,,,,-490967058112.000000,1232797677280.000000,1252795029183.000000,,,,,,150000000000.000000,-161745458626.000000,,,,,-8503636147.000000,251742870.000000,,,,,,,,,,1232797677280.000000,656296842172.000000,,86156940831.000000,742453783003.000000
12M 2014,-6915784226.000000,2269788286308.000000,-1989052096940.000000,,-264406702768.000000,,-23245270826.000000,,,,,,-6915784226.000000,-241465924307.000000,,,,1064420642.000000,,-116245766205.000000,,,3046875000.000000,,,,,,,,,,,214841125000.000000,-276500000000.000000,25316388889.000000,,,-92988967633.000000,,,,,,,,,,,-241465924307.000000,-50451559432.000000,,,,3906854462.000000,,,,-12841481968.000000,,,,,-4590111244.000000,293620773.000000,-37220441455.000000,,,-37220441455.000000,,,,,,-50451559432.000000,-298833267965.000000,,742453783003.000000,443620515038.000000
12M 2015,42323201764.000000,1775309157357.000000,-1468036257919.000000,,-247505706520.000000,,-12185847250.000000,-5258143904.000000,,,,,42323201764.000000,23398655573.000000,,,,2864653189.000000,,-67448956415.000000,,,,,,,,,,,,,,,110200000000.000000,21805529409.000000,,,-44022570610.000000,,,,,,,,,,,23398655573.000000,-74668636181.000000,,,,-1669274358.000000,,,,-12724099563.000000,,,,,-3193930773.000000,-374190021.000000,-12946248374.000000,,,-12946248374.000000,,,,,-43760893092.000000,-74668636181.000000,-8946778844.000000,,443620515038.000000,434673736194.000000
12M 2016,116375417090.000000,1654866080892.000000,-1360649583394.000000,,-166014493449.000000,,-5557687757.000000,-6268899202.000000,,,,,116375417090.000000,-107714768038.000000,,,,1880342154.000000,,-109595110192.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-107714768038.000000,-26256397780.000000,,,,-799382613.000000,,,,-10272918926.000000,,,,,-1757952897.000000,,-7366179120.000000,,,-7366179120.000000,,,,,-6059964224.000000,-26256397780.000000,-17595748728.000000,,434673736194.000000,417077987466.000000
12M 2017,94274606925.000000,1804677885109.000000,-1479222471934.000000,,-245358179735.000000,21626660883.000000,,-7449287398.000000,,,,,94274606925.000000,23271658048.000000,,,,279480000.000000,,-9087345139.000000,,,,,,,,,,,,,,,,46934715875.000000,,,-14855192688.000000,,,,,,,,,,,23271658048.000000,-17329471841.000000,,,-1138226025.000000,-3278399841.000000,,,,-7623318552.000000,,,,,-626722676.000000,,,,,,,-2248441000.000000,-2414363747.000000,,,-17329471841.000000,100216793132.000000,,417077987466.000000,517294780598.000000
12M 2018,90562014042.000000,2016836440263.000000,-1678998875909.000000,,-281160563522.000000,31631744668.000000,,-7963434095.000000,,,10216702637.000000,,90562014042.000000,-100223557674.000000,,,,275370000.000000,,-12023664988.000000,,,,,,,,,,-50000000000.000000,,-20000000000.000000,-14103239350.000000,,,,,,-24372023336.000000,,,,,,,,,,20000000000.000000,-100223557674.000000,-34491677246.000000,,,-2307963333.000000,,,,,-21000000.000000,,,,,-294113913.000000,,,,,,,-31868600000.000000,,,,-34491677246.000000,-44153220878.000000,,517294780598.000000,473141559720.000000
12M 2019,123814829509.000000,2080361181503.000000,-1621139075717.000000,,-355728475975.000000,23303686055.000000,,-8565632467.000000,,,5583146110.000000,,123814829509.000000,135563406808.000000,,,,45850000.000000,,-31792710648.000000,,,,,,,,,,-100000000000.000000,100586602008.000000,20000000000.000000,-4195369490.000000,,,102300000000.000000,,,,,,,,,,,,,48619034938.000000,135563406808.000000,7328104768.000000,,,-2246994660.000000,,,,,,,,,,-424900572.000000,,,,,,,10000000000.000000,,,,7328104768.000000,266706341085.000000,,145141559720.000000,411847900805.000000
12M 2020,-262511016.000000,1621528215526.000000,-1388352520525.000000,,-258014516221.000000,19582868183.000000,,-3719607968.000000,,,8713049989.000000,,-262511016.000000,-270640409794.000000,,,,21405000.000000,,-40481164794.000000,,,,,,,,,,,64539350000.000000,,-304720000000.000000,,,10000000000.000000,,,,,,,,,,,,,,-270640409794.000000,256291054424.000000,,,-18823059344.000000,,,310000000000.000000,,,,,,,-403671232.000000,,,,,,2500000.000000,,,,-34484715000.000000,256291054424.000000,-14611866386.000000,,411847900805.000000,397236034419.000000
12M 2021,14012377604.000000,1795893307945.000000,-1521777748482.000000,,-271578892393.000000,14069969492.000000,,-10897759210.000000,,,8303500252.000000,,14012377604.000000,-102804088465.000000,,,,59900000.000000,,-28076488465.000000,,,,,,,,,-50000000000.000000,,,,-30000000000.000000,,,35000000000.000000,,,,,,,,,,-54737500000.000000,,,24950000000.000000,-102804088465.000000,15369344504.000000,,,-7713099941.000000,,,,23250000000.000000,,,,,,-167555555.000000,,,,,,,,,,,15369344504.000000,-73422366357.000000,,397236034419.000000,323813668062.000000
