Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2012,0.00,225.41,0.00,225.41,11 B,44 B,55 B,(31 B),147 B
12M 2013,2.20,1263.74,2.20,1263.74,13 B,31 B,44 B,(699 B),"1,278 B"
12M 2014,0.82,1331.93,0.82,1331.93,14 B,21 B,35 B,(408 B),"1,272 B"
12M 2015,0.65,1316.94,0.65,1316.94,12 B,9 B,21 B,(414 B),"1,223 B"
12M 2016,0.46,1294.60,0.46,1294.60,8 B,3 B,12 B,(405 B),"1,129 B"
12M 2017,0.47,1285.23,0.47,1285.23,1 B,2 B,4 B,(514 B),"1,161 B"
12M 2018,0.87,1300.40,0.87,1300.40,2 B,2 B,4 B,(469 B),"1,116 B"
12M 2019,0.98,1033.98,0.98,1033.98,2 B,3 B,5 B,(407 B),432 B
12M 2020,0.70,938.66,0.70,938.66,17 B,18 B,36 B,(362 B),556 B
12M 2021,0.92,1049.59,0.92,1049.59,8 B,31 B,39 B,(284 B),674 B
12M 2022,0.54,920.90,0.54,920.90,10 B,10 B,20 B,(333 B),527 B
12M 2023,0.33,878.56,0.33,878.56,12 B,18 B,29 B,(269 B),455 B
12M 2024,0.29,875.33,0.29,875.33,22 B,41 B,63 B,(206 B),422 B
