Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,99238814953.000000,3239748095.000000,155723260760.000000,129950862512.000000,25772398248.000000,155723260760.000000,472775675.000000,174148000.000000,298627675.000000,472775675.000000,230155447995.000000,8381713006.000000,497211760484.000000,,418409839.000000,,,418409839.000000,386987364586.000000,10598727266.000000,15573415390.000000,413577917081.000000,910789677565.000000,,,61401005268.000000,,,29991822356.000000,2156300.000000,29993978656.000000,751897147.000000,9795866727.000000,18475775143.000000,,,18475775143.000000,2383487595.000000,61401005268.000000,33222622832.000000,33222622832.000000,33222622832.000000,94623628100.000000,,100533333500.000000,188531610794.000000,527101105171.000000,18096000000.000000,509005105171.000000,527101105171.000000,,,816166049465.000000,910789677565.000000,201066667.000000
12M 2009,,,147152250091.000000,3265523888.000000,189434482316.000000,157604179891.000000,31830302425.000000,189434482316.000000,1044876945.000000,,1044876945.000000,1044876945.000000,205355888906.000000,16717618206.000000,562970640352.000000,,251038111.000000,,,251038111.000000,399856238388.000000,11047811808.000000,20494497310.000000,431649585617.000000,994620225969.000000,,,77510998310.000000,,,32220450817.000000,,32220450817.000000,2924024994.000000,18049737784.000000,22246946827.000000,,,22246946827.000000,2069837888.000000,77510998310.000000,36311974128.000000,36311974128.000000,36311974128.000000,113822972438.000000,,100533333500.000000,188531610794.000000,591392883737.000000,20106666700.000000,571286217037.000000,591392883737.000000,,339425500.000000,880797253531.000000,994620225969.000000,201066667.000000
12M 2010,,,129104545843.000000,53762054049.000000,204499679455.000000,197870956625.000000,6628722830.000000,204499679455.000000,958899819.000000,,958899819.000000,958899819.000000,193132525220.000000,29331732832.000000,610789437218.000000,,138781171.000000,,,138781171.000000,396755925487.000000,14738826847.000000,24815469280.000000,436449002785.000000,1047238440003.000000,,,57165989460.000000,,,15315834130.000000,,15315834130.000000,2482202672.000000,9481169129.000000,27899801480.000000,,,27899801480.000000,1986982049.000000,57165989460.000000,41592045669.000000,41592045669.000000,41592045669.000000,98758035129.000000,,100533333500.000000,188531610794.000000,658496649080.000000,20106666700.000000,638389982380.000000,658496649080.000000,,918811500.000000,948480404874.000000,1047238440003.000000,201066667.000000
12M 2011,,,89862335910.000000,19047205870.000000,248671481526.000000,241139154632.000000,7532326894.000000,248671481526.000000,961436326.000000,,,961436326.000000,278433445457.000000,34906532450.000000,671882437539.000000,,1478275932.000000,,,1478275932.000000,416328119478.000000,16631267642.000000,24544961831.000000,458982624883.000000,1130865062422.000000,,,57216463759.000000,,,14693213780.000000,,14693213780.000000,3124330762.000000,11116561170.000000,26272017177.000000,,,26272017177.000000,2010340870.000000,57216463759.000000,53235797928.000000,53235797928.000000,53235797928.000000,110452261687.000000,,100533333500.000000,188531610794.000000,730172801941.000000,20106666700.000000,710066135241.000000,730172801941.000000,,1175054500.000000,1020412800735.000000,1130865062422.000000,201066667.000000
12M 2012,,,134940399040.000000,74622954448.000000,289207452957.000000,282897104990.000000,6310347967.000000,289207452957.000000,1104059482.000000,,,1104059482.000000,260765704853.000000,7974928471.000000,768615499251.000000,,1252204921.000000,,,1252204921.000000,440132920673.000000,26046889083.000000,25525438533.000000,492957453210.000000,1261572952461.000000,,,99477347026.000000,,,18497356163.000000,,18497356163.000000,4429124220.000000,22940952991.000000,,45344718539.000000,6108695665.000000,51453414204.000000,2156499448.000000,99477347026.000000,65274029521.000000,65274029521.000000,65274029521.000000,164751376547.000000,,100533333500.000000,188531610794.000000,806151987120.000000,20106666700.000000,786045320420.000000,806151987120.000000,,1604644500.000000,1096821575914.000000,1261572952461.000000,201066667.000000
12M 2013,,,73824541258.000000,5366087034.000000,289170460253.000000,282342000723.000000,6828459530.000000,289170460253.000000,1096723398.000000,,,1096723398.000000,330318448755.000000,26729020080.000000,726505280778.000000,,1333430112.000000,,,1333430112.000000,684459614584.000000,29870125754.000000,23784009524.000000,739447179974.000000,1465952460752.000000,,,203320578032.000000,,,73145355265.000000,19278018823.000000,92423374088.000000,8904419614.000000,26565921864.000000,,57554790098.000000,15432980334.000000,72987770432.000000,2439092034.000000,203320578032.000000,79641192763.000000,79641192763.000000,79641192763.000000,282961770795.000000,,100533333500.000000,188531610794.000000,891905786163.000000,20106666700.000000,871799119463.000000,891905786163.000000,,2019959500.000000,1182990689957.000000,1465952460752.000000,201066667.000000
12M 2014,,,95091166887.000000,6021443828.000000,319242665159.000000,313689080745.000000,5553584414.000000,319242665159.000000,1206645426.000000,,,1206645426.000000,419658098409.000000,32797278094.000000,874017297803.000000,,1625890545.000000,,,1625890545.000000,923951560313.000000,33262868743.000000,20377726232.000000,979218045833.000000,1853235343636.000000,,,486053837459.000000,180956000000.000000,,64302964356.000000,20111550270.000000,84414514626.000000,11491167855.000000,27431096217.000000,,67363653884.000000,13396981049.000000,80760634933.000000,101000423828.000000,486053837459.000000,83677063909.000000,83677063909.000000,83677063909.000000,569730901368.000000,,100533333500.000000,188531610794.000000,991825513474.000000,20106666700.000000,971718846774.000000,991825513474.000000,,2613984500.000000,1283504442268.000000,1853235343636.000000,201066667.000000
12M 2015,,,219669986396.000000,3006284234.000000,433477682096.000000,409911420683.000000,23566261413.000000,433477682096.000000,54430123870.000000,,54430123870.000000,54430123870.000000,382731850133.000000,19356612687.000000,1112672539416.000000,,2310560325.000000,,2310560325.000000,2310560325.000000,902694745887.000000,43725048386.000000,20693954689.000000,969424309287.000000,2082096848703.000000,,,222930621643.000000,,,74171013286.000000,3643467058.000000,77814480344.000000,24170923728.000000,8798922277.000000,,66282070898.000000,42978942162.000000,109261013060.000000,2885282234.000000,222930621643.000000,144294749027.000000,144294749027.000000,144294749027.000000,367225370670.000000,,100533333500.000000,188531610794.000000,1425716467239.000000,20106666700.000000,1405609800539.000000,1425716467239.000000,,90066500.000000,1714871478033.000000,2082096848703.000000,201066667.000000
12M 2016,,,298563784107.000000,3015865228.000000,324418128601.000000,314905003168.000000,9513125433.000000,324418128601.000000,33012916858.000000,,33012916858.000000,33012916858.000000,492740699381.000000,22731010312.000000,1174482404487.000000,,1862618010.000000,,1862618010.000000,1862618010.000000,935344860312.000000,42627939701.000000,30783215591.000000,1010618633614.000000,2185101038101.000000,,,223305151868.000000,,,63805794017.000000,441664131.000000,64247458148.000000,24947119140.000000,31216912784.000000,,91508161568.000000,8660732500.000000,100168894068.000000,2724767728.000000,223305151868.000000,178637378908.000000,178637378908.000000,178637378908.000000,401942530776.000000,,100533333500.000000,188531610794.000000,1493933401031.000000,20106666700.000000,1473826734331.000000,1493933401031.000000,,160162000.000000,1783158507325.000000,2185101038101.000000,201066667.000000
12M 2017,,,431573583550.000000,3028569816.000000,398469885226.000000,378597630625.000000,19872254601.000000,398469885226.000000,2646918797.000000,,2646918797.000000,2646918797.000000,422625745680.000000,18133888473.000000,1276478591542.000000,,1301910239.000000,,1301910239.000000,1301910239.000000,964642806296.000000,59494124314.000000,59889757039.000000,1085328597888.000000,2361807189430.000000,,,262571223659.000000,,,59183511889.000000,4058327218.000000,63241839107.000000,45734804548.000000,34139207887.000000,,105763222886.000000,10927771415.000000,116690994301.000000,2764377816.000000,262571223659.000000,240909629347.000000,240909629347.000000,240909629347.000000,503480853006.000000,,100533333500.000000,188531610794.000000,1569128135630.000000,20106666700.000000,1549021468930.000000,1569128135630.000000,,133256500.000000,1858326336424.000000,2361807189430.000000,201066667.000000
12M 2018,,,369170524762.000000,3264059759.000000,387200808534.000000,372943508175.000000,14257300359.000000,387200808534.000000,3433372190.000000,,3433372190.000000,3433372190.000000,542466904015.000000,27892641926.000000,1333428311186.000000,,1728025454.000000,,1728025454.000000,1728025454.000000,998708967039.000000,50257771847.000000,61020436275.000000,1111715200615.000000,2445143511801.000000,,,234512493546.000000,,,67487721394.000000,5366092105.000000,72853813499.000000,24915446884.000000,17338516336.000000,,106771810380.000000,9654255688.000000,116426066068.000000,2978650759.000000,234512493546.000000,238167853116.000000,238167853116.000000,238167853116.000000,472680346662.000000,,100533333500.000000,188531610794.000000,1683243747345.000000,20106666700.000000,1663137080645.000000,1683243747345.000000,,154473500.000000,1972463165139.000000,2445143511801.000000,201066667.000000
