Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1239775396779.000000,-786192131507.000000,453583265272.000000,-278263792975.000000,-168779468652.000000,-109484324323.000000,-278263792975.000000,175319472297.000000,-6799737669.000000,5297168154.000000,200658529.000000,-7266663798.000000,,-5030900554.000000,-6799737669.000000,168519734628.000000,-53665699507.000000,-57016162400.000000,3350462893.000000,-53665699507.000000,114854035121.000000,,,,,114854035121.000000,114854035121.000000,,114854035121.000000,,,,
12M 2009,1388724644234.000000,-880168103217.000000,508556541017.000000,-323639564879.000000,-204172433333.000000,-119467131546.000000,-323639564879.000000,184916976138.000000,-8765466254.000000,4870691220.000000,421552345.000000,-7055783081.000000,,-7001926738.000000,-8765466254.000000,176151509884.000000,-51539731218.000000,-51988815760.000000,449084542.000000,-51539731218.000000,124611778666.000000,,,,,124611778666.000000,124611778666.000000,,124611778666.000000,,,,
12M 2010,1466938711851.000000,-923034681729.000000,543904030122.000000,-370038404106.000000,-238235152776.000000,-131803251330.000000,-370038404106.000000,173865626016.000000,-340199272.000000,6275602201.000000,1820409654.000000,-1977406871.000000,,-6458804256.000000,-340199272.000000,173525426744.000000,-42080327961.000000,-45771343000.000000,3691015039.000000,-42080327961.000000,131445098783.000000,,,,,131445098783.000000,131445098783.000000,,131445098783.000000,,,,
12M 2011,1654671098358.000000,-1053345049712.000000,601326048646.000000,-408261014384.000000,-256787803418.000000,-151473210966.000000,-408261014384.000000,193065034262.000000,-2922281416.000000,6657975715.000000,2042668982.000000,-4237780680.000000,,-7385145433.000000,-2922281416.000000,190142752846.000000,-50103933205.000000,-51996374000.000000,1892440795.000000,-50103933205.000000,140038819641.000000,256243000.000000,256243000.000000,256243000.000000,140295062641.000000,140038819641.000000,140038819641.000000,,140038819641.000000,140295062641.000000,140295062641.000000,,140295062641.000000
12M 2012,1851152825559.000000,-1169224054930.000000,681928770629.000000,-471842598717.000000,-299033865237.000000,-172808733480.000000,-471842598717.000000,210086171912.000000,-6823019384.000000,4193173562.000000,6922197171.000000,-1530949997.000000,,-16407440120.000000,-6823019384.000000,203263152528.000000,-52889300559.000000,-62304922000.000000,9415621441.000000,-52889300559.000000,150373851969.000000,429590000.000000,429590000.000000,429590000.000000,150803441969.000000,150373851969.000000,150373851969.000000,,150373851969.000000,150803441969.000000,150803441969.000000,,150803441969.000000
12M 2013,2027899402527.000000,-1250785675202.000000,777113727325.000000,-551224743041.000000,-349604928098.000000,-201619814943.000000,-551224743041.000000,225888984284.000000,-7591282372.000000,5895352295.000000,-2244579056.000000,3131092085.000000,,-14373147696.000000,-7591282372.000000,218297701912.000000,-58149236079.000000,-61972472750.000000,3823236671.000000,-58149236079.000000,160148465833.000000,415315000.000000,415315000.000000,415315000.000000,160563780833.000000,160148465833.000000,160148465833.000000,,160148465833.000000,160563780833.000000,160563780833.000000,,160563780833.000000
12M 2014,2308203551971.000000,-1411934917918.000000,896268634053.000000,-641772178484.000000,-488014707377.000000,-153757471107.000000,-641772178484.000000,254496455569.000000,-15067625957.000000,1807939871.000000,55197218.000000,4398886991.000000,,-21329650037.000000,-15067625957.000000,239428829612.000000,-65114435511.000000,-68507178500.000000,3392742989.000000,-65114435511.000000,174314394101.000000,594025000.000000,594025000.000000,594025000.000000,174908419101.000000,174314394101.000000,174314394101.000000,,174314394101.000000,174908419101.000000,174908419101.000000,,174908419101.000000
12M 2015,2314889854074.000000,-1436977751396.000000,877912102678.000000,-659231886410.000000,-486983280575.000000,-172248605835.000000,-659231886410.000000,218680216268.000000,364441731226.000000,7932719780.000000,470279101093.000000,1936662737.000000,-469671111.000000,-115237081273.000000,364441731226.000000,583121947494.000000,-38647669480.000000,-38387407750.000000,-260261730.000000,-38647669480.000000,544474278014.000000,-3357761054.000000,-3357761054.000000,-3357761054.000000,541116516960.000000,544474278014.000000,544474278014.000000,,544474278014.000000,541116516960.000000,541116516960.000000,,541116516960.000000
12M 2016,2526776164168.000000,-1543337042469.000000,983439121699.000000,-747585470304.000000,-557095829636.000000,-190489640668.000000,-747585470304.000000,235853651395.000000,-14377793752.000000,13111156151.000000,118013036.000000,-3637317659.000000,,-23969645280.000000,-14377793752.000000,221475857643.000000,-59416261296.000000,-54517376250.000000,-4898885046.000000,-59416261296.000000,162059596347.000000,-11335233585.000000,-11335233585.000000,-11335233585.000000,150724362762.000000,162059596347.000000,162059596347.000000,,162059596347.000000,150724362762.000000,150724362762.000000,,150724362762.000000
12M 2017,2706394847919.000000,-1699417758295.000000,1006977089624.000000,-781656545121.000000,-568987731498.000000,-212668813623.000000,-781656545121.000000,225320544503.000000,17762501284.000000,16775681888.000000,-1441609910.000000,1272931765.000000,,1155497541.000000,17762501284.000000,243083045787.000000,-63956663719.000000,-73658077000.000000,9701413281.000000,-63956663719.000000,179126382068.000000,-21521219499.000000,-21521219499.000000,-21521219499.000000,157605162569.000000,179126382068.000000,179126382068.000000,,179126382068.000000,157605162569.000000,157605162569.000000,,157605162569.000000
