Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan (Pembayaran) Kas Dari/Untuk:,Penghasilan Bunga,Beban Keuangan,Pemasok,Karyawan,Royalti,Beban Penjualan,Pajak Penghasilan,Beban Umum Dan Lainnya,Total Penerimaan (Pembayaran) Kas Dari/Untuk:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Deposito Berjangka,Pencairan Deposito Berjangka,Penjualan Efek,Investasi Pada Efek Tersedia Untuk Dijual,Perolehan Aset Keuangan Tersedia Untuk Dijual,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Perangkat Lunak,Akuisisi Entitas Anak,Penerimaan Klaim Asuransi,Uang Muka Yang Diterima Dari Penjualan Segera Terjadi Tanah Dan Bangunan,Pengembalian Dari Pembatalan Atas Proyek Perangkat Lunak Komputer,Pembayaran Beban Tangguhan - Hak Atas Tanah,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerbitan Modal Saham,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Liabilitas Sewa,Pembayaran Dividen,Hasil Penawaran Umum Terbatas Iii,Biaya Penawaran Umum Terbatas Iii,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,101359599478.000000,1299679654548.000000,,5297168154.000000,,-728717209943.000000,-134030993709.000000,-45399839251.000000,-170669610671.000000,-55279394285.000000,-69520175365.000000,-1198320055070.000000,101359599478.000000,-135157378806.000000,,,,,,857127273.000000,-128961542938.000000,-756785324.000000,,,,,-6296177817.000000,-135157378806.000000,27671544062.000000,,,,,-50669048916.000000,80426668000.000000,-2086075022.000000,27671544062.000000,-6126235266.000000,104859857682.000000,505192537.000000,99238814953.000000
12M 2009,188221655813.000000,1453891074168.000000,,4870691220.000000,,-720665695346.000000,-145999261344.000000,-54736294040.000000,-210052105894.000000,-65645754287.000000,-73440998664.000000,-1265669418355.000000,188221655813.000000,-76040765800.000000,,,,,,613363638.000000,-70532708338.000000,-6121421100.000000,,,,,,-76040765800.000000,-60284625155.000000,,,,,-60284625155.000000,,,-60284625155.000000,51896264858.000000,99238814953.000000,-3982929720.000000,147152150091.000000
12M 2010,157211148765.000000,1561109239905.000000,,6275602201.000000,,-805571147552.000000,-159569561598.000000,-57466797126.000000,-248729747418.000000,-57462358523.000000,-81374081124.000000,-1403898091140.000000,157211148765.000000,-110897670197.000000,-50000000000.000000,,,,,8057000001.000000,-63517436747.000000,-5437233451.000000,,,,,,-110897670197.000000,-64300728692.000000,,,,,-64300728692.000000,,,-64300728692.000000,-17987250124.000000,147152250091.000000,-60454124.000000,129104545843.000000
12M 2011,73140815235.000000,1731569096264.000000,,6657975715.000000,,-991563984722.000000,-194684171092.000000,-74454295787.000000,-270842475896.000000,-51327793698.000000,-82213535549.000000,-1658428281029.000000,73140815235.000000,-44709856048.000000,-15000000000.000000,50000000000.000000,,,-5550000.000000,2462500001.000000,-81276099015.000000,-890707034.000000,,,,,,-44709856048.000000,-68308842927.000000,,,,,-68308842927.000000,,,-68308842927.000000,-39877883740.000000,129104545843.000000,635673807.000000,89862335910.000000
12M 2012,250453743262.000000,1946514526943.000000,,4193173562.000000,,-975614708290.000000,-219345810743.000000,-82859453938.000000,-276628209827.000000,-54977475657.000000,-90828298788.000000,-1696060783681.000000,250453743262.000000,-130180255272.000000,-70000000000.000000,15000000000.000000,,,,7650115386.000000,-84263312510.000000,-2101861513.000000,,,,3534803365.000000,,-130180255272.000000,-74347430785.000000,,,,,-74347430785.000000,,,-74347430785.000000,45926057205.000000,89862335910.000000,-847994075.000000,134940399040.000000
12M 2013,253851906566.000000,2183041431899.000000,,5895352295.000000,,-1043216569705.000000,-298329075324.000000,-92121727190.000000,-331043491997.000000,-61365979182.000000,-109008034230.000000,-1929189525333.000000,253851906566.000000,-245211375407.000000,-2439092034.000000,72156499448.000000,,-45225000.000000,,392272725.000000,-315010210010.000000,-265620536.000000,,,,,,-245211375407.000000,-74341891784.000000,,,,,-74341891784.000000,,,-74341891784.000000,-65701360625.000000,134940399040.000000,4585502843.000000,73824541258.000000
12M 2014,123551162065.000000,2438630577360.000000,,1807939871.000000,-3524071748.000000,-1261959694052.000000,-328604852803.000000,-105373568034.000000,-422027311790.000000,-66871707437.000000,-128526149302.000000,-2315079415295.000000,123551162065.000000,-207716751051.000000,-2500423828.000000,2439092034.000000,,,,445827274.000000,-306226578591.000000,-374667940.000000,,,98500000000.000000,,,-207716751051.000000,105203389567.000000,,179544300000.000000,,,-74340910433.000000,,,105203389567.000000,21037800581.000000,73824541258.000000,228825048.000000,95091166887.000000
12M 2015,120781612127.000000,2373281559245.000000,,7932719780.000000,-3382119995.000000,-1096549066174.000000,-431965811981.000000,-72363785778.000000,-408606735768.000000,-52587296299.000000,-194977850903.000000,-2252499947118.000000,120781612127.000000,259101689285.000000,-2785282234.000000,2500423828.000000,,3781000000.000000,,394410300675.000000,-137955857760.000000,-848895224.000000,,,,,,259101689285.000000,-260073948449.000000,,-181785100000.000000,,,-78288848449.000000,,,-260073948449.000000,119809352963.000000,95091166887.000000,4769466546.000000,219669986396.000000
12M 2016,264194256792.000000,2822978888360.000000,,13111156151.000000,,-1300366680228.000000,-460289854741.000000,-151462891362.000000,-433877871201.000000,-33536827158.000000,-192361663029.000000,-2558784631568.000000,264194256792.000000,-98912853157.000000,-2724767728.000000,2785282234.000000,,,,560392726.000000,-136635906614.000000,-21713697550.000000,,58815843775.000000,,,,-98912853157.000000,-82435302010.000000,,,,,-82435302010.000000,,,-82435302010.000000,82846101625.000000,219669986396.000000,-3952303914.000000,298563784107.000000
12M 2017,363708428317.000000,2840159456318.000000,,16775681888.000000,15350454276.000000,-1186277130286.000000,-502548174688.000000,-120128766118.000000,-461826485045.000000,-66616537948.000000,-171180070080.000000,-2476451028001.000000,363708428317.000000,-148343616434.000000,-2764377816.000000,2724767728.000000,,,,643004133.000000,-138149415858.000000,-31205655218.000000,,20408060597.000000,,,,-148343616434.000000,-82388650104.000000,,,,,-82388650104.000000,,,-82388650104.000000,132976161779.000000,298563784107.000000,33637664.000000,431573583550.000000
