Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,103542570027.000000,-88246163816.000000,15296406211.000000,-28130470627.000000,,-28130470627.000000,-28130470627.000000,-12834064416.000000,-634111661.000000,-634111661.000000,-634111661.000000,-13468176077.000000,-343065362.000000,,-343065362.000000,-343065362.000000,,-13811241439.000000,639756800.000000,-13171484639.000000,-13811241439.000000,-13811241439.000000,,-13811241439.000000,-13171484639.000000,-13171484639.000000,,-13171484639.000000
12M 2021,259089343256.000000,-175087332739.000000,84002010517.000000,-25609978359.000000,-5046833955.000000,-20563144404.000000,-25609978359.000000,58392032158.000000,293468513.000000,293468513.000000,293468513.000000,58685500671.000000,-11194532955.000000,-11715218240.000000,520685285.000000,-11194532955.000000,,47490967716.000000,415092580.000000,47906060296.000000,47490967716.000000,47490967716.000000,,47490967716.000000,47906060296.000000,47906060296.000000,,47906060296.000000
12M 2022,867842629537.000000,-692566971186.000000,175275658351.000000,-37994877088.000000,-9692861714.000000,-28302015374.000000,-37994877088.000000,137280781263.000000,2117055077.000000,2117055077.000000,2117055077.000000,139397836340.000000,-30532602985.000000,-31814255220.000000,1281652235.000000,-30532602985.000000,,108865233355.000000,-192177180.000000,108673056175.000000,108865233355.000000,108865233355.000000,,108865233355.000000,108673056175.000000,108673056175.000000,,108673056175.000000
12M 2023,927941933209.000000,-799173592455.000000,128768340754.000000,-49416600136.000000,,-49416600136.000000,-49416600136.000000,79351740618.000000,2601419914.000000,2601419914.000000,2601419914.000000,81953160532.000000,-19999840148.000000,-19999840148.000000,,-19999840148.000000,37412.000000,61953357796.000000,-496023840.000000,61457333956.000000,61953357796.000000,61956951900.000000,-3594104.000000,61953357796.000000,61457333956.000000,61460928060.000000,-3594104.000000,61457333956.000000
12M 2024,616007380096.000000,-513962181239.000000,102045198857.000000,-48319107602.000000,,-48319107602.000000,-48319107602.000000,53726091255.000000,-470798701.000000,-470798701.000000,-470798701.000000,53255292554.000000,-19302675926.000000,-19302675926.000000,,-19302675926.000000,,33952616628.000000,,33952616628.000000,33952616628.000000,33953277403.000000,-660775.000000,33952616628.000000,33952616628.000000,33953277403.000000,-660775.000000,33952616628.000000
