Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Pertambangan,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Pinjaman Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembelian Aset Tetap,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembelian Aset Tetap,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,2927275450.000000,2927478724.000000,,,2927478724.000000,524538393.000000,,524538393.000000,524538393.000000,29644904427.000000,18466835995.000000,54491032989.000000,,12485914100.000000,,3970713308.000000,16161928423.000000,32618555831.000000,87109588820.000000,,,74595299200.000000,1401895619.000000,,,1401895619.000000,,10316195100.000000,12021330364.000000,22337525464.000000,42007958061.000000,6451376914.000000,,,300753526.000000,716289616.000000,1017043142.000000,1379500000.000000,74595299200.000000,8346816717.000000,,20265311.000000,798573406.000000,818838717.000000,7527978000.000000,8346816717.000000,82942115917.000000,,29800190000.000000,2100000000.000000,-28372473897.000000,,-28372473897.000000,-28372473897.000000,,639756800.000000,4167472903.000000,87109588820.000000,29800190.000000
12M 2021,,,57869468354.000000,48075150836.000000,,,48075150836.000000,,,,,28449190622.000000,2380443759.000000,136774253571.000000,,12039801376.000000,276197992.000000,4353816171.000000,15551181421.000000,32220996960.000000,168995250531.000000,,,112934919375.000000,6878630356.000000,,,6878630356.000000,,12277972970.000000,13608053883.000000,25886026853.000000,65108174706.000000,12863748743.000000,,,20265311.000000,798573406.000000,818838717.000000,1379500000.000000,112934919375.000000,6631498000.000000,,,,,6631498000.000000,6631498000.000000,119566417375.000000,,30800190000.000000,2100000000.000000,15473793776.000000,,15473793776.000000,15473793776.000000,,1054849380.000000,49428833156.000000,168995250531.000000,60820200.000000
12M 2022,,,31933106127.000000,44715419209.000000,,,44715419209.000000,1112468646.000000,209841780.000000,902626866.000000,1112468646.000000,88229177968.000000,37486005302.000000,203476177252.000000,,26390519261.000000,16821883603.000000,5689672226.000000,31074646891.000000,79976721981.000000,283452899233.000000,,,178596237629.000000,51014410226.000000,,,51014410226.000000,,,10170594009.000000,10170594009.000000,44443328670.000000,68902483428.000000,,,,1804918296.000000,1804918296.000000,2260503000.000000,178596237629.000000,16754772273.000000,,,7817500273.000000,7817500273.000000,8937272000.000000,16754772273.000000,195351009902.000000,,30800190000.000000,2100000000.000000,54339027131.000000,,54339027131.000000,54339027131.000000,,862672200.000000,88101889331.000000,283452899233.000000,60820200.000000
12M 2023,,,48880857437.000000,129390599154.000000,,,129390599154.000000,4933984944.000000,4921234944.000000,12750000.000000,4933984944.000000,25186778736.000000,466028519.000000,208858248790.000000,,47722772168.000000,30836793829.000000,13003042398.000000,32812110498.000000,124374718893.000000,333232967683.000000,,,144896118838.000000,,,67556575565.000000,67556575565.000000,,,16310000.000000,16310000.000000,23428995522.000000,51977996044.000000,,,,1916241707.000000,1916241707.000000,,144896118838.000000,47617886325.000000,,,5901258566.000000,5901258566.000000,41716627759.000000,47617886325.000000,192514005163.000000,,60820200000.000000,2099962962.000000,77430745676.000000,12164040000.000000,65266705676.000000,77430745676.000000,1405522.000000,366648360.000000,140718962520.000000,333232967683.000000,6082020000.000000
12M 2024,,,51164815538.000000,36246222262.000000,,,36246222262.000000,331981230.000000,,331981230.000000,331981230.000000,31750648842.000000,29893777889.000000,149387445761.000000,,140287412348.000000,58132260206.000000,11339979348.000000,49863506830.000000,259623158732.000000,409010604493.000000,,,195228534814.000000,,,103947204455.000000,103947204455.000000,,,,,40611517447.000000,2491381610.000000,46144000000.000000,,,2034431302.000000,2034431302.000000,,195228534814.000000,39110490531.000000,,,3866827264.000000,3866827264.000000,35243663267.000000,39110490531.000000,234339025345.000000,,60820200000.000000,2099962962.000000,111384023079.000000,12164040000.000000,99219983079.000000,111384023079.000000,744747.000000,366648360.000000,174671579148.000000,409010604493.000000,6082020000.000000
