Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Kas Untuk Beban Usaha,Penerimaan (Pembayaran) Pajak,Penerimaan Kas Dari Pendapatan Sewa,Penerimaan Bunga,Pembayaran Bunga,Penerimaan (Pembayaran) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Properti Pertambangan,Perolehan Aset Hak Guna,Perolehan Aset Takberwujud,Penempatan Deposito Yang Dibatasi Penggunaannya,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Pihak Berelasi,Penerimaan Pinjaman Jangka Pendek,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembelian Aset Tetap Dan Liabilitas Sewa,Penerimaan Setoran Modal,Pembayaran Dividen,Setoran Modal Oleh Kepentingan Non-Pengendali Di Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,28610152927.000000,155811221019.000000,-83168023561.000000,-10730725608.000000,-34049583222.000000,-245570326.000000,,756274185.000000,-124708071.000000,361268511.000000,28610152927.000000,-4816502915.000000,-2082620471.000000,-2338271284.000000,,,-395611160.000000,,-4816502915.000000,-29917113939.000000,-863834157.000000,,,-534010941.000000,,-28519268841.000000,,-29917113939.000000,-6123463927.000000,9050739377.000000,2927275450.000000
12M 2021,56662664410.000000,213941671144.000000,-133898287401.000000,-17520265043.000000,-16687442201.000000,10049681005.000000,,617205251.000000,-93943564.000000,254045219.000000,56662664410.000000,-1440796234.000000,-494430000.000000,,,,-1627791234.000000,681425000.000000,-1440796234.000000,-279675272.000000,,,,-1191309368.000000,1000000000.000000,-88365904.000000,,-279675272.000000,54942192904.000000,2927275450.000000,57869468354.000000
12M 2022,91225168373.000000,941966063110.000000,-766413700427.000000,-31437760212.000000,-26857939457.000000,-26707352929.000000,850625021.000000,933193082.000000,-160944803.000000,-947015012.000000,91225168373.000000,-33630117308.000000,-17422424242.000000,,,,-16311405966.000000,103712900.000000,-33630117308.000000,-83531413292.000000,-6456390253.000000,,,-1253440322.000000,,-75821582717.000000,,-83531413292.000000,-25936362227.000000,57869468354.000000,31933106127.000000
12M 2023,82339001862.000000,842588501097.000000,-662862622265.000000,-57709386896.000000,,-39940967645.000000,,795149135.000000,-531671564.000000,,82339001862.000000,-44218940253.000000,-14704919530.000000,,,-3974821705.000000,-25539199018.000000,,-44218940253.000000,-21172310299.000000,,,,-2161492935.000000,30020010000.000000,-49035827364.000000,5000000.000000,-21172310299.000000,16947751310.000000,31933106127.000000,48880857437.000000
12M 2024,103343472247.000000,748097757802.000000,-478378501716.000000,-78698043897.000000,,-89599027576.000000,,2218826073.000000,-297538439.000000,,103343472247.000000,-143725811207.000000,-28677731612.000000,,-4706044458.000000,-10324419508.000000,-100161759772.000000,144144143.000000,-143725811207.000000,42666297061.000000,,44999461561.000000,,-2333164500.000000,,,,42666297061.000000,2283958101.000000,48880857437.000000,51164815538.000000
