Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2019,1.61,0.7,0.35,2.14,0.0,0.0,-0.04,0.16,0.91
12M 2020,2.24,0.91,0.05,1.75,0.0,0.0,-0.25,0.03,0.53
12M 2021,2.42,1.05,0.04,1.74,0.0,0.0,-0.22,0.02,0.52
12M 2022,2.75,1.52,0.02,1.69,0.0,0.0,-0.43,0.01,0.48
12M 2023,3.94,1.96,0.13,1.36,0.0,0.0,-0.16,0.09,0.35
12M 2024,3.18,1.86,0.14,1.38,0.0,0.0,-0.19,0.1,0.37
