Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,565594476636.000000,-475894444077.000000,89700032559.000000,-33243443827.000000,-33243443827.000000,-33243443827.000000,56456588732.000000,-458859159.000000,490268650.000000,-2507273435.000000,2782177624.000000,245140320.000000,-1469172318.000000,-458859159.000000,55997729573.000000,-15311646552.000000,-13841368000.000000,-1470278552.000000,-15311646552.000000,-15311646552.000000,-586578184.000000,40099504837.000000,,39846246674.000000,40099504837.000000,38064737947.000000,2034766890.000000,40099504837.000000,39846246674.000000,37814218198.000000,2032028476.000000,39846246674.000000
12M 2020,207807606324.000000,-181522750552.000000,26284855772.000000,-32400751946.000000,-32400751946.000000,-32400751946.000000,-6115896174.000000,-4549588936.000000,1002249608.000000,-2174123252.000000,-893043065.000000,-2473820465.000000,-10851762.000000,-4549588936.000000,-10665485110.000000,1101075094.000000,-447887880.000000,1548962974.000000,1101075094.000000,1101075094.000000,,-9564410016.000000,,-10049675577.000000,-9564410016.000000,-6624984667.000000,-2939425349.000000,-9564410016.000000,-10049675577.000000,-7117824030.000000,-2931851547.000000,-10049675577.000000
12M 2021,317555077233.000000,-248882671678.000000,68672405555.000000,-31085170453.000000,-31085170453.000000,-31085170453.000000,37587235102.000000,-332083857.000000,1095760107.000000,-1547371899.000000,-104310978.000000,,223838913.000000,-332083857.000000,37255151245.000000,-8388015051.000000,-4252068877.000000,-4135946174.000000,-8388015051.000000,-8388015051.000000,,28867136194.000000,,28950135974.000000,28867136194.000000,23333639985.000000,5533496209.000000,28867136194.000000,28950135974.000000,23449581347.000000,5500554627.000000,28950135974.000000
12M 2022,540272575371.000000,-397564974301.000000,142707601070.000000,-39967588086.000000,-39967588086.000000,-39967588086.000000,102740012984.000000,-8660042639.000000,1823564525.000000,-1274689334.000000,-8975047541.000000,,-233870289.000000,-8660042639.000000,94079970345.000000,-21330068203.000000,-20970625073.000000,-359443130.000000,-21330068203.000000,-21330068203.000000,,72749902142.000000,,73154943228.000000,72749902142.000000,62808146032.000000,9941756110.000000,72749902142.000000,73154943228.000000,63209332416.000000,9945610812.000000,73154943228.000000
12M 2023,762424927875.000000,-583306802276.000000,179118125599.000000,-45737534943.000000,-45737534943.000000,-45737534943.000000,133380590656.000000,-2672629342.000000,2978962867.000000,-3494577166.000000,-2893231535.000000,,736216492.000000,-2672629342.000000,130707961314.000000,-29848122872.000000,-29305583560.000000,-542539312.000000,-29848122872.000000,-29848122872.000000,,100859838442.000000,,100610753292.000000,100859838442.000000,101204103274.000000,-344264832.000000,100859838442.000000,100610753292.000000,100955019982.000000,-344266690.000000,100610753292.000000
12M 2024,1047117484360.000000,-726117844388.000000,320999639972.000000,-63542907307.000000,-63542907307.000000,-63542907307.000000,257456732665.000000,5206814335.000000,4909405740.000000,-1639712498.000000,1225398377.000000,,711722716.000000,5206814335.000000,262663547000.000000,-57297180860.000000,-57189636240.000000,-107544620.000000,-57297180860.000000,-57297180860.000000,,205366366140.000000,,205106611002.000000,205366366140.000000,207021987709.000000,-1655621569.000000,205366366140.000000,205106611002.000000,206760946705.000000,-1654335703.000000,205106611002.000000
