Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Goodwill,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Telah Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,89911252056.000000,36720890664.000000,587555561.000000,560493772.000000,27061789.000000,587555561.000000,191272178902.000000,19306784788.000000,337798661971.000000,,3411706490.000000,661486768.000000,155615696088.000000,4867829376.000000,,164556718722.000000,502355380693.000000,,,209344842436.000000,,15032328123.000000,103294437748.000000,118326765871.000000,20000000.000000,6489029710.000000,2436196508.000000,,81553719830.000000,,81553719830.000000,519130517.000000,209344842436.000000,3472552872.000000,,,,,3472552872.000000,3472552872.000000,212817395308.000000,,10001100000.000000,,226605785896.000000,226605785896.000000,,226605785896.000000,54688439115.000000,-1757339626.000000,289537985385.000000,502355380693.000000,111000.000000
12M 2020,,,69101987499.000000,11936971464.000000,,,,,140615828049.000000,15181077152.000000,236835864164.000000,,1295386026.000000,661486768.000000,153024609174.000000,6463401711.000000,211500000.000000,161656383679.000000,398492247843.000000,,,105855243928.000000,,15047350383.000000,77152983858.000000,92200334241.000000,20000000.000000,1290028689.000000,1350263118.000000,,2880000000.000000,83404016.000000,2963404016.000000,8031213864.000000,105855243928.000000,13944103425.000000,,8880000000.000000,44818726.000000,8924818726.000000,5019284699.000000,13944103425.000000,119799347353.000000,,10001100000.000000,,219980801229.000000,219980801229.000000,,219980801229.000000,50961178251.000000,-2250178990.000000,278692900490.000000,398492247843.000000,111000.000000
12M 2021,,,65229172056.000000,27323773275.000000,89296500.000000,,89296500.000000,89296500.000000,162630417046.000000,32866196292.000000,288138855169.000000,,,661486768.000000,145550634905.000000,2304045344.000000,794095834.000000,149310262851.000000,437449118020.000000,,,119115127663.000000,,8825975365.000000,91903487128.000000,100729462493.000000,,4999216840.000000,1737347248.000000,,2880000000.000000,113612924.000000,2993612924.000000,8655488158.000000,119115127663.000000,10690953893.000000,,6000000000.000000,65288807.000000,6065288807.000000,4625665086.000000,10690953893.000000,129806081556.000000,,190000000000.000000,,63315541214.000000,58315541214.000000,5000000000.000000,63315541214.000000,56461732882.000000,-2134237632.000000,307643036464.000000,437449118020.000000,1900000000.000000
12M 2022,,,140118209902.000000,58751914925.000000,146794521.000000,,146794521.000000,146794521.000000,174560089943.000000,16538428928.000000,390115438219.000000,,,,139171597739.000000,1830359857.000000,636385421.000000,141638343017.000000,531753781236.000000,,,141798364717.000000,,,86048083166.000000,86048083166.000000,,17091905270.000000,6771054689.000000,,2880000000.000000,102283516.000000,2982283516.000000,28905038076.000000,141798364717.000000,9157436827.000000,,3120000000.000000,72579593.000000,3192579593.000000,5964857234.000000,9157436827.000000,150955801544.000000,,190000000000.000000,,126123687246.000000,121123687246.000000,5000000000.000000,126123687246.000000,66407343694.000000,-1733051248.000000,380797979692.000000,531753781236.000000,1900000000.000000
12M 2023,,,163237821933.000000,77866699543.000000,,,,,269613401940.000000,26411151901.000000,537129075317.000000,,,,200116411129.000000,1358075331.000000,50301199096.000000,251775685556.000000,788904760873.000000,,,136284364292.000000,,,66076084940.000000,66076084940.000000,,30764517910.000000,5233355743.000000,,12880000000.000000,73074614.000000,12953074614.000000,21257331085.000000,136284364292.000000,64327660199.000000,,60424621526.000000,,60424621526.000000,3903038673.000000,64327660199.000000,200612024491.000000,,250000000000.000000,116043273400.000000,219827790520.000000,214827790520.000000,5000000000.000000,219827790520.000000,8729842348.000000,-6308169886.000000,588292736382.000000,788904760873.000000,2500000000.000000
12M 2024,,,255281732199.000000,74725821997.000000,,,,,262092325312.000000,40651543343.000000,632751422851.000000,,,,390023036403.000000,1323794980.000000,48332614149.000000,439679445532.000000,1072430868383.000000,,,198891452225.000000,,,110075832824.000000,110075832824.000000,,34758214761.000000,9079894303.000000,,19861429250.000000,,19861429250.000000,25116081087.000000,198891452225.000000,91078918774.000000,,87650704844.000000,,87650704844.000000,3428213930.000000,91078918774.000000,289970370999.000000,,250000000000.000000,116043273400.000000,415849778229.000000,409849778229.000000,6000000000.000000,415849778229.000000,7136656645.000000,-6569210890.000000,782460497384.000000,1072430868383.000000,2500000000.000000
