Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Beban Usaha,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Bunga Dan Beban Keuangan,Pengembalian Uang Jaminan,Penempatan Uang Jaminan,Pembayaran Pajak Penghasilan Badan,Penerimaan Restitusi Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Hasil Penjualan Aset Tetap,Uang Muka Pembelian Aset Tetap,Penambahan Aset Dalam Penyelesaian,Penerimaan Dari Pemberian Pinjaman Kepada Pihak Berelasi,Pemberian Pinjaman Pada Pihak Berelasi,Pemberian Pinjaman Pada Pihak Ketiga,Penerimaan Dari Pihak Ketiga,Pembelian Kepemilikan Pada Perusahaan Asosiasi,Penerimaan Deviden,"Akuisisi Entitas Anak, Setelah Dikurangi Net Of Kas Yang Diperoleh",Hasil Penjualan Perusahaan Asosiasi,Penerimaan Dari Kelompok Lepasan Yang Dimiliki Untuk Dijual,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Setoran Modal Entitas Anak Oleh Saham Non Pengendali,Pembelian Saham Non Pengendali,Penambahan Modal Melalui Penawaran Umum Perdana Saham,Biaya Emisi Saham,Pembayaran Dividen,Penerimaan Dari Pihak Berelasi,Pembayaran Utang Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Pelepasan Kas Atas Klasifikasi Kelompok Lepasan Yang Dimiliki Untuk Dijual,Kas Dan Setara Kas Akhir Periode
12M 2019,44788261623.000000,629077385903.000000,-515994464340.000000,-51160486313.000000,-22430093932.000000,490268650.000000,-2507273435.000000,,,-103869825.000000,7416794915.000000,44788261623.000000,-37815877706.000000,-24869245176.000000,,645365816.000000,,,,-560493772.000000,-27061789.000000,,,650000000.000000,-13654442785.000000,,,-37815877706.000000,40755445786.000000,98868550441.000000,-58113104655.000000,,,,,,,,40755445786.000000,47727829703.000000,43846024740.000000,-1662602388.000000,89911252055.000000
12M 2020,57063580019.000000,240111258871.000000,-135859089489.000000,-21479267748.000000,-30304545069.000000,1002249608.000000,-2169402905.000000,287250469.000000,-779843218.000000,-2535972671.000000,8790942171.000000,57063580019.000000,-8034331837.000000,-9264064239.000000,-57304696.000000,1000000.000000,,,560493772.000000,,,27061789.000000,-357500000.000000,,,,1055981537.000000,-8034331837.000000,-69838512739.000000,18820726737.000000,-88614446567.000000,,,,,,,-44792909.000000,-69838512739.000000,-20809264557.000000,89911252056.000000,,69101987499.000000
12M 2021,3281492377.000000,302151810188.000000,-255030004797.000000,-15864255663.000000,-32912516886.000000,1095760107.000000,-1528423015.000000,779843218.000000,-359028882.000000,,4948308107.000000,3281492377.000000,-4083161748.000000,-5306396700.000000,-434523823.000000,2727273.000000,,,,,-89296500.000000,,,,,1744328002.000000,,-4083161748.000000,-3071146072.000000,,-2880000000.000000,,,,,,,-191146072.000000,-3071146072.000000,-3872815443.000000,69101987499.000000,,65229172056.000000
12M 2022,82334868978.000000,529438564065.000000,-378436428744.000000,-34203436415.000000,-41818231427.000000,1676770004.000000,-1264320981.000000,359028882.000000,-492239440.000000,-2635747115.000000,9710910149.000000,82334868978.000000,-4384041157.000000,-4396620657.000000,-76717000.000000,,,,,,,89296500.000000,,,,,,-4384041157.000000,-3061789975.000000,,-2880000000.000000,,,,,,,-181789975.000000,-3061789975.000000,74889037846.000000,65229172056.000000,,140118209902.000000
12M 2023,-29672268711.000000,735918788987.000000,-697158169423.000000,,-59880763211.000000,2978962867.000000,-3494577166.000000,492239440.000000,-1011090857.000000,-20831540731.000000,13313881383.000000,-29672268711.000000,-121294955687.000000,-71225782998.000000,-3000000000.000000,606857657.000000,-47676030346.000000,,,,,,,,,,,-121294955687.000000,174086836429.000000,100184621520.000000,-32879999994.000000,9000000000.000000,-70659270002.000000,180000000000.000000,-3956726600.000000,-7500000000.000000,,-101788495.000000,174086836429.000000,23119612031.000000,140118209902.000000,,163237821933.000000
12M 2024,269546352322.000000,1054117111908.000000,-634921346398.000000,-27837881258.000000,-77013094581.000000,4909405740.000000,-1639712498.000000,1011090857.000000,-1127860712.000000,-53569538005.000000,5618177269.000000,269546352322.000000,-200698030010.000000,-165762282784.000000,,2252256.000000,-34937999482.000000,,,,,,,,,,,-200698030010.000000,23195587954.000000,145645565555.000000,-111438052987.000000,61150000.000000,,,,-11000000000.000000,,-73074614.000000,23195587954.000000,92043910266.000000,163237821933.000000,,255281732199.000000
