Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,45164539862.000000,,186848252431.000000,127205567300.000000,59642685131.000000,186848252431.000000,16453595373.000000,13795299225.000000,2658296148.000000,16453595373.000000,106930298480.000000,17041897715.000000,372438583861.000000,,534673827.000000,7464434060.000000,165790903836.000000,9092262798.000000,182882274521.000000,555320858382.000000,,,368834406022.000000,270570569947.000000,,,71312612589.000000,71312612589.000000,992452134.000000,1988968400.000000,2057265974.000000,,21462000000.000000,4327322.000000,21466327322.000000,446209656.000000,368834406022.000000,71733231043.000000,43800000000.000000,,22383382823.000000,,22383382823.000000,,,5549848220.000000,71733231043.000000,440567637065.000000,,58800000000.000000,38881241354.000000,17071979963.000000,,114753221317.000000,555320858382.000000,588000000.000000
12M 2009,,,3298967956.000000,,108329354031.000000,103111553903.000000,5217800128.000000,108329354031.000000,13713149323.000000,12470772704.000000,1242376619.000000,13713149323.000000,98399986015.000000,17460596538.000000,241202053863.000000,,,18290242208.000000,153641418794.000000,7580624291.000000,179512285293.000000,420714339156.000000,,,118540325459.000000,27565636300.000000,,,30822873362.000000,30822873362.000000,2020683824.000000,2372056862.000000,2243724746.000000,,51545069800.000000,,51545069800.000000,1970280565.000000,118540325459.000000,223637105946.000000,38311772800.000000,,178684274315.000000,,178684274315.000000,,,6641058831.000000,223637105946.000000,342177431405.000000,,58800000000.000000,38881241354.000000,-19144333603.000000,,78536907751.000000,420714339156.000000,588000000.000000
12M 2010,,,18541481298.000000,,68513119772.000000,56209223894.000000,12303895878.000000,68513119772.000000,13823792756.000000,11219748056.000000,2604044700.000000,13823792756.000000,97196770573.000000,18231598741.000000,216306763140.000000,,269819522.000000,16234883884.000000,223424384796.000000,5732871525.000000,245661959727.000000,461968722867.000000,,,149383629831.000000,,,,93264153554.000000,93264153554.000000,753076426.000000,3727900088.000000,164101570.000000,,48808903736.000000,,48808903736.000000,2665494457.000000,149383629831.000000,177319307356.000000,35964000000.000000,,133289432636.000000,,133289432636.000000,,,8065874720.000000,177319307356.000000,326702937187.000000,,58800000000.000000,38881241354.000000,-18838047538.000000,56422591864.000000,135265785680.000000,461968722867.000000,588000000.000000
12M 2011,,,14546280542.000000,,90398864481.000000,,90398864481.000000,90398864481.000000,14206938354.000000,141897100.000000,14065041254.000000,14206938354.000000,108657694274.000000,18792315641.000000,246602093292.000000,,,11153995082.000000,222467093212.000000,1688518826.000000,235309607120.000000,481911700412.000000,,,216727918770.000000,34139741562.000000,,,95146246049.000000,95146246049.000000,1893273905.000000,3782528434.000000,1389908145.000000,,59459000000.000000,1444299555.000000,60903299555.000000,19472921120.000000,216727918770.000000,125386758036.000000,38373900000.000000,,74301279878.000000,2696393755.000000,76997673633.000000,,,10015184403.000000,125386758036.000000,342114676806.000000,,58800000000.000000,38881241354.000000,-16923085477.000000,59038867729.000000,139797023606.000000,481911700412.000000,588000000.000000
12M 2012,,,1168111667.000000,,54040856306.000000,,54040856306.000000,54040856306.000000,11831823172.000000,194343432.000000,11637479740.000000,11831823172.000000,119894122220.000000,10263687015.000000,197198600380.000000,,6645394039.000000,17482955243.000000,352671019053.000000,3351917353.000000,380151285688.000000,577349886068.000000,,,177151899038.000000,32715722097.000000,,,78453877110.000000,78453877110.000000,14473651803.000000,6134361165.000000,2814905944.000000,,38647681568.000000,1676273847.000000,40323955415.000000,2235425504.000000,177151899038.000000,119904257212.000000,,,67964339299.000000,1199079188.000000,69163418487.000000,38680000000.000000,,12060838725.000000,119904257212.000000,297056156250.000000,,58800000000.000000,38881241354.000000,15565386865.000000,167047101599.000000,280293729818.000000,577349886068.000000,588000000.000000
12M 2013,,,18794688782.000000,30858038070.000000,58836142975.000000,,58836142975.000000,58836142975.000000,30050559809.000000,138166200.000000,29912393609.000000,30050559809.000000,153754605992.000000,39561565240.000000,331855600868.000000,,,14871603529.000000,446146197508.000000,2756852304.000000,463774653341.000000,795630254209.000000,,,321945837163.000000,147142834256.000000,,,96992285410.000000,96992285410.000000,3401802162.000000,6947548545.000000,1490110.000000,,53777676000.000000,12655900837.000000,66433576837.000000,1026299843.000000,321945837163.000000,67236303742.000000,,,31044604000.000000,23014870404.000000,54059474404.000000,,,13176829338.000000,67236303742.000000,389182140905.000000,,70104347800.000000,66576893554.000000,28762126289.000000,241004745661.000000,406448113304.000000,795630254209.000000,701043478.000000
12M 2014,,,31294035032.000000,82122398760.000000,96765430412.000000,,96765430412.000000,96765430412.000000,22888323945.000000,36100000.000000,22852223945.000000,22888323945.000000,205840908489.000000,127868114781.000000,566779211419.000000,,,11197374369.000000,705792134066.000000,3059179952.000000,720048688387.000000,1286827899806.000000,,,564899086298.000000,403380521845.000000,,,104989572611.000000,104989572611.000000,3080664793.000000,9065041792.000000,77360830.000000,,29645840000.000000,14453192940.000000,44099032940.000000,206891487.000000,564899086298.000000,36107224051.000000,,,1960000000.000000,20278836635.000000,22238836635.000000,,,13868387416.000000,36107224051.000000,601006310349.000000,,70104347800.000000,66576893554.000000,40102653897.000000,509037694205.000000,685821589456.000000,1286827899805.000000,701043478.000000
12M 2015,,,16457863382.000000,33388408390.000000,58529352855.000000,,58529352855.000000,58529352855.000000,29548670574.000000,2185000.000000,29546485574.000000,29548670574.000000,286944128546.000000,234020788792.000000,658889212539.000000,,,9165568240.000000,859544268456.000000,4143002929.000000,872852839625.000000,1531742052164.000000,,,655589698468.000000,441835793834.000000,,,151823995426.000000,151823995426.000000,13758616393.000000,8313825128.000000,364064779.000000,,25221377921.000000,13606656531.000000,38828034452.000000,665368456.000000,655589698468.000000,155588219900.000000,,,101730500091.000000,24836971056.000000,126567471147.000000,,,29020748753.000000,155588219900.000000,811177918368.000000,,70104347800.000000,66576893554.000000,31700306982.000000,552182585461.000000,720564133797.000000,1531742052165.000000,701043478.000000
12M 2016,,,30911132670.000000,28355240348.000000,58078054851.000000,,58078054851.000000,58078054851.000000,43870509912.000000,,43870509912.000000,43870509912.000000,208914417489.000000,316887333188.000000,687016688458.000000,,,6543795488.000000,897063812295.000000,5842251421.000000,909449859204.000000,1596466547662.000000,,,682161682936.000000,454983968474.000000,,,146488628923.000000,146488628923.000000,697286203.000000,9727708149.000000,259537728.000000,,54436103946.000000,12364459827.000000,66800563773.000000,3203989686.000000,682161682936.000000,221302982166.000000,,,176784041291.000000,12290783318.000000,189074824609.000000,,,32228157557.000000,221302982166.000000,903464665102.000000,,70104347800.000000,66576893554.000000,32105006070.000000,524215635136.000000,693001882560.000000,1596466547662.000000,701043478.000000
12M 2017,,,45258984717.000000,,66272222280.000000,,66272222280.000000,66272222280.000000,51487005224.000000,,51487005224.000000,51487005224.000000,227427522708.000000,231785236460.000000,622230971389.000000,,,,863440136518.000000,56572613396.000000,920012749914.000000,1542243721303.000000,,,650095154148.000000,505869816971.000000,,,45574430053.000000,45574430053.000000,8987108621.000000,9444454565.000000,3304856637.000000,,54935396101.000000,16401079040.000000,71336475141.000000,5578012160.000000,650095154148.000000,215743263746.000000,,,123276761105.000000,48416862891.000000,171693623996.000000,,5281402416.000000,38768237334.000000,215743263746.000000,865838417894.000000,,70104347800.000000,66576893554.000000,40048836002.000000,499675226052.000000,676405303408.000000,1542243721302.000000,701043478.000000
