Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,410673009414.000000,-370389802675.000000,40283206739.000000,-24809071313.000000,-6085952399.000000,-18723118914.000000,,-24809071313.000000,15474135426.000000,-35914360940.000000,40818032.000000,-15027573426.000000,-22562789424.000000,27272727.000000,1607911151.000000,-35914360940.000000,-20440225514.000000,5626931809.000000,,5626931809.000000,5626931809.000000,-14813293705.000000,,,-14813293705.000000,-14813293705.000000,,-14813293705.000000,,,,
12M 2009,161201408520.000000,-144757508683.000000,16443899837.000000,-22596754251.000000,-4339201098.000000,-18257553153.000000,,-22596754251.000000,-6152854414.000000,-40889267300.000000,22597933.000000,-27732029519.000000,-14457447627.000000,236037770.000000,1041574143.000000,-40889267300.000000,-47042121714.000000,10825808148.000000,,10825808148.000000,10825808148.000000,-36216313566.000000,,,-36216313566.000000,-36216313566.000000,,-36216313566.000000,,,,
12M 2010,287200306413.000000,-242587439033.000000,44612867380.000000,-21085225680.000000,-5485475894.000000,-15599749786.000000,,-21085225680.000000,23527641700.000000,-21165997311.000000,48764884.000000,-23016273182.000000,-1992379066.000000,,3793890053.000000,-21165997311.000000,2361644389.000000,-2055358324.000000,,-2055358324.000000,-2055358324.000000,306286065.000000,,,306286065.000000,306286065.000000,,306286065.000000,,,,
12M 2011,330446667706.000000,-285148414662.000000,45298253044.000000,-21169328751.000000,-5313991522.000000,-16372349344.000000,517012115.000000,-21169328751.000000,24128924293.000000,-17694174629.000000,,-17694174629.000000,,,,-17694174629.000000,6434749664.000000,-5080888811.000000,,-5080888811.000000,-5080888811.000000,1353860853.000000,3177377073.000000,4531237926.000000,1353860853.000000,1353860853.000000,,1353860853.000000,4531237926.000000,4531237926.000000,,4531237926.000000
12M 2012,310224018731.000000,-262658957019.000000,47565061712.000000,-22502037702.000000,-4071835793.000000,-17250445068.000000,-1179756841.000000,-22502037702.000000,25063024010.000000,-15086113733.000000,,-15086113733.000000,,,,-15086113733.000000,9976910277.000000,5588476588.000000,,5588476588.000000,5588476588.000000,15565386865.000000,25883412559.000000,41448799424.000000,15565386865.000000,15565386865.000000,,15565386865.000000,41448799424.000000,41448799424.000000,,41448799424.000000
12M 2013,316174631298.000000,-259061897979.000000,57112733319.000000,-24968970928.000000,-5515117641.000000,-18601200139.000000,-852653148.000000,-24968970928.000000,32143762391.000000,-16335671253.000000,,-16335671253.000000,,,,-16335671253.000000,15808091138.000000,-2611351715.000000,,-2611351715.000000,-2611351715.000000,13196739423.000000,73957644062.000000,87154383485.000000,13196739423.000000,13196739423.000000,,13196739423.000000,87154383485.000000,87154383485.000000,,87154383485.000000
12M 2014,445664542004.000000,-369974947495.000000,75689594509.000000,-35382665117.000000,-6760162136.000000,-20132939747.000000,-8489563234.000000,-35382665117.000000,40306929392.000000,-25292172624.000000,,-25292172624.000000,,,,-25292172624.000000,15014756768.000000,-3674229159.000000,,-3674229159.000000,-3674229159.000000,11340527609.000000,99908664534.000000,111249192143.000000,11340527609.000000,11340527609.000000,,11340527609.000000,111249192143.000000,111249192143.000000,,111249192143.000000
12M 2015,469645085526.000000,-386379894456.000000,83265191070.000000,-42696971447.000000,-6236317876.000000,-23270895948.000000,-13189757623.000000,-42696971447.000000,40568219623.000000,-32099080257.000000,,-32099080257.000000,,,,-32099080257.000000,8469139366.000000,-2031806129.000000,,-2031806129.000000,-2031806129.000000,6437333237.000000,43144891256.000000,49582224493.000000,6437333237.000000,6437333237.000000,,6437333237.000000,49582224493.000000,49582224493.000000,,49582224493.000000
12M 2016,366709612329.000000,-293444899421.000000,73264712908.000000,-25046848627.000000,-5310671389.000000,-27298281481.000000,7562104243.000000,-25046848627.000000,48217864281.000000,-44247927621.000000,,-44247927621.000000,,,,-44247927621.000000,3969936660.000000,-6660900978.000000,,-6660900978.000000,-6660900978.000000,-2690964318.000000,-27966950325.000000,-30657914643.000000,-2690964318.000000,-2690964318.000000,,-2690964318.000000,-30657914643.000000,-30657914643.000000,,-30657914643.000000
12M 2017,348471154143.000000,-273396340279.000000,75074813864.000000,-41484740831.000000,-5703616885.000000,-35781123946.000000,,-41484740831.000000,33590073033.000000,-29583692250.000000,,-44553317616.000000,,,14969625366.000000,-29583692250.000000,4006380783.000000,-7232649057.000000,-381023906.000000,-6851625151.000000,-7232649057.000000,-3226268274.000000,-13370310888.000000,-16596579162.000000,-3226268274.000000,-3226268274.000000,,-3226268274.000000,-16596579162.000000,-16596579162.000000,,-16596579162.000000
12M 2018,574869742811.000000,-470815409065.000000,104054333746.000000,-41516745484.000000,-6182692724.000000,-35334052760.000000,,-41516745484.000000,62537588262.000000,-54378068212.000000,,-53350394085.000000,,,-1027674127.000000,-54378068212.000000,8159520050.000000,-1802359088.000000,-593220106.000000,-1209138982.000000,-1802359088.000000,6357160962.000000,1000974007.000000,7358134969.000000,6357160962.000000,6357160962.000000,,6357160962.000000,7358134969.000000,7358134969.000000,,7358134969.000000
12M 2019,340551346399.000000,-296816106787.000000,43735239612.000000,-46325510387.000000,-6174616725.000000,-40150893662.000000,,-46325510387.000000,-2590270775.000000,-51187449371.000000,,-63495263013.000000,,,12307813642.000000,-51187449371.000000,-53777720146.000000,10153603317.000000,,10153603317.000000,10153603317.000000,-43624116829.000000,-1157191450.000000,-44781308279.000000,-43624116829.000000,-43624116829.000000,,-43624116829.000000,-44781308279.000000,-44781308279.000000,,-44781308279.000000
12M 2020,300527048812.000000,-240868538254.000000,59658510558.000000,-51788216652.000000,-6723438970.000000,-45064777682.000000,,-51788216652.000000,7870293906.000000,-7166553652.000000,,-19149393770.000000,,,11982840118.000000,-7166553652.000000,703740254.000000,-5652219605.000000,,-5652219605.000000,-5652219605.000000,-4948479351.000000,-120925186810.000000,-125873666161.000000,-4948479351.000000,-4948479351.000000,,-4948479351.000000,-125873666161.000000,-125873666161.000000,,-125873666161.000000
12M 2021,262061053201.000000,-216650100897.000000,45410952304.000000,-42218398886.000000,-11695685220.000000,-30522713666.000000,,-42218398886.000000,3192553418.000000,-2662348440.000000,,-36976475394.000000,,,34314126954.000000,-2662348440.000000,530204978.000000,-1240289050.000000,,-1240289050.000000,-1240289050.000000,-710084072.000000,-31789160960.000000,-32499245032.000000,-710084072.000000,-710084072.000000,,-710084072.000000,-32499245032.000000,-32499245032.000000,,-32499245032.000000
12M 2022,91714152467.000000,-90510783821.000000,1203368646.000000,-25610017686.000000,-2105551756.000000,-23504465930.000000,,-25610017686.000000,-24406649040.000000,-86551616424.000000,,-14955902776.000000,,,-71595713648.000000,-86551616424.000000,-110958265464.000000,20344079030.000000,,20344079030.000000,20344079030.000000,-90614186434.000000,-22300097774.000000,-112914284208.000000,-90614186434.000000,-90614186434.000000,,-90614186434.000000,-112914284208.000000,-112914284208.000000,,-112914284208.000000
