Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Biaya Operasional,Bunga Dan Beban Keuangan,Pajak,Lain-Lain,Kegiatan Operasi,Penghasilan Bunga,Restitusi,Penghasilan Lain,Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penghasilan Bunga,Penerimaan Dari Penjualan Aset Jual Dan Sewa Balik,Hasil Penjualan Aset Tetap,Pencairan Jaminan,Penempatan Jaminan,Pencairan Deposito,Penempatan Deposito,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang - Jangka Pendek,Penambahan (Pembayaran) Utang Sewa Pembiayaan,Penambahan Utang - Jangka Panjang,Pembayaran Utang - Jangka Pendek,Penambahan(Pembayaran) Utang/Piutang Pihak Berelasi,Penambahan Utang Bank,Pembayaran Utang Bank,Penambahan Utang Sewa Guna Usaha,Pembayaran Utang/Piutang Pihak Berelasi,Pembayaran (Penerimaan) Utang - Jangka Panjang,Pembayaran Biaya Pinjaman,Pembayaran Utang Pembiayaan,Utang Sewa Guna Usaha,Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,25606573827.000000,480291961832.000000,-440770278342.000000,,-15011122895.000000,-4050747968.000000,,,40818032.000000,4628742643.000000,477200525.000000,,,25606573827.000000,-30731100385.000000,-30758373112.000000,,,27272727.000000,,,,,-30731100385.000000,45661145620.000000,47623482744.000000,-205750734.000000,4155253534.000000,,2502185076.000000,,,,,-8414025000.000000,,,,,,45661145620.000000,,40536619062.000000,4627920800.000000,45164539862.000000
12M 2009,208243945.000000,220210286375.000000,-193353002498.000000,,-27366719422.000000,-1334406552.000000,,,22597933.000000,987913966.000000,1041574143.000000,,,208243945.000000,-5706502091.000000,-6049902091.000000,,,343400000.000000,,,,,-5706502091.000000,-36367313760.000000,8600000000.000000,-4327320.000000,10066936794.000000,-29782626631.000000,2570973148.000000,,,,,-27818269751.000000,,,,,,-36367313760.000000,,-41865571906.000000,45164539862.000000,3298967956.000000
12M 2010,93246942121.000000,324309628816.000000,-210535643115.000000,,-22484034352.000000,-171814833.000000,,,48764884.000000,459312832.000000,1620727889.000000,,,93246942121.000000,-30595970457.000000,-30595970457.000000,,,,,,,,-30595970457.000000,-47408458322.000000,,,,,269432326.000000,,,,,-47677890648.000000,,,,,,-47408458322.000000,,,3298967956.000000,
12M 2011,4646576990.000000,327448303770.000000,-307315632560.000000,,-16995694741.000000,-261035936.000000,,,79906198.000000,263617412.000000,1427112847.000000,,,4646576990.000000,-9513171588.000000,-15813727610.000000,,,6300556022.000000,,,,,-9513171588.000000,871393842.000000,34139741563.000000,-323861668.000000,-48338056530.000000,,15393570477.000000,,,,,,,,,,,871393842.000000,,,18541481298.000000,
12M 2012,47968405047.000000,347956189108.000000,-288120606474.000000,,-14609628880.000000,-155364069.000000,,,60141500.000000,102257650.000000,2735416212.000000,,,47968405047.000000,-22704638249.000000,-22705246025.000000,,,607776.000000,,,,,-22704638249.000000,-38641935673.000000,,-1378374973.000000,7300000000.000000,-1561516660.000000,-6645394039.000000,,,,-2101900000.000000,-34254750001.000000,,,,,,-38641935673.000000,,-13378168875.000000,14546280542.000000,1168111667.000000
12M 2013,10729054393.000000,297248633749.000000,-256983507283.000000,,-16588384312.000000,-5250325657.000000,-8080889951.000000,,93745068.000000,,289782779.000000,,,10729054393.000000,-18526964545.000000,-21465050.000000,,,,,-12712579500.000000,,-5792919995.000000,-18526964545.000000,25424487555.000000,,-1330185288.000000,,-215241387466.000000,,341986645446.000000,,29205145986.000000,-88799037846.000000,-40396693277.000000,,,,,,25424487555.000000,,17626577403.000000,1168111379.000000,18794688782.000000
12M 2014,11556006425.000000,412212600576.000000,-371544887856.000000,,-25435199070.000000,-3541807139.000000,-2015180660.000000,,485586130.000000,,1394894444.000000,,,11556006425.000000,-50204615368.000000,-345769000.000000,,,88000000.000000,,,,-49946846368.000000,-50204615368.000000,51147955193.000000,,-1857574900.000000,,-635208216750.000000,,706393052947.000000,,34228560896.000000,,-52407867000.000000,,,,,,51147955193.000000,,12499346250.000000,18794688782.000000,31294035032.000000
12M 2015,5512017512.000000,517834518767.000000,-472927960762.000000,,-32271669814.000000,-2394575449.000000,-7916622050.000000,,519305739.000000,,2669021081.000000,,,5512017512.000000,-92526550327.000000,-33116981.000000,,,,,,,-92493433346.000000,-92526550327.000000,72178361165.000000,,-2889210855.000000,,-1497142071904.000000,,1583936041964.000000,,1319243599.000000,,-13045641639.000000,,,,,,72178361165.000000,,-14836171650.000000,31294035032.000000,16457863382.000000
12M 2016,3493277047.000000,364276068324.000000,-317131893711.000000,,-43801665796.000000,-2493552272.000000,-3961200125.000000,,208243550.000000,,6397277077.000000,,,3493277047.000000,-95065836345.000000,-523747952.000000,,,,,,,-94542088393.000000,-95065836345.000000,106025828586.000000,,-13018776962.000000,,-1784266837136.000000,,1797197852996.000000,,,,,106113589688.000000,,,,,106025828586.000000,,14453269288.000000,16457863382.000000,30911132670.000000
12M 2017,-1995105496.000000,345166469249.000000,-296655502270.000000,,-44961355732.000000,-2939117703.000000,-3824494173.000000,,201928953.000000,,5351683816.000000,-4334717636.000000,,-1995105496.000000,-188000000.000000,-188000000.000000,,,,,,,,-188000000.000000,-11824282805.000000,,,-53977134432.000000,,,1778800455830.000000,-1719556084387.000000,,,,,40829121909.000000,,-57920641725.000000,,-11824282805.000000,,-14007388301.000000,59266373018.000000,45258984717.000000
12M 2018,17330565028.000000,539807677177.000000,-455849114680.000000,,-52470103512.000000,-10924302593.000000,-3897382421.000000,,397438957.000000,,266352100.000000,,,17330565028.000000,-742064280.000000,-760246100.000000,,,18181820.000000,,,,,-742064280.000000,23248231867.000000,,,-53980716951.000000,,,1994085696158.000000,-1864843456794.000000,,,,,2248350224.000000,,-54261640770.000000,,23248231867.000000,,39836732615.000000,45258984717.000000,85095717332.000000
12M 2019,3664810110.000000,365025083551.000000,-318134581983.000000,,-63139988410.000000,-13491662414.000000,-2952451477.000000,,658623525.000000,35626244009.000000,73543309.000000,,,3664810110.000000,43589353977.000000,,,,,,,43589353977.000000,,43589353977.000000,-45273528569.000000,,,,,,1494686138238.000000,-1403980360723.000000,,,-61475466163.000000,,-6101629839.000000,,-68402210082.000000,,-45273528569.000000,,1980635518.000000,8329474562.000000,10310110080.000000
12M 2020,1870173887.000000,183708506454.000000,-146204948499.000000,,-28179310448.000000,-4542868448.000000,-3368831183.000000,,171362810.000000,,286263201.000000,,,1870173887.000000,28451694004.000000,,,,105000000.000000,,,28346694004.000000,,28451694004.000000,-37350324861.000000,,,,,,26187682659.000000,-9308441214.000000,,,29944689847.000000,,10671400827.000000,,-94845656980.000000,,-37350324861.000000,,-7028456970.000000,10310110080.000000,3281653110.000000
12M 2021,31646097895.000000,303203113152.000000,-244642041712.000000,,-25163058951.000000,-3005531104.000000,-2284631381.000000,,31544199.000000,2348071314.000000,1158632378.000000,,,31646097895.000000,-3564873304.000000,,,,,,,-3564873304.000000,,-3564873304.000000,-29501044944.000000,,,,,,9876150788.000000,-5117352875.000000,,,-25265898739.000000,,-9333335407.000000,,339391289.000000,,-29501044944.000000,,-1419820353.000000,3281653110.000000,1861832757.000000
12M 2022,583553800.000000,136069496616.000000,-117669086823.000000,,-11960151912.000000,-1654020252.000000,-4292083614.000000,,10865646.000000,,78534139.000000,,,583553800.000000,465191157.000000,,,,465191157.000000,,,,,465191157.000000,-2942780803.000000,,,,,,,-11331357715.000000,,,,,-1516525723.000000,,9905102635.000000,,-2942780803.000000,,697825678.000000,1861832757.000000,2559658435.000000
