Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Premi,Penerimaan Klaim Reasuransi,Penerimaan Lain-Lain,Penerimaan Dari Pembayaran Sewa Properti,Pembayaran Premi Reasuransi,Pembayaran Klaim,Pembayaran Beban Umum Dan Administrasi,Pembayaran Komisi-Bersih,Pembayaran Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Aset Keuangan Dimiliki Hingga Jatuh Tempo,Penerimaan Hasil Investasi,Hasil Penjualan Aset Tetap,Penempatan Aset Keuangan Tersedia Untuk Dijual,Pencairan Deposito Berjangka Yang Dibatasi Penggunaannya,Pencairan (Penempatan) Deposito Berjangka,Pembelian Saham Entitas Anak Dari Kepentingan Sepengendali,Perolehan Aset Tetap,Penjualan (Pembelian) Aset Keuangan Yang Diukur Pada Biaya Perolehan Diamortisasi Yang Jatuh Tempo,Penjualan (Pembelian) Aset Keuangan Yang Diukur Pada Biaya Perolehan Diamortisasi,Penjualan (Pembelian) Aset Keuangan Yang Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Disetor,Penerimaan Dari Penawaran Umum Terbatas,Penerimaan (Pembayaran) Piutang Lain,Pembayaran Pokok Liabilitas Sewa,Penurunan Modal Saham Entitas Anak,Pembayaran Beban Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,8636198379.000000,168628649938.000000,19096810510.000000,,,-88584406029.000000,-49182089827.000000,-35698836881.000000,-5091686792.000000,-532242540.000000,8636198379.000000,9481681522.000000,-8920000051.000000,9165018682.000000,118550000.000000,,,4500000000.000000,,-1740690042.000000,,,6358802933.000000,9481681522.000000,-3700000000.000000,,,-3700000000.000000,,,,-3700000000.000000,14417879901.000000,1374647900.000000,15792527801.000000
12M 2017,-18767463852.000000,213766179544.000000,68938214442.000000,,,-143467902618.000000,-108752327349.000000,-41933098557.000000,-5117783934.000000,-2200745380.000000,-18767463852.000000,-21723921029.000000,30000000000.000000,13142804807.000000,1278346500.000000,-52895729421.000000,,-6300000000.000000,-6500000000.000000,-274347915.000000,,,-174995000.000000,-21723921029.000000,29102992652.000000,31000000000.000000,,3708222222.000000,,-3500000000.000000,-2105229570.000000,29102992652.000000,-11388392229.000000,15792527801.000000,4404135572.000000
12M 2018,-8915283222.000000,238221102567.000000,76507817575.000000,579750000.000000,,-155265527481.000000,-129421744412.000000,-30355628831.000000,-4720119906.000000,-4460932734.000000,-8915283222.000000,16754253516.000000,,8770177136.000000,365500000.000000,,,11500000000.000000,,-4267090830.000000,,250000000.000000,135667210.000000,16754253516.000000,,,,,,,,,7838970294.000000,4404135572.000000,12243105866.000000
12M 2019,-4019940605.000000,287940907001.000000,100327625711.000000,,,-223403118020.000000,-140961676615.000000,-24191506112.000000,12893078897.000000,-16625251467.000000,-4019940605.000000,4778049273.000000,,9628350986.000000,160550000.000000,,,-7500000000.000000,,-5010851713.000000,7500000000.000000,,,4778049273.000000,,,,,,,,,758108668.000000,12243105866.000000,13001214534.000000
12M 2020,-8096847920.000000,357574510928.000000,128120415281.000000,,184500000.000000,-259271940338.000000,-197471724890.000000,-33083287939.000000,18188442326.000000,-22337763288.000000,-8096847920.000000,4445899449.000000,,8605442776.000000,711653000.000000,,,-10000000000.000000,,-4736096327.000000,17000000000.000000,-7135100000.000000,,4445899449.000000,-874425880.000000,,,,-874425880.000000,,,-874425880.000000,-4525374351.000000,13001214534.000000,8475840183.000000
12M 2021,-26712751942.000000,358383390969.000000,171750995411.000000,,409743751.000000,-274030562389.000000,-248751278705.000000,-35381919724.000000,28108505750.000000,-27201627005.000000,-26712751942.000000,23487940854.000000,,7838628253.000000,244200000.000000,,,5900000000.000000,,-496562400.000000,10000000000.000000,,1675001.000000,23487940854.000000,-462749591.000000,,,,-462749591.000000,,,-462749591.000000,-3687560679.000000,8475840183.000000,4788279504.000000
12M 2022,46060016376.000000,543800440932.000000,212996387359.000000,,,-431854147201.000000,-251459791150.000000,-28959637371.000000,53775277118.000000,-52238513311.000000,46060016376.000000,-147253928055.000000,,8353541218.000000,8850000.000000,,500000000.000000,-133800000000.000000,,-1786319273.000000,7000000000.000000,-27530000000.000000,,-147253928055.000000,109236024971.000000,,112121121500.000000,,-1503663153.000000,,-1381433376.000000,109236024971.000000,8042113292.000000,4788279504.000000,12830392796.000000
12M 2023,116816187226.000000,883946241255.000000,156752909658.000000,,,-652462180716.000000,-306865515401.000000,-16925889796.000000,87081195495.000000,-34710573269.000000,116816187226.000000,-140977310104.000000,,17810541210.000000,37259000.000000,,,37850000000.000000,,-6243310314.000000,,-190431800000.000000,,-140977310104.000000,27402873888.000000,,27745630800.000000,,-342756912.000000,,,27402873888.000000,3241751010.000000,12830392796.000000,16072143806.000000
12M 2024,85103186637.000000,1500993240324.000000,149224727846.000000,,,-927226795449.000000,-692416159300.000000,-36116530932.000000,101471259511.000000,-10826555363.000000,85103186637.000000,-57223471703.000000,,28597856362.000000,,,,15538000000.000000,,-5614328065.000000,35000000000.000000,-130745000000.000000,,-57223471703.000000,-632223062.000000,,,,-632223062.000000,,,-632223062.000000,27247491872.000000,16072143806.000000,43319635678.000000
