Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,10.49,,0.14,,,0.0
12M 2009,,,,,,,,,11.12,12.18,0.15,0.17,,,0.0
12M 2010,,,,,,,,,14.34,15.61,0.18,0.18,,,0.0
12M 2011,,,,,,,,,19.38,18.75,0.18,0.15,,,0.0
12M 2012,,,,,,,,,19.11,15.9,0.18,0.16,,,0.0
12M 2013,,,,,,,,,14.82,13.94,0.17,0.16,,,0.0
12M 2014,,,,,,,,,12.02,11.42,0.16,0.16,,,0.0
12M 2015,,,,,,,,,8.46,8.03,0.16,0.16,,,0.0
12M 2016,,,,,,,,,6.06,5.79,0.14,0.14,,,0.0
12M 2017,,,,,,,,,7.15,6.8,0.17,0.15,,,0.0
12M 2018,,,,,,,,,6.77,6.7,0.15,0.14,,,0.0
12M 2019,,,,,,,,,7.76,7.71,0.16,0.16,,,0.0
12M 2020,,,,,,,,,6.95,7.22,0.14,0.16,,,0.0
12M 2021,,,,,,,,,6.22,6.62,0.13,0.14,,,0.0
12M 2022,,,,,,,,,7.26,7.61,0.13,0.12,,,0.0
12M 2023,,,,,,,,,9.16,9.02,0.13,0.12,,,0.0
12M 2024,,,,,,,,,10.27,9.9,0.13,0.12,,,0.0
