Period,Aset,Kas Dan Setara Kas,Piutang Pembiayaan Konsumen,Piutang Pembiayaan Konsumen,Others,Total Piutang Pembiayaan Konsumen,Piutang Lain-Lain,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Bank,Kewajiban Lembaga Keuangan Non Bank,Utang Pajak,Utang Lain-Lain,Beban Akrual,Liabilitas Derivatif,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,115551742864.000000,,468214822704.000000,-5734380446.000000,462480442258.000000,7096283236.000000,23103073411.000000,1676517046.000000,3970461873.000000,1135837583030.000000,1749716103718.000000,,,846255557533.000000,,10137481545.000000,11541248177.000000,5199115730.000000,,9924340382.000000,883057743367.000000,,359030578000.000000,52875000150.000000,436274117291.000000,8000000000.000000,428274117291.000000,436274117291.000000,18478664910.000000,866658360351.000000,1749716103718.000000,1436122312.000000
12M 2009,,49152141710.000000,,374446740550.000000,-9430054368.000000,365016686182.000000,13168898416.000000,17982515891.000000,3223029562.000000,2920820113.000000,919266096663.000000,1370730188537.000000,,,468398386715.000000,,6551849312.000000,8818124900.000000,5135016784.000000,,8454237526.000000,497357615237.000000,,359030578000.000000,52875000150.000000,463075625784.000000,9000000000.000000,454075625784.000000,463075625784.000000,-1608630634.000000,873372573300.000000,1370730188537.000000,1436122312.000000
12M 2010,,22617955542.000000,,487145314547.000000,-5770947845.000000,481374366702.000000,16036350040.000000,19570326204.000000,2179650678.000000,1995532000.000000,1038951650628.000000,1582725831794.000000,,,610743711595.000000,,4915829501.000000,15097285698.000000,6082546286.000000,,8915922554.000000,645755295634.000000,,359030578000.000000,52875000150.000000,525248120725.000000,10000000000.000000,515248120725.000000,525248120725.000000,-183162715.000000,936970536160.000000,1582725831794.000000,1436122312.000000
12M 2011,,29170126220.000000,,798681302794.000000,-8973141860.000000,789708160934.000000,11645728187.000000,21950402622.000000,1220076530.000000,2562242832.000000,2003340890126.000000,2859597627451.000000,,,1842717491739.000000,,12961115199.000000,36513953259.000000,14630512236.000000,,14116444131.000000,1920939516564.000000,,359030578000.000000,52875000150.000000,532999761086.000000,11000000000.000000,521999761086.000000,532999761086.000000,-6247228349.000000,938658110887.000000,2859597627451.000000,1436122312.000000
12M 2012,,49260952172.000000,,696623355200.000000,-16310691539.000000,680312663661.000000,13551076440.000000,38627167552.000000,748878522.000000,3123501098.000000,2709565706881.000000,3495189946326.000000,,,2389661748461.000000,,12457512363.000000,40124175401.000000,14689480503.000000,,23519150686.000000,2480452067414.000000,,411449013500.000000,456564650.000000,605044605303.000000,12000000000.000000,593044605303.000000,605044605303.000000,-2212304541.000000,1014737878912.000000,3495189946326.000000,1645796054.000000
12M 2013,,86576211167.000000,,604860450006.000000,-15495200812.000000,589365249194.000000,21175608170.000000,44107822394.000000,469080197.000000,3870009535.000000,3024907140199.000000,3770471120856.000000,,,2437158083938.000000,,9732099603.000000,31181763807.000000,14230731928.000000,,174951252371.000000,2667253931647.000000,,411449013500.000000,456564650.000000,691343294023.000000,13000000000.000000,678343294023.000000,691343294023.000000,-31682964.000000,1103217189209.000000,3770471120856.000000,1645796054.000000
12M 2014,,121971677696.000000,,571120813634.000000,-8924290255.000000,562196523379.000000,28844137467.000000,54186439364.000000,581089096.000000,3851520535.000000,2815222607637.000000,3586853995174.000000,,,2388089619966.000000,,11177015083.000000,30546081619.000000,16312983910.000000,,36135068427.000000,2482260769005.000000,,411449013500.000000,456564650.000000,703467416228.000000,14000000000.000000,689467416228.000000,703467416228.000000,-10779768209.000000,1104593226169.000000,3586853995174.000000,1645796054.000000
12M 2015,,89222000000.000000,,528553000000.000000,-7838000000.000000,520715000000.000000,30645000000.000000,71832000000.000000,437000000.000000,2730000000.000000,2447325000000.000000,3162906000000.000000,,,1760806000000.000000,,6164000000.000000,26362000000.000000,19395000000.000000,,266744000000.000000,2079471000000.000000,,411449000000.000000,457000000.000000,666759000000.000000,15000000000.000000,651759000000.000000,666759000000.000000,4770000000.000000,1083435000000.000000,3162906000000.000000,1645796054.000000
12M 2016,,98232000000.000000,,1218459000000.000000,-16988000000.000000,1201471000000.000000,21953000000.000000,86386000000.000000,632000000.000000,3973000000.000000,2216391000000.000000,3629038000000.000000,,,2189595000000.000000,,7370000000.000000,42804000000.000000,15257000000.000000,3134000000.000000,269974000000.000000,2528134000000.000000,,411449000000.000000,457000000.000000,690556000000.000000,16000000000.000000,674556000000.000000,690556000000.000000,-1558000000.000000,1100904000000.000000,3629038000000.000000,1645796054.000000
12M 2017,,120381000000.000000,,2629612000000.000000,-44138000000.000000,2585474000000.000000,44656000000.000000,99309000000.000000,10247000000.000000,4267000000.000000,1503600000000.000000,4367934000000.000000,,,3140537000000.000000,,7320000000.000000,37309000000.000000,20546000000.000000,8921000000.000000,23760000000.000000,3238393000000.000000,,411449000000.000000,457000000.000000,730656000000.000000,17000000000.000000,713656000000.000000,730656000000.000000,-13021000000.000000,1129541000000.000000,4367934000000.000000,1645796054.000000
12M 2018,,189751000000.000000,,3422701000000.000000,-29087000000.000000,3393614000000.000000,38365000000.000000,102764000000.000000,19364000000.000000,1476000000.000000,1273712000000.000000,5019046000000.000000,,,3739886000000.000000,,7496000000.000000,53527000000.000000,23651000000.000000,,17430000000.000000,3841990000000.000000,,411449000000.000000,457000000.000000,761894000000.000000,18000000000.000000,743894000000.000000,761894000000.000000,3256000000.000000,1177056000000.000000,5019046000000.000000,1645796054.000000
12M 2019,,164800000000.000000,,3564191000000.000000,-35317000000.000000,3528874000000.000000,41270000000.000000,100426000000.000000,22468000000.000000,2835000000.000000,1190729000000.000000,5051402000000.000000,,,3714466000000.000000,,8282000000.000000,66982000000.000000,21352000000.000000,12705000000.000000,20132000000.000000,3843919000000.000000,,411449000000.000000,457000000.000000,798122000000.000000,19000000000.000000,779122000000.000000,798122000000.000000,-2545000000.000000,1207483000000.000000,5051402000000.000000,1645796054.000000
12M 2020,,417904000000.000000,,2668412000000.000000,-44320000000.000000,2624092000000.000000,64116000000.000000,88359000000.000000,20391000000.000000,6709000000.000000,894324000000.000000,4115895000000.000000,,,2802406000000.000000,,2730000000.000000,71445000000.000000,13235000000.000000,4343000000.000000,13080000000.000000,2907239000000.000000,,411449000000.000000,457000000.000000,807402000000.000000,20000000000.000000,787402000000.000000,807402000000.000000,-10652000000.000000,1208656000000.000000,4115895000000.000000,1645796054.000000
12M 2021,,220749000000.000000,,2395309000000.000000,-52517000000.000000,2342792000000.000000,45973000000.000000,77543000000.000000,14725000000.000000,4442000000.000000,876644000000.000000,3582868000000.000000,,,2195442000000.000000,,8703000000.000000,111882000000.000000,8818000000.000000,2978000000.000000,11224000000.000000,2339047000000.000000,,411449000000.000000,457000000.000000,829522000000.000000,21000000000.000000,808522000000.000000,829522000000.000000,2393000000.000000,1243821000000.000000,3582868000000.000000,1645796054.000000
12M 2022,,514065000000.000000,,2990988000000.000000,-27833000000.000000,2963155000000.000000,31722000000.000000,71207000000.000000,9031000000.000000,7897000000.000000,1033073000000.000000,4630150000000.000000,,,3153900000000.000000,,17493000000.000000,121135000000.000000,7337000000.000000,4369000000.000000,9975000000.000000,3314209000000.000000,,411449000000.000000,457000000.000000,907107000000.000000,22000000000.000000,885107000000.000000,907107000000.000000,-3072000000.000000,1315941000000.000000,4630150000000.000000,1645796054.000000
12M 2023,,337879000000.000000,,4267353000000.000000,-43055000000.000000,4224298000000.000000,54883000000.000000,72462000000.000000,8464000000.000000,9204000000.000000,1082427000000.000000,5789617000000.000000,,,4245201000000.000000,,13216000000.000000,110541000000.000000,8400000000.000000,4981000000.000000,12542000000.000000,4394881000000.000000,,411449000000.000000,457000000.000000,985787000000.000000,23000000000.000000,962787000000.000000,985787000000.000000,-2957000000.000000,1394736000000.000000,5789617000000.000000,1645796054.000000
12M 2024,,150198000000.000000,,5338362000000.000000,-47656000000.000000,5290706000000.000000,183078000000.000000,80429000000.000000,4481000000.000000,11830000000.000000,913426000000.000000,6634148000000.000000,,,5107624000000.000000,,8944000000.000000,68713000000.000000,9275000000.000000,4707000000.000000,11142000000.000000,5210405000000.000000,,411449000000.000000,457000000.000000,1018938000000.000000,24000000000.000000,994938000000.000000,1018938000000.000000,-7101000000.000000,1423743000000.000000,6634148000000.000000,1645796054.000000
