Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Konsumen,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Usaha,Anjak Piutang,Penerimaan Bunga,Pembayaran Bunga Dan Biaya Keuangan Lainnya,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembelian Aset Tidak Berwujud,Uang Muka Lain-Lain,Hasil Pelepasan Aset Tetap,Uang Muka Pembelian Gedung,Penerimaan Pelepasan Aset Sewa Operasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Penerimaan Dari Konversi Waran,Penerimaan Dari Penerbitan Efek Hutang,Pembayaran Liabilitas Sewa,Pembayaran Biaya Emisi Dari Penerbitan Efek Hutang,Pembayaran Kembali Utang Bank,Pembayaran Pokok Efek Hutang Yang Diterbitkan,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,-148085793817.000000,1240201212208.000000,-1205018970610.000000,-77004226290.000000,,4846561346.000000,-92599729674.000000,-18510640797.000000,-148085793817.000000,-12442280074.000000,-12468880457.000000,,,26600383.000000,,,-12442280074.000000,181819989589.000000,581950000000.000000,9484705250.000000,,,,-395642764527.000000,,-13971951134.000000,181819989589.000000,-498405776.000000,20793509922.000000,94758232942.000000,,115551742864.000000
12M 2009,267489090315.000000,1202289017444.000000,-766433847026.000000,-80652882046.000000,,9247172486.000000,-76557838440.000000,-20402532103.000000,267489090315.000000,-4326714562.000000,-5517811562.000000,,,1191097000.000000,,,-4326714562.000000,-327543871493.000000,190000000000.000000,,,,,-503192740188.000000,,-14351131305.000000,-327543871493.000000,-2018105414.000000,-66399601154.000000,115551742864.000000,,49152141710.000000
12M 2010,-172835201332.000000,1361476525492.000000,-1373444454987.000000,-77204770114.000000,,1321735827.000000,-65240714550.000000,-19743523000.000000,-172835201332.000000,-7397244549.000000,-10868877866.000000,,,3471633317.000000,,,-7397244549.000000,153804138720.000000,1050290642380.000000,,,,,-896486503660.000000,,,153804138720.000000,-105879007.000000,-26534186168.000000,49152141710.000000,,22617955542.000000
12M 2011,-1122791643232.000000,1784463644191.000000,-2642983108832.000000,-85249876597.000000,,462410353.000000,-152648186636.000000,-26836525711.000000,-1122791643232.000000,-7317195174.000000,-10074372383.000000,,,1757177209.000000,,1000000000.000000,-7317195174.000000,1136138921178.000000,4467289527500.000000,,,,,-3238614322403.000000,,-92536283919.000000,1136138921178.000000,522087906.000000,6552170678.000000,22617955542.000000,,29170126220.000000
12M 2012,-431525492165.000000,2593305856535.000000,-2631203719064.000000,-92766204769.000000,,733561523.000000,-249566067330.000000,-52028919060.000000,-431525492165.000000,-19887045971.000000,-23364641440.000000,,,3477595469.000000,,,-19887045971.000000,471057879232.000000,3589370000000.000000,,,,,-3040270039455.000000,,-78042081313.000000,471057879232.000000,445484856.000000,20090825952.000000,29170126220.000000,,49260952172.000000
12M 2013,-69139856335.000000,2958981077038.000000,-2613969761145.000000,-107492392284.000000,,1139766746.000000,-258502286690.000000,-49296260000.000000,-69139856335.000000,-9341265205.000000,-5920811587.000000,,,1069073636.000000,-5857709072.000000,1368181818.000000,-9341265205.000000,111550004552.000000,3541140000000.000000,,,,,-3380250337186.000000,,-49339658262.000000,111550004552.000000,4246375983.000000,37315258995.000000,49260952172.000000,,86576211167.000000
12M 2014,365110584730.000000,3013511692790.000000,-2229680860131.000000,-126497160850.000000,,2061429090.000000,-256830352169.000000,-37454164000.000000,365110584730.000000,-15726484579.000000,-16217414057.000000,-520754876.000000,-80352928.000000,1492037282.000000,,-400000000.000000,-15726484579.000000,-311082057804.000000,2681352500000.000000,,,,,-2743755133274.000000,-150000000000.000000,-98679424530.000000,-311082057804.000000,-2906575818.000000,35395466529.000000,86576211167.000000,,121971677696.000000
12M 2015,506327000000.000000,2763084000000.000000,-1834970000000.000000,-126294000000.000000,,1480000000.000000,-272650000000.000000,-24323000000.000000,506327000000.000000,-22560000000.000000,-23885000000.000000,,-12000000.000000,1056000000.000000,,281000000.000000,-22560000000.000000,-518981000000.000000,1951120000000.000000,,248625000000.000000,,,-2620047000000.000000,,-98679000000.000000,-518981000000.000000,2464000000.000000,-32750000000.000000,121972000000.000000,,89222000000.000000
12M 2016,-424406000000.000000,2563432000000.000000,-2600076000000.000000,-133529000000.000000,,4860000000.000000,-241409000000.000000,-17684000000.000000,-424406000000.000000,-21020000000.000000,-21627000000.000000,-362000000.000000,-389000000.000000,1358000000.000000,,,-21020000000.000000,453897000000.000000,2772938000000.000000,,150000000000.000000,,-77000000.000000,-2289360000000.000000,-150000000000.000000,-29604000000.000000,453897000000.000000,539000000.000000,9010000000.000000,89222000000.000000,,98232000000.000000
12M 2017,-626681000000.000000,2888978000000.000000,-2975809000000.000000,-184152000000.000000,,1508000000.000000,-335910000000.000000,-21296000000.000000,-626681000000.000000,-35461000000.000000,-22535000000.000000,-10075000000.000000,-3899000000.000000,1048000000.000000,,,-35461000000.000000,684229000000.000000,5028125000000.000000,,,,,-4067582000000.000000,-250000000000.000000,-26314000000.000000,684229000000.000000,62000000.000000,22149000000.000000,98232000000.000000,,120381000000.000000
12M 2018,-468309000000.000000,3150664000000.000000,-3055302000000.000000,-196396000000.000000,,4601000000.000000,-354488000000.000000,-17388000000.000000,-468309000000.000000,-23286000000.000000,-15746000000.000000,-9948000000.000000,-377000000.000000,2785000000.000000,,,-23286000000.000000,562586000000.000000,2707500000000.000000,,,,,-2118599000000.000000,,-26315000000.000000,562586000000.000000,-1621000000.000000,69370000000.000000,120381000000.000000,,189751000000.000000
12M 2019,25908000000.000000,3476631000000.000000,-2817251000000.000000,-208512000000.000000,,4267000000.000000,-411913000000.000000,-17314000000.000000,25908000000.000000,-17790000000.000000,-13704000000.000000,-5565000000.000000,,1479000000.000000,,,-17790000000.000000,-32969000000.000000,2804968000000.000000,,,,,-2814912000000.000000,,-23025000000.000000,-32969000000.000000,-100000000.000000,-24951000000.000000,189751000000.000000,,164800000000.000000
12M 2020,1197559000000.000000,2894489000000.000000,-1182606000000.000000,-170539000000.000000,,12333000000.000000,-345643000000.000000,-10475000000.000000,1197559000000.000000,-4929000000.000000,-4681000000.000000,-3214000000.000000,,2966000000.000000,,,-4929000000.000000,-939517000000.000000,1762088000000.000000,,,-3614000000.000000,,-2697991000000.000000,,,-939517000000.000000,7000000.000000,253120000000.000000,164800000000.000000,-1000000.000000,417919000000.000000
12M 2021,410545000000.000000,2727549000000.000000,-1936527000000.000000,-157818000000.000000,2195000000.000000,11141000000.000000,-234277000000.000000,-1718000000.000000,410545000000.000000,-2937000000.000000,-3280000000.000000,-37000000.000000,,380000000.000000,,,-2937000000.000000,-606066000000.000000,1662205000000.000000,,,-412000000.000000,,-2261281000000.000000,,-6578000000.000000,-606066000000.000000,1290000000.000000,-197168000000.000000,417919000000.000000,,220751000000.000000
