Period,Total Pendapatan,Pendapatan Sewa Pembiayaan,Pendapatan Pembiayaan Konsumen,Pendapatan Anjak Piutang,Pendapatan Sewa Operasi,Pendapatan Bunga,Total Pendapatan,Total Beban Usaha,Beban Bunga,Beban Umum Dan Administrasi,Beban Pemasaran,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,250782824270.000000,174330203431.000000,60566858853.000000,896277090.000000,,14989484896.000000,250782824270.000000,-197563120070.000000,-89947950993.000000,-77349194778.000000,-5398264858.000000,-24867709441.000000,-197563120070.000000,53219704200.000000,22201414202.000000,-2143894166.000000,24345308368.000000,22201414202.000000,75421118402.000000,-24249389000.000000,-24819992000.000000,570603000.000000,,-24249389000.000000,51171729402.000000,,,,,51171729402.000000,51171729402.000000,,51171729402.000000,,,,
12M 2009,228514877894.000000,141808512595.000000,63108836911.000000,3638133038.000000,,19959395350.000000,228514877894.000000,-185694059146.000000,-83100283486.000000,-81658849040.000000,-5070044489.000000,-15864882131.000000,-185694059146.000000,42820818748.000000,16293393625.000000,-3872760788.000000,20166154413.000000,16293393625.000000,59114212373.000000,-17951480760.000000,-16901839000.000000,-1049641760.000000,,-17951480760.000000,41162731613.000000,,,,,41162731613.000000,41162731613.000000,,41162731613.000000,,,,
12M 2010,269271018939.000000,167119959832.000000,76058029006.000000,3782424394.000000,5941315750.000000,16369289957.000000,269271018939.000000,-193619207908.000000,-66795917020.000000,-82108684262.000000,-2888840865.000000,-41825765761.000000,-193619207908.000000,75651811031.000000,5391345267.000000,-476823066.000000,5868168333.000000,5391345267.000000,81043156298.000000,-20526182272.000000,-18565649000.000000,-1960533272.000000,,-20526182272.000000,60516974026.000000,,,,,60516974026.000000,60516974026.000000,,60516974026.000000,,,,
12M 2011,402255386745.000000,276696135299.000000,106210197506.000000,728173144.000000,1925286750.000000,16695594046.000000,402255386745.000000,-274640930535.000000,-145955065496.000000,-86503803729.000000,-2577574778.000000,-39604486532.000000,-274640930535.000000,127614456210.000000,7311018599.000000,-7757407.000000,7318776006.000000,7311018599.000000,134925474809.000000,-33825884168.000000,-34392595000.000000,566710832.000000,,-33825884168.000000,101099590641.000000,-6064065634.000000,-6064065634.000000,-6064065634.000000,95035525007.000000,101099590641.000000,101099590641.000000,,101099590641.000000,95035525007.000000,95035525007.000000,,95035525007.000000
12M 2012,578811843009.000000,428693998908.000000,128694221024.000000,500599040.000000,,20923024037.000000,578811843009.000000,-390085717455.000000,-243179488828.000000,-100963078090.000000,-2158454764.000000,-43784695773.000000,-390085717455.000000,188726125554.000000,11802716638.000000,461024773.000000,11341691865.000000,11802716638.000000,200528842192.000000,-50392845734.000000,-50954104000.000000,561258266.000000,,-50392845734.000000,150135996458.000000,4034923808.000000,4034923808.000000,4034923808.000000,154170920266.000000,150135996458.000000,150135996458.000000,,150135996458.000000,154170920266.000000,154170920266.000000,,154170920266.000000
12M 2013,613100537369.000000,482080934947.000000,105049286993.000000,406252114.000000,,25564063315.000000,613100537369.000000,-446199625664.000000,-269343010879.000000,-108242741382.000000,-2935696858.000000,-65678176545.000000,-446199625664.000000,166900911705.000000,14263372198.000000,2614504080.000000,11648868118.000000,14263372198.000000,181164283903.000000,-45491713563.000000,-46238222000.000000,746508437.000000,,-45491713563.000000,135672570340.000000,2180621577.000000,2180621577.000000,2180621577.000000,137853191917.000000,135672570340.000000,135672570340.000000,,135672570340.000000,137853191917.000000,137853191917.000000,,137853191917.000000
12M 2014,590617440432.000000,469269173500.000000,92056137325.000000,,203840000.000000,29088289607.000000,590617440432.000000,-452021630870.000000,-268845097313.000000,-122855076039.000000,-1509430208.000000,-58812027310.000000,-452021630870.000000,138595809562.000000,9829368765.000000,-848888748.000000,10678257513.000000,9829368765.000000,148425178327.000000,-37570245000.000000,,,,-37570245000.000000,110854933327.000000,-10748085245.000000,-10748085245.000000,-10748085245.000000,100106848082.000000,110854933327.000000,110854933327.000000,,110854933327.000000,100106848082.000000,100106848082.000000,,100106848082.000000
12M 2015,533150000000.000000,415935000000.000000,88063000000.000000,,193000000.000000,28959000000.000000,533150000000.000000,-464538000000.000000,-257845000000.000000,-118550000000.000000,-1329000000.000000,-86814000000.000000,-464538000000.000000,68612000000.000000,14367000000.000000,-1148000000.000000,15515000000.000000,14367000000.000000,82979000000.000000,-21005000000.000000,,,,-21005000000.000000,61974000000.000000,13553000000.000000,13553000000.000000,13553000000.000000,75527000000.000000,61974000000.000000,61974000000.000000,,61974000000.000000,75527000000.000000,75527000000.000000,,75527000000.000000
12M 2016,479074000000.000000,341630000000.000000,102818000000.000000,1186000000.000000,,33440000000.000000,479074000000.000000,-438420000000.000000,-234250000000.000000,-133900000000.000000,-2179000000.000000,-68091000000.000000,-438420000000.000000,40654000000.000000,31728000000.000000,1140000000.000000,30588000000.000000,31728000000.000000,72382000000.000000,-18961000000.000000,,,,-18961000000.000000,53421000000.000000,-6328000000.000000,-6328000000.000000,-6328000000.000000,47093000000.000000,53421000000.000000,53421000000.000000,,53421000000.000000,47093000000.000000,47093000000.000000,,47093000000.000000
12M 2017,664294000000.000000,298207000000.000000,331050000000.000000,1719000000.000000,,33318000000.000000,664294000000.000000,-622856000000.000000,-340110000000.000000,-186169000000.000000,-5665000000.000000,-90912000000.000000,-622856000000.000000,41438000000.000000,46882000000.000000,408000000.000000,46474000000.000000,46882000000.000000,88320000000.000000,-21887000000.000000,,,,-21887000000.000000,66433000000.000000,-11463000000.000000,-11463000000.000000,-11463000000.000000,54970000000.000000,66433000000.000000,66433000000.000000,,66433000000.000000,54970000000.000000,54970000000.000000,,54970000000.000000
