Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Adjustment,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Adjustment,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,24150155476.000000,137766322821.000000,125521766012.000000,12244556809.000000,137766322821.000000,33484339.000000,33484339.000000,,33484339.000000,75500000000.000000,163705165239.000000,61187182287.000000,462342310162.000000,,,,,,152340321566.000000,,,38172249587.000000,190512571153.000000,,652854881315.000000,,,512253059743.000000,404905505045.000000,,85029655321.000000,8478527745.000000,93508183066.000000,,,,,41590418.000000,1477039737.000000,,11695998387.000000,624743090.000000,,512253059743.000000,32265753080.000000,,27869757178.000000,228513274.000000,28098270452.000000,2402550693.000000,1764931935.000000,32265753080.000000,544518812823.000000,,,10001000000.000000,,98802826764.000000,,-467758272.000000,108336068492.000000,652854881315.000000,100010.000000
12M 2019,,,63248193176.000000,51758223262.000000,33796043.000000,51724427219.000000,51758223262.000000,600900000.000000,600900000.000000,,600900000.000000,,124580540259.000000,412847241201.000000,653035097898.000000,,,,,,104418203882.000000,,5320805327.000000,79840561579.000000,189579570788.000000,,842614668686.000000,,,644361821295.000000,298674406666.000000,,246011275464.000000,88858401463.000000,334869676927.000000,,,,,52427486.000000,2888738038.000000,,7537871439.000000,338700739.000000,,644361821295.000000,24739509305.000000,,20549187748.000000,9179361.000000,20558367109.000000,,4181142196.000000,24739509305.000000,669101330600.000000,,,133333350000.000000,65546938237.000000,-23562606393.000000,,-1804343758.000000,173513338086.000000,842614668686.000000,1333333500.000000
12M 2020,,,1832772948.000000,,,,,503510119.000000,385825791.000000,117684328.000000,503510119.000000,,151264544790.000000,63046454649.000000,216647282506.000000,,36489967082.000000,125041403961.000000,125041403961.000000,125041403961.000000,93263904990.000000,57840000000.000000,21896530866.000000,143852311922.000000,478384118821.000000,,695031401327.000000,,,596638125428.000000,288848992684.000000,,245273931114.000000,45641775807.000000,290915706921.000000,,5672079390.000000,5874900000.000000,11546979390.000000,94661831.000000,4766784602.000000,,465000000.000000,,,596638125428.000000,37514609261.000000,,33143519009.000000,,33143519009.000000,,4371090252.000000,37514609261.000000,634152734689.000000,,,133333350000.000000,65546938237.000000,-136307897666.000000,608030.000000,-1694331963.000000,60878666638.000000,695031401327.000000,1333333500.000000
12M 2022,,,393235227.000000,10401504959.000000,,10401504959.000000,10401504959.000000,3946670540.000000,1080496415.000000,2866174125.000000,3946670540.000000,,145575511985.000000,47831618319.000000,208148541030.000000,,6744724249.000000,,,,126608549613.000000,65288563446.000000,45401761751.000000,219848328139.000000,463891927198.000000,,672040468228.000000,,,300097178685.000000,391997474.000000,,226047277105.000000,10589337549.000000,236636614654.000000,,5924989034.000000,30785989916.000000,36710978950.000000,20541153755.000000,5816433852.000000,,,,,300097178685.000000,35116915574.000000,33062752722.000000,,,33062752722.000000,,2054162852.000000,35116915574.000000,335214094259.000000,391605477023.000000,,137518153500.000000,76427414737.000000,-272047729582.000000,4481674702.000000,-1158616411.000000,-54779103054.000000,672040468228.000000,1375181505.000000
12M 2023,,,783696037.000000,10520694059.000000,44189100.000000,10476504959.000000,10520694059.000000,3837982540.000000,969796415.000000,2868186125.000000,3837982540.000000,,155631219700.000000,47695816624.000000,218469408960.000000,,6744724249.000000,,,,109013303044.000000,65861655573.000000,61212528712.000000,222678046053.000000,465510257631.000000,-28000000.000000,683951666591.000000,,,782397444998.000000,453618909858.000000,,240233582659.000000,9089337549.000000,249322920208.000000,,7924989034.000000,43420287359.000000,51345276393.000000,20863012536.000000,6579024796.000000,,,,668301207.000000,782397444998.000000,40280409669.000000,38113210578.000000,,,38113210578.000000,,2167199091.000000,40280409669.000000,822677854667.000000,,,137518153500.000000,76427414737.000000,-355273614247.000000,3515763133.000000,-913905199.000000,-138726188076.000000,683951666591.000000,1375181505.000000
