Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,583784530048.000000,-516315215852.000000,67469314196.000000,-10893536006.000000,-2949210167.000000,-7944325839.000000,-10893536006.000000,56575778190.000000,-20346253895.000000,1437193968.000000,-17796254809.000000,-3732742873.000000,-254450181.000000,-20346253895.000000,36229524295.000000,-8953039662.000000,27276484633.000000,121526736.000000,27398011369.000000,27276484633.000000,27276484633.000000,,,27276484633.000000,27398011369.000000,27398011369.000000,,27398011369.000000
12M 2019,452121667986.000000,-452589993999.000000,-468326013.000000,-22085193154.000000,-2103133427.000000,-19982059727.000000,-22085193154.000000,-22553519167.000000,-12090741514.000000,1924679900.000000,-16232973482.000000,3367601779.000000,-1150049711.000000,-12090741514.000000,-34644260681.000000,7277827524.000000,-27366433157.000000,-1336585486.000000,-28703018643.000000,-27366433157.000000,-27366433157.000000,,,-27366433157.000000,-28703018643.000000,-28703018643.000000,,-28703018643.000000
12M 2020,136314862186.000000,-135247416183.000000,1067446003.000000,-25655416843.000000,-1395279117.000000,-24260137726.000000,-25655416843.000000,-24587970840.000000,-89139686564.000000,2409749439.000000,-20924877207.000000,-27565402806.000000,-43059155990.000000,-89139686564.000000,-113727657404.000000,14979839119.000000,-98747818285.000000,110011795.000000,-98637806490.000000,-98747818285.000000,-98747801315.000000,-16970.000000,,-98747818285.000000,-98637806490.000000,-98637789520.000000,-16970.000000,-98637806490.000000
