Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Usaha,Pembayaran Beban Keuangan,Penerimaan Bunga,Pembayaran Pajak Penghasilan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Laba (Rugi) Atas Penjualan Aset Tetap,Penambahan Uang Muka Pembelian,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Setoran Modal Saham,Pembayaran Biaya Emisi Saham,Penerimaan Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Penjualan Saham,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Penurunan Kas Dibatasi Penggunannya,Pembayaran Utang Sewa Pembiayaan,Penambahan Utang Pihak Berelasi,Penambahan Utang Pihak Ketiga,Pengurangan/(Penambahan) Piutang Pihak Berelasi,Pengurangan/(Penambahan) Utang Pihak Berelasi,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2018,-25589655586.000000,476414400187.000000,-448315116284.000000,-14734248457.000000,-11413577864.000000,-17578615012.000000,1437193968.000000,-11399692124.000000,,-25589655586.000000,-37171410528.000000,-37171410528.000000,,,,-37171410528.000000,6127848868.000000,,,245807140048.000000,-184663985920.000000,,29458306910.000000,-8288929193.000000,,-684682977.000000,,,-75500000000.000000,,,6127848868.000000,,-56633217246.000000,81469749860.000000,-686377138.000000,24150155476.000000
12M 2019,-43887306422.000000,538129767545.000000,-497501461416.000000,-23203286552.000000,-21799724898.000000,-16180872348.000000,1924679900.000000,-25256408653.000000,,-43887306422.000000,-11862031710.000000,-11862031710.000000,,,,-11862031710.000000,91479774053.000000,100000050000.000000,-4927209313.000000,129243692449.000000,-235474790828.000000,,,-11478696378.000000,39122104387.000000,-505376264.000000,,,75500000000.000000,,,91479774053.000000,,35730435921.000000,24150155476.000000,3367601779.000000,63248193176.000000
12M 2020,8187246607.000000,105943178036.000000,-59143246322.000000,-17715461253.000000,-6335391437.000000,-11865545946.000000,2409749439.000000,-5106035910.000000,,8187246607.000000,-62528523020.000000,-376295125.000000,-3155165395.000000,2937500.000000,-59000000000.000000,-62528523020.000000,20491258991.000000,,-364500000.000000,223343041896.000000,-211628126808.000000,,,-3511275997.000000,13000000000.000000,-347880100.000000,,,,,,20491258991.000000,,-33850017422.000000,63248193176.000000,-27565402806.000000,1832772948.000000
