Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Beban Operasional Dan Beban Lainnya,Pembayaran (Penerimaan) Pajak,Penerimaan Penghasilan Bunga,Pembayaran Beban Keuangan,Penerimaan (Pembayaran) Lainnya - Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Pembayaran Untuk Perolehan Aset Non Keuangan Lainnya,Penambahan (Penerimaan) Piutang Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Pembayaran) Utang Bank,Penambahan (Pembayaran) Utang Pembiayaan,Pembayaran Utang Lain-Lain Pihak Ketiga,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Penambahan Piutang Pihak Berelasi,Penerimaan Dari Penerbitan Saham Biasa,Pembayaran Biaya Emisi Saham,Pembayaran Dividen Tunai Kepada Pemilik Entitas Induk,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-7964408520.000000,630242135008.000000,-581202680107.000000,-12014018887.000000,-38371293805.000000,-259125040.000000,433718434.000000,-8220025516.000000,1426881393.000000,-7964408520.000000,-14586675065.000000,,-7998737938.000000,-288000000.000000,,-6299937127.000000,-14586675065.000000,-1218719500.000000,-1553563524.000000,334844024.000000,,,,,,,,-1218719500.000000,,-23769803085.000000,7517674957.000000,36914604924.000000,20662476796.000000
12M 2022,2785852087.000000,612651040671.000000,-555748744945.000000,-9237124726.000000,-31871534722.000000,-2881396209.000000,214049188.000000,-10511362888.000000,170925718.000000,2785852087.000000,6191021680.000000,435822718.000000,-3167549615.000000,-260000000.000000,,9182748577.000000,6191021680.000000,-4899303040.000000,-45834499027.000000,-902944411.000000,-13750000000.000000,,,,58500000000.000000,-2911859602.000000,,-4899303040.000000,,4077570727.000000,-598996455.000000,20662476796.000000,24141051068.000000
12M 2023,-15657629899.000000,550374209923.000000,-519404530133.000000,-10335278143.000000,-27399580075.000000,-3482328469.000000,100771827.000000,-5816647007.000000,305752178.000000,-15657629899.000000,-4213062965.000000,498198199.000000,-4198261164.000000,-513000000.000000,,,-4213062965.000000,13957545120.000000,19720239628.000000,-957694508.000000,,,-2855000000.000000,,,,-1950000000.000000,13957545120.000000,,-5913147744.000000,236231952.000000,24141051068.000000,18464135276.000000
12M 2024,116405533404.000000,626288959167.000000,-458434532869.000000,-10795763787.000000,-26824196002.000000,-8277138854.000000,118294625.000000,-5744344054.000000,74255178.000000,116405533404.000000,-4000408230.000000,176576577.000000,-4162984807.000000,-14000000.000000,,,-4000408230.000000,-85344781358.000000,-80265586239.000000,-1009195119.000000,,,-170000000.000000,,,,-3900000000.000000,-85344781358.000000,,27060343816.000000,-564139796.000000,18464135276.000000,44960339296.000000
