Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,0.00 B,9333.81,0.00,0.00,27.63 B,2.52%,6.42%,24.16%,2.13
12M 2022,1.95 B,5.33,41.28,0.75,33.59 B,3.29%,5.80%,13.96%,2.25
12M 2023,1.95 B,9.02,31.71,0.93,36.74 B,5.07%,9.08%,14.18%,4.91
12M 2024,1.95 B,14.88,17.61,0.87,51.31 B,9.82%,13.23%,19.52%,7.52
