Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,658766931935.000000,-597330545706.000000,61436386229.000000,-43946562342.000000,,-33098768801.000000,-18664077129.000000,7816283588.000000,-43946562342.000000,17489823887.000000,-7786307082.000000,433718434.000000,-8220025516.000000,,,-7786307082.000000,9703516805.000000,-2423145315.000000,,,,-2423145315.000000,7280371490.000000,,7280371490.000000,70595833.000000,7350967323.000000,7280371490.000000,7280371490.000000,,7280371490.000000,7350967323.000000,7350967323.000000,,7350967323.000000
12M 2022,571159213866.000000,-505315133322.000000,65844080544.000000,-42168958142.000000,,-28713560866.000000,-20061370835.000000,6605973559.000000,-42168958142.000000,23675122402.000000,-10297313700.000000,214049188.000000,-10511362888.000000,,,-10297313700.000000,13377808702.000000,-2980077422.000000,,,,-2980077422.000000,10397731280.000000,,10397731280.000000,38030709.000000,10435761989.000000,10397731280.000000,10397731280.000000,,10397731280.000000,10435761989.000000,10435761989.000000,,10435761989.000000
12M 2023,598116062466.000000,-529557303767.000000,68558758699.000000,-40016653451.000000,,-15295472931.000000,-24448625561.000000,-272554959.000000,-40016653451.000000,28542105248.000000,-5715875180.000000,100771827.000000,-5816647007.000000,,,-5715875180.000000,22826230068.000000,-5245605596.000000,,,,-5245605596.000000,17580624472.000000,,17580624472.000000,-1270982645.000000,16309641827.000000,17580624472.000000,17580624472.000000,,17580624472.000000,16309641827.000000,16309641827.000000,,16309641827.000000
12M 2024,589819644023.000000,-501051086209.000000,88768557814.000000,-45583180428.000000,,-25218897369.000000,-24408183968.000000,4043900909.000000,-45583180428.000000,43185377386.000000,-5626049429.000000,118294625.000000,-5744344054.000000,,,-5626049429.000000,37559327957.000000,-8544893250.000000,,,,-8544893250.000000,29014434707.000000,,29014434707.000000,399526702.000000,29413961409.000000,29014434707.000000,29014434707.000000,,29014434707.000000,29413961409.000000,29413961409.000000,,29413961409.000000
