Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Utang Dari Pihak Berelasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,20662476796.000000,77833187291.000000,77833187291.000000,,77833187291.000000,343246770.000000,,343246770.000000,343246770.000000,101266287741.000000,11189645783.000000,211294844381.000000,,9182748577.000000,9182748577.000000,,9182748577.000000,67859556166.000000,441275766.000000,658200000.000000,78141780509.000000,289436624890.000000,,,144634170598.000000,110590905526.000000,,17208781279.000000,3969063769.000000,21177845048.000000,,,,,2490144619.000000,3717331675.000000,,2375000000.000000,60184000.000000,,2435184000.000000,4222759730.000000,144634170598.000000,31473848414.000000,,3300000000.000000,769992143.000000,4069992143.000000,,15015000000.000000,10600000000.000000,25615000000.000000,1788856271.000000,31473848414.000000,176108019012.000000,,78000000000.000000,,32532819022.000000,15600000000.000000,16932819022.000000,32532819022.000000,2795786856.000000,113328605878.000000,289436624890.000000,780000.000000
12M 2022,,,24141051068.000000,51542179050.000000,51542179050.000000,,51542179050.000000,621225847.000000,,621225847.000000,621225847.000000,163848436322.000000,12555366014.000000,252708258301.000000,,,,,,62673450121.000000,476646314.000000,625298611.000000,63775395046.000000,316483653347.000000,,,122165956124.000000,67131406499.000000,,24704531835.000000,,24704531835.000000,,,,,2509689247.000000,4855678925.000000,,2950000000.000000,808013990.000000,,3758013990.000000,19206635628.000000,122165956124.000000,14965188958.000000,,350000000.000000,583614802.000000,933614802.000000,,,11865000000.000000,11865000000.000000,2166574156.000000,14965188958.000000,137131145082.000000,,97500000000.000000,,42930550302.000000,15600000000.000000,27330550302.000000,42930550302.000000,38921957963.000000,179352508265.000000,316483653347.000000,1950000000.000000
12M 2023,,,18464135276.000000,99850970767.000000,99850970767.000000,,99850970767.000000,625308162.000000,,625308162.000000,625308162.000000,144487204403.000000,21010256024.000000,284437874632.000000,,,,,,60317729255.000000,1075229382.000000,701611111.000000,62094569748.000000,346532444380.000000,,,138229133581.000000,89801646127.000000,,17882867574.000000,,17882867574.000000,,,,,4373087393.000000,5076964431.000000,,350000000.000000,974563970.000000,,1324563970.000000,19770004086.000000,138229133581.000000,14591160707.000000,,,697325138.000000,697325138.000000,,,9010000000.000000,9010000000.000000,4883835569.000000,14591160707.000000,152820294288.000000,,97500000000.000000,,58561174774.000000,19500000000.000000,39061174774.000000,58561174774.000000,37650975318.000000,193712150092.000000,346532444380.000000,1950000000.000000
12M 2024,,,44960339296.000000,66270545728.000000,66270545728.000000,,66270545728.000000,941666414.000000,,941666414.000000,941666414.000000,116050766667.000000,8890358324.000000,237113676429.000000,,,,,,56874283597.000000,1255344574.000000,295761211.000000,58425389382.000000,295539065811.000000,,,61398742675.000000,9886059888.000000,,16754126200.000000,1404719077.000000,18158845277.000000,,,,,5114481482.000000,4964817390.000000,,,614145680.000000,,614145680.000000,22660392958.000000,61398742675.000000,14914211635.000000,,,369598699.000000,369598699.000000,,,8840000000.000000,8840000000.000000,5704612936.000000,14914211635.000000,76312954310.000000,,97500000000.000000,,83675609481.000000,19500000000.000000,64175609481.000000,83675609481.000000,38050502020.000000,219226111501.000000,295539065811.000000,1950000000.000000
