Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,0.00,510.87,0.00,510.87,22 B,94 B,116 B,56 B,41 B
12M 2011,1.33,699.23,1.34,693.89,36 B,77 B,114 B,62 B,79 B
12M 2012,1.03,815.57,1.04,809.87,78 B,156 B,235 B,206 B,42 B
12M 2013,0.86,1087.23,0.87,1080.04,214 B,55 B,269 B,228 B,(99 B)
12M 2014,0.98,972.73,0.98,965.40,109 B,103 B,212 B,207 B,(78 B)
12M 2015,1.11,758.58,1.13,750.45,147 B,145 B,292 B,289 B,(168 B)
12M 2016,1.97,406.81,2.01,398.89,204 B,31 B,234 B,227 B,(194 B)
12M 2017,1.50,400.24,1.53,392.26,65 B,139 B,203 B,198 B,(54 B)
12M 2018,0.74,431.90,0.76,423.36,59 B,146 B,204 B,196 B,(24 B)
12M 2019,0.46,419.83,0.47,411.64,53 B,117 B,170 B,161 B,(3 B)
12M 2020,0.38,426.51,0.38,418.20,21 B,148 B,168 B,164 B,59 B
12M 2021,0.86,436.29,0.88,427.87,9 B,175 B,183 B,167 B,85 B
12M 2022,0.87,553.79,0.88,544.60,6 B,75 B,81 B,67 B,114 B
12M 2023,0.58,579.59,0.59,570.49,,,,(37 B),116 B
12M 2024,0.38,611.21,0.38,601.69,,,,(8 B),107 B
