Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Kontraktor Dan Pemasok,Pembayaran Kepada Direksi Dan Karyawan,Penerimaan Dari Pencairan Deposito Berjangka Yang Dibatasi Penggunaannya,Pembayaran Untuk Pajak Penghasilan Badan,Pencairan/ (Penempatan) Deposito Berjangka Yang Dibatasi Penggunaannya,Penerimaan Restitusi Pajak,Penerimaan Bunga,Pembayaran Bunga Pinjaman,Pencairan Kas Yang Dibatasi Penggunannya,Penerimaan (Pengeluaran) Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Laba (Rugi) Atas Penjualan Aset Tetap,Pembelian Anak Perusahaan,Penerimaan Uang Muka Penjualan Tanah,Perolehan Kas Dari Pelepasan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Saham Perdana,Perolehan Kas Dari Pinjaman Bank Jangka Pendek,Perolehan Kas Dari Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang Dipercepat,Pembayaran Pinjaman Pihak Berelasi,Pembayaran Program Alokasi Saham Manajemen Dan Karyawan (Mesa),Pembayaran Bunga Pinjaman,Penerimaan Dari Penerbitan Saham Baru,Pembayaran Emisi Saham,Pembayaran Dividen,Pinjaman Dari Pemegang Saham,Perolehan Dari Pihak Berelasi,Adjustment,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2010,517118.000000,40479271.000000,-36142247.000000,-3045987.000000,1001083.000000,-942733.000000,-401872.000000,,32884.000000,,,-463281.000000,,517118.000000,-14730035.000000,-14739350.000000,,,,9315.000000,-14730035.000000,17593281.000000,,,12850113.000000,,,,,,-116832.000000,4860000.000000,,,,,,,17593281.000000,3380364.000000,3185696.000000,,,6566060.000000
12M 2011,5665924.000000,43325782.000000,-34507141.000000,-2736861.000000,,-898397.000000,14000.000000,,94746.000000,,,373795.000000,,5665924.000000,-12245861.000000,-10843895.000000,,-1401966.000000,,,-12245861.000000,5862101.000000,11133247.000000,,8486129.000000,,-8809574.000000,,,-925901.000000,-866324.000000,,-655476.000000,-2500000.000000,,,,,5862101.000000,-717836.000000,6566060.000000,-109852.000000,,5738372.000000
12M 2012,3240338.000000,39708772.000000,-31653676.000000,-3281569.000000,,-717989.000000,-705117.000000,274595.000000,,-595001.000000,,210323.000000,,3240338.000000,-16955007.000000,-16955007.000000,,,,,-16955007.000000,11072476.000000,,,15684548.000000,,-4000000.000000,,,,,,,-612072.000000,,,,,11072476.000000,-2642193.000000,5738372.000000,-156199.000000,,2939980.000000
12M 2013,11396207.000000,43190728.000000,-26294650.000000,-3710861.000000,,-736425.000000,208988.000000,,,-1350570.000000,,88997.000000,,11396207.000000,-7838157.000000,-7838157.000000,,,,,-7838157.000000,-2999024.000000,,,5896296.000000,,-8093926.000000,,,,,,,-801394.000000,,,,,-2999024.000000,559026.000000,2939980.000000,-125760.000000,,3373246.000000
12M 2014,2278289.000000,31278781.000000,-24025871.000000,-3106509.000000,,-660860.000000,172000.000000,,,-1311165.000000,,-68087.000000,,2278289.000000,-127302.000000,-627302.000000,,,500000.000000,,-127302.000000,-5126821.000000,,,11042653.000000,,-16082571.000000,,,,,,,-86903.000000,,,,,-5126821.000000,-2975834.000000,3373246.000000,4050.000000,,401462.000000
12M 2015,-3929156.000000,9570204.000000,-10353631.000000,-2408614.000000,,-20444.000000,340000.000000,,,-1228859.000000,,172188.000000,,-3929156.000000,-288221.000000,-288221.000000,,,,,-288221.000000,4103304.000000,,,7341602.000000,,-8238298.000000,,,,,,,,,5000000.000000,,,4103304.000000,-114073.000000,401462.000000,-12838.000000,,274551.000000
12M 2016,734948.000000,10803831.000000,-7347596.000000,-1832242.000000,,-93720.000000,,,,-1263665.000000,,468340.000000,,734948.000000,570935.000000,-5101.000000,,,,576036.000000,570935.000000,-1054990.000000,,,3309617.000000,,-4364607.000000,,,,,,,,,,,,-1054990.000000,250893.000000,274551.000000,551.000000,,525995.000000
12M 2017,4132334.000000,12339057.000000,-5684857.000000,-1306974.000000,,-380671.000000,,,,-835317.000000,,1096.000000,,4132334.000000,-8504.000000,-8504.000000,,,,,-8504.000000,-4210476.000000,,,1882409.000000,,-6092885.000000,,,,,,,,,,,,-4210476.000000,-86646.000000,525995.000000,-1394.000000,,437955.000000
12M 2018,3362124.000000,11753298.000000,-6104906.000000,-1157236.000000,,-432987.000000,,,,-822666.000000,,126621.000000,,3362124.000000,-16798.000000,-16798.000000,,,,,-16798.000000,-3194113.000000,,,,,-3194113.000000,,,,,,,,,,,,-3194113.000000,151213.000000,437955.000000,503.000000,,589671.000000
12M 2019,4032521.000000,12720549.000000,-6896262.000000,-1154035.000000,,-50241.000000,,,,-349016.000000,,-238474.000000,,4032521.000000,-63315.000000,-98242.000000,34927.000000,,,,-63315.000000,-3972295.000000,,,,,-3972295.000000,,,,,,,,,,,,-3972295.000000,-3089.000000,589671.000000,2778.000000,,589360.000000
12M 2020,2094175.000000,11554029.000000,-7731065.000000,-1116283.000000,,-354394.000000,,,,-134388.000000,,-123724.000000,,2094175.000000,-16094.000000,-16094.000000,,,,,-16094.000000,-2349929.000000,,,,,-2349929.000000,,,,,,,,,,,,-2349929.000000,-271848.000000,589360.000000,-3108.000000,,314404.000000
