Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Pemasok,Direksi Dan Karyawan,Total Pembayaran Kas Kepada:,Penerimaan Kas Dari Penghasilan Bunga,Pembayaran Beban Bunga,Pembayaran Pajak Penghasilan,Penerimaan (Pembayaran) Dari Lain-Lain,Penerimaan Klaim Asuransi,Penambahan Investasi Saham,Pelepasan Investasi Saham,Penambahan Investasi Reksadana,Pelepasan Investasi Reksadana,Penerimaan Dari Tagihan Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Investasi Jangka Panjang,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Penjualan Aset Tetap,Perolehan Aset Tak Berwujud,Penempatan Margin Deposit,Penempatan Investasi Tersedia Untuk Dijual,Pengurangan Aset Lain-Lain,Penambahan Aset Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penarikan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Penerimaan Dari Hutang Bank,Pembayaran Dari Hutang Bank,Penarikan Pinjaman Jangka Panjang Dana Syirkah Temporer,Pembayaran Pinjaman Jangka Panjang Dana Syirkah Temporer,Pembayaran Dividen,Pembayaran Bunga,Penerimaan Dari Surat Berharga Jangka Menengah,Pembayaran Untuk Surat Berharga Jangka Menengah,Penerimaan Dari Liabilitas Sewa,Pembayaran Untuk Liabilitas Sewa,Pembayaran Hutang Aset Pembiayaan,Pembayaran Liabilitas Jangka Panjang Lainnya,Pelunasan Pinjaman Jangka Panjang Kepada Dbs Bank Ltd,Penerimaan Dari Utang Aset Pembiayaan,Perolehan Emisi Surat Berharga Jangka Menengah,Pembayaran Emisi Surat Berharga Jangka Menengah,Pembayaran Hutang Impor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,22678555869.000000,1128432844990.000000,,-1007807788009.000000,-48025096895.000000,-1055832884904.000000,49995398.000000,-45081504564.000000,-5340304519.000000,450409468.000000,,,,,,,22678555869.000000,-9589680311.000000,,,-9589680311.000000,,,,,,,-9589680311.000000,-10238845197.000000,664142084392.000000,-674380929589.000000,,,,,,,,,,,,,,,,,,-10238845197.000000,2850030361.000000,5550451128.000000,-717264825.000000,7683216664.000000
12M 2009,79331441074.000000,1065691116663.000000,,-859685604031.000000,-65634523887.000000,-925320127918.000000,38434464.000000,-56742934900.000000,-4618984155.000000,283936920.000000,,,,,,,79331441074.000000,-29125825995.000000,,,-32785825995.000000,3660000000.000000,,,,,,-29125825995.000000,-50160057042.000000,633670443379.000000,-683830500421.000000,,,,,,,,,,,,,,,,,,-50160057042.000000,45558037.000000,7683216664.000000,-336018283.000000,7392756418.000000
12M 2010,82984481334.000000,1250649080491.000000,,-1029906503853.000000,-76521590316.000000,-1106428094169.000000,46571767.000000,-44937540513.000000,-21044528636.000000,4698992394.000000,,,,,,,82984481334.000000,-30332142388.000000,,,-30582002388.000000,249860000.000000,,,,,,-30332142388.000000,-54039692896.000000,513701031559.000000,-567740724455.000000,,,,,,,,,,,,,,,,,,-54039692896.000000,-1387353950.000000,7392756418.000000,326918371.000000,6332320839.000000
12M 2011,112526857998.000000,1258149819800.000000,,-1006836658955.000000,-84984344769.000000,-1091821003724.000000,181128832.000000,-36895394954.000000,-17275542846.000000,187850890.000000,,,,,,,112526857998.000000,-60580839718.000000,,,-60757729718.000000,176890000.000000,,,,,,-60580839718.000000,-28776649572.000000,1263001463413.000000,-1291778112985.000000,,,,,,,,,,,,,,,,,,-28776649572.000000,23169368708.000000,6332320839.000000,211712525.000000,29713402072.000000
12M 2012,27880708966.000000,1396296615987.000000,,-1217526407606.000000,-100230532152.000000,-1317756939758.000000,574655094.000000,-41702548134.000000,-10248624841.000000,717550618.000000,,,,,,,27880708966.000000,-30826662293.000000,-1241410666.000000,,-34585251627.000000,5000000000.000000,,,,,,-30826662293.000000,14158063967.000000,1440494210800.000000,-1413185831647.000000,,,,,-11901765186.000000,,,,,,-1000000000.000000,-248550000.000000,,,,,,14158063967.000000,11212110640.000000,29713402072.000000,-330879906.000000,40594632806.000000
12M 2013,73269743170.000000,1519457457613.000000,,-1266116637896.000000,-128863209689.000000,-1394979847585.000000,619232651.000000,-42869202789.000000,-10721857133.000000,155944679.000000,,,,,,1608015734.000000,73269743170.000000,-48988867780.000000,-1269150666.000000,-658206000.000000,-48648011114.000000,1586500000.000000,,,,,,-48988867780.000000,-44845115489.000000,1576630141036.000000,-1621084485161.000000,2535312000.000000,,,,,,,,,,-1719619364.000000,-1206464000.000000,,,,,,-44845115489.000000,-20564240099.000000,40594632806.000000,256872716.000000,20287265423.000000
12M 2014,32968578086.000000,1710661753873.000000,,-1454217530572.000000,-149820472689.000000,-1604038003261.000000,835286561.000000,-60076694076.000000,-14910171270.000000,487389509.000000,,,,,,9016750.000000,32968578086.000000,-107094543397.000000,-1459462616.000000,-777883898.000000,-78549833935.000000,130000000.000000,,-26437362948.000000,,,,-107094543397.000000,101754958522.000000,1721765921226.000000,-1726259988043.000000,228084274374.000000,-119026000273.000000,,,,,,,,,-1657728762.000000,-1151520000.000000,,,,,,101754958522.000000,27628993211.000000,20287265423.000000,9664544.000000,47925923178.000000
12M 2015,85999470922.000000,1797782909986.000000,,-1464879607729.000000,-178921750316.000000,-1643801358045.000000,1566342784.000000,-53917565333.000000,-26541449538.000000,209232980.000000,,,,,,10701358088.000000,85999470922.000000,-36298467568.000000,-1490848100.000000,,-59008405821.000000,,,24200786353.000000,,,,-36298467568.000000,-53849127253.000000,2022933398449.000000,-2043205324303.000000,262215217806.000000,-292874108300.000000,,,,,,,,,-1840429905.000000,-1077881000.000000,,,,,,-53849127253.000000,-4148123899.000000,47925923178.000000,2481114082.000000,46258913361.000000
12M 2016,266413599145.000000,2159249877402.000000,,-1626287715249.000000,-194090474915.000000,-1820378190164.000000,3142877364.000000,-74262807759.000000,-11522575000.000000,702596776.000000,,,,,,9481820526.000000,266413599145.000000,-61585931869.000000,-1497109097.000000,,-63410551171.000000,,,3321728399.000000,,,,-61585931869.000000,-104134350332.000000,2912553121963.000000,-3143149138068.000000,279818935422.000000,-250015430070.000000,,,,,,,,,-32221969.000000,-36602767610.000000,,,133293150000.000000,,,-104134350332.000000,100693316944.000000,46258913361.000000,8288986.000000,146960519291.000000
12M 2017,131771691225.000000,2278653553346.000000,,-1883013631986.000000,-216585253308.000000,-2099598885294.000000,6886383700.000000,-53933985304.000000,-13499298212.000000,945603529.000000,,,,,,12318319460.000000,131771691225.000000,-34753352598.000000,-1499414079.000000,,-35399013837.000000,58000000.000000,,2087075318.000000,,,,-34753352598.000000,-123453096169.000000,3191365603709.000000,-3274429430670.000000,290204692411.000000,-285598122877.000000,,,,-44995838742.000000,,,,,,,,,,,,-123453096169.000000,-26434757542.000000,146960519291.000000,16947145.000000,120542708894.000000
