Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1037542044134.000000,-887967092511.000000,149574951623.000000,-51642854300.000000,-33697672229.000000,-17945182071.000000,-51642854300.000000,97932097323.000000,-107104947442.000000,-49276571122.000000,,49995398.000000,-57928015277.000000,49643559.000000,-107104947442.000000,-9172850119.000000,-5129372679.000000,,,-5129372679.000000,-14302222798.000000,,,-14302222798.000000,-14302222798.000000,,-14302222798.000000,,,,
12M 2009,1019725867092.000000,-900409606579.000000,119316260513.000000,-55169369472.000000,-35668939485.000000,-19500429987.000000,-55169369472.000000,64146891041.000000,8963726739.000000,60180365391.000000,-500121587.000000,38434464.000000,-50758525731.000000,3574202.000000,8963726739.000000,73110617780.000000,-46178143006.000000,,,-46178143006.000000,26932474774.000000,,,26932474774.000000,26932474774.000000,,26932474774.000000,,,,
12M 2010,1162609336847.000000,-989191116132.000000,173418220715.000000,-63733302841.000000,-41591546238.000000,-22141756603.000000,-63733302841.000000,109684917874.000000,-25343671556.000000,14313066569.000000,124402500.000000,46571767.000000,-40146541519.000000,318829127.000000,-25343671556.000000,84341246318.000000,-54720412174.000000,,,-54720412174.000000,29620834144.000000,,,29620834144.000000,29620834144.000000,,29620834144.000000,,,,
12M 2011,1189507920704.000000,-1023428959219.000000,166078961485.000000,-71521389921.000000,-44347481965.000000,-27173907956.000000,-71521389921.000000,94557571564.000000,-50140267093.000000,-7719679623.000000,,,-43067152253.000000,646564783.000000,-50140267093.000000,44417304471.000000,-11341314404.000000,,,-11341314404.000000,33075990067.000000,,33075990067.000000,33075990067.000000,33075990067.000000,,33075990067.000000,33075990067.000000,33075990067.000000,,33075990067.000000
12M 2012,1274793105314.000000,-1064171442690.000000,210621662624.000000,-80630080997.000000,-51669089121.000000,-28960991876.000000,-80630080997.000000,129991581627.000000,-76328555084.000000,-30075004554.000000,,,-47300718124.000000,1047167594.000000,-76328555084.000000,53663026543.000000,-13769975658.000000,,,-13769975658.000000,39893050885.000000,74302844.000000,39967353729.000000,39893050885.000000,39893050885.000000,,39893050885.000000,39967353729.000000,39967353729.000000,,39967353729.000000
12M 2013,1395838227179.000000,-1159018196804.000000,236820030375.000000,-99233819270.000000,-58917284494.000000,-40316534776.000000,-99233819270.000000,137586211105.000000,-169092219678.000000,-117018357116.000000,,,-53413758519.000000,1339895957.000000,-169092219678.000000,-31506008573.000000,7649495913.000000,,,7649495913.000000,-23856512660.000000,-101480442.000000,-23957993102.000000,-23856512660.000000,-23856512660.000000,,-23856512660.000000,-23957993102.000000,-23957993102.000000,,-23957993102.000000
12M 2014,1550810295608.000000,-1289878051706.000000,260932243902.000000,-119738081287.000000,-75873114443.000000,-43864966844.000000,-119738081287.000000,141194162615.000000,-75892887365.000000,-9659881328.000000,,,-67705278417.000000,1472272380.000000,-75892887365.000000,65301275250.000000,-16698553851.000000,,,-16698553851.000000,48602721399.000000,462763395.000000,49065484794.000000,48602721399.000000,48602721399.000000,,48602721399.000000,49065484794.000000,49065484794.000000,,49065484794.000000
12M 2015,1621516334166.000000,-1369699089062.000000,251817245104.000000,-134336667794.000000,-84030572413.000000,-50306095381.000000,-134336667794.000000,117480577310.000000,-174296425432.000000,-80761160142.000000,,,-95985121039.000000,2449855749.000000,-174296425432.000000,-56815848122.000000,14218505978.000000,,,14218505978.000000,-42597342144.000000,-507262364.000000,-43104604508.000000,-42597342144.000000,-42597342144.000000,,-42597342144.000000,-43104604508.000000,-43104604508.000000,,-43104604508.000000
12M 2016,1932435078255.000000,-1620898434904.000000,311536643351.000000,-139226027836.000000,-85685157166.000000,-53540870670.000000,-139226027836.000000,172310615515.000000,-60952120273.000000,25126905813.000000,,,-79797659019.000000,-6281367067.000000,-60952120273.000000,111358495242.000000,-30295064563.000000,,,-30295064563.000000,81063430679.000000,-3603719280.000000,77459711399.000000,81063430679.000000,81063430679.000000,,81063430679.000000,77459711399.000000,77459711399.000000,,77459711399.000000
12M 2017,2093137904266.000000,-1777790483983.000000,315347420283.000000,-142189107771.000000,-84628628494.000000,-57560479277.000000,-142189107771.000000,173158312512.000000,-51849377883.000000,-6675869358.000000,,,-55860722659.000000,10687214134.000000,-51849377883.000000,121308934629.000000,-29028817395.000000,,,-29028817395.000000,92280117234.000000,768666612.000000,93048783846.000000,92280117234.000000,92280117234.000000,,92280117234.000000,93048783846.000000,93048783846.000000,,93048783846.000000
12M 2018,2389268903462.000000,-2016338952379.000000,372929951083.000000,-162576715960.000000,-91129869306.000000,-71446846654.000000,-162576715960.000000,210353235123.000000,-100679917341.000000,-49724348787.000000,,,-54495878339.000000,3540309785.000000,-100679917341.000000,109673317782.000000,-27440595513.000000,,,-27440595513.000000,82232722269.000000,-797667996.000000,81435054273.000000,82232722269.000000,82232722269.000000,,82232722269.000000,81435054273.000000,81435054273.000000,,81435054273.000000
12M 2019,2514161429045.000000,-2139362218312.000000,374799210733.000000,-180031805855.000000,-104756600206.000000,-75275205649.000000,-180031805855.000000,194767404878.000000,-18127043754.000000,31024608635.000000,,,-48588991364.000000,-562661025.000000,-18127043754.000000,176640361124.000000,-45634690184.000000,,,-45634690184.000000,131005670940.000000,-8076756344.000000,122928914596.000000,131005670940.000000,131005670940.000000,,131005670940.000000,122928914596.000000,122928914596.000000,,122928914596.000000
12M 2020,2151494981968.000000,-1758714475191.000000,392780506777.000000,-161157283105.000000,-89519172577.000000,-71638110528.000000,-161157283105.000000,231623223672.000000,-36119785450.000000,-2217450190.000000,,,-38341710293.000000,4439375033.000000,-36119785450.000000,195503438222.000000,-32978787509.000000,,,-32978787509.000000,162524650713.000000,-8671186958.000000,153853463755.000000,162524650713.000000,162524650713.000000,,162524650713.000000,153853463755.000000,153853463755.000000,,153853463755.000000
12M 2021,2794452671851.000000,-2205296922973.000000,589155748878.000000,-180942404032.000000,-96932752356.000000,-84009651676.000000,-180942404032.000000,408213344846.000000,-30703718212.000000,335944541.000000,,,-33097538139.000000,2057875386.000000,-30703718212.000000,377509626634.000000,-83184066580.000000,-40583432813.000000,-42600633767.000000,-83184066580.000000,294325560054.000000,21474291603.000000,315799851657.000000,294325560054.000000,294325560054.000000,,294325560054.000000,315799851657.000000,315799851657.000000,,315799851657.000000
12M 2022,3138054094849.000000,-2419295659368.000000,718758435481.000000,-192276456859.000000,-110620978284.000000,-81655478575.000000,-192276456859.000000,526481978622.000000,-95036041466.000000,-65997170003.000000,,,-36697693993.000000,7658822530.000000,-95036041466.000000,431445937156.000000,-95307587662.000000,-57427465227.000000,-37880122435.000000,-95307587662.000000,336138349494.000000,-5323419553.000000,330814929941.000000,336138349494.000000,336138349494.000000,,336138349494.000000,330814929941.000000,330814929941.000000,,330814929941.000000
12M 2023,2658520983180.000000,-2187910796999.000000,470610186181.000000,-215546914508.000000,-120804390488.000000,-94742524020.000000,-215546914508.000000,255063271673.000000,-17214446686.000000,9086305251.000000,,,-37655236141.000000,11354484204.000000,-17214446686.000000,237848824987.000000,-59190483081.000000,-27947733512.000000,-31242749569.000000,-59190483081.000000,178658341906.000000,-5323419553.000000,173334922353.000000,178658341906.000000,178658341906.000000,,178658341906.000000,173334922353.000000,173334922353.000000,,173334922353.000000
12M 2024,2729636216867.000000,-2316787640177.000000,412848576690.000000,-217285164810.000000,-123035180733.000000,-94249984077.000000,-217285164810.000000,195563411880.000000,-61120384038.000000,-29451796829.000000,,,-38995900447.000000,7327313238.000000,-61120384038.000000,134443027842.000000,-29604034256.000000,-15109260951.000000,-14494773305.000000,-29604034256.000000,104838993586.000000,-1726998135.000000,103111995451.000000,104838993586.000000,104838993586.000000,,104838993586.000000,103111995451.000000,103111995451.000000,,103111995451.000000
