Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Jangka Panjang,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Surat Berharga Jangka Menengah,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Surat Berharga Jangka Menengah,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Dana Syirkah Temporer,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,7683216664.000000,,139977886006.000000,139977728631.000000,157375.000000,139977886006.000000,513704296.000000,252540057345.000000,5147378789.000000,405862243100.000000,,,76302881369.000000,1072579690895.000000,10156910382.000000,1159039482646.000000,1564901725746.000000,,,136022509928.000000,,,48902652861.000000,,48902652861.000000,146583682.000000,3429364681.000000,27897821662.000000,19737157533.000000,,,,,19737157533.000000,,35908929509.000000,136022509928.000000,767046931961.000000,758995051917.000000,,,,,758995051917.000000,,,8051880044.000000,767046931961.000000,903069441889.000000,,596818663200.000000,597819550.000000,64415801107.000000,,,64415801107.000000,,661832283857.000000,1564901725746.000000,1492046658.000000
12M 2009,,,7392756418.000000,,129536227133.000000,128903766434.000000,632460699.000000,129536227133.000000,102094470.000000,200416001262.000000,11343016623.000000,348790095906.000000,,,33664132681.000000,1037308665644.000000,12874596109.000000,1083847394434.000000,1432637490340.000000,,,251560663423.000000,,,22572875504.000000,,22572875504.000000,149407337.000000,5358238923.000000,17936158459.000000,204908575912.000000,,,,,204908575912.000000,,635407288.000000,251560663423.000000,492312068286.000000,482293883950.000000,,,,,482293883950.000000,,,10018184336.000000,492312068286.000000,743872731709.000000,,596818663200.000000,597819550.000000,91348275881.000000,,,91348275881.000000,,688764758631.000000,1432637490340.000000,1492046658.000000
12M 2010,,,6332320839.000000,,144491111007.000000,143723208631.000000,767902376.000000,144491111007.000000,296777527.000000,187723548359.000000,13247493940.000000,352091251672.000000,,,,1137942519760.000000,,1137942519760.000000,1490033771432.000000,,,90034509677.000000,,,26465590165.000000,,26465590165.000000,38667519.000000,8112504970.000000,9825359755.000000,44955000000.000000,,,,,44955000000.000000,,637387268.000000,90034509677.000000,681613668980.000000,666534957683.000000,,,,,666534957683.000000,2820985592.000000,,12257725705.000000,681613668980.000000,771648178657.000000,,596818663200.000000,597819550.000000,120969110025.000000,,,120969110025.000000,,718385592775.000000,1490033771432.000000,1492046658.000000
12M 2011,,,29713402072.000000,,183455540532.000000,183029518779.000000,426021753.000000,183455540532.000000,397472590.000000,147186584648.000000,10811332031.000000,371564331873.000000,,,,1172989827733.000000,7223247467.000000,1180213075200.000000,1551777407073.000000,,,304846562444.000000,,,38459607996.000000,,38459607996.000000,2886473931.000000,8702380037.000000,11199953586.000000,242990581471.000000,,,,,242990581471.000000,,607565423.000000,304846562444.000000,495469261787.000000,474486261832.000000,,,,,474486261832.000000,5870011496.000000,,15112988459.000000,495469261787.000000,800315824231.000000,,596818663200.000000,597819550.000000,154045100092.000000,1000000000.000000,153045100092.000000,154045100092.000000,,751461582842.000000,1551777407073.000000,1492046658.000000
12M 2012,,,40594632806.000000,,183834787595.000000,181730516894.000000,2104270701.000000,183834787595.000000,282478930.000000,249616587352.000000,8268349198.000000,482596835881.000000,,1340481124.000000,,1173192700077.000000,7223247467.000000,1181756428668.000000,1664353264549.000000,,,182354489018.000000,,,34097174671.000000,,34097174671.000000,,8215078960.000000,11584531589.000000,,125710000000.000000,,1196616185.000000,1169529000.000000,128076145185.000000,,381558613.000000,182354489018.000000,702506212224.000000,,669512774095.000000,,2803383815.000000,2856567000.000000,675172724910.000000,9835443268.000000,,17498044046.000000,702506212224.000000,884860701242.000000,,596818663200.000000,597819550.000000,182001777713.000000,1000000000.000000,181001777713.000000,182001777713.000000,74302844.000000,779492563307.000000,1664353264549.000000,1492046658.000000
12M 2013,,,20287265423.000000,,195404328250.000000,195404328250.000000,,195404328250.000000,572073584.000000,304304052441.000000,27514632289.000000,548082351987.000000,,2474324533.000000,,1201431102939.000000,15118039490.000000,1219023466962.000000,1767105818949.000000,,,456536667620.000000,2535312000.000000,,37176005228.000000,42164300.000000,37218169528.000000,,11415964225.000000,17907585038.000000,,384386059374.000000,,1657728762.000000,1114585000.000000,387158373136.000000,,301263693.000000,456536667620.000000,555034581124.000000,,530664261832.000000,,1872651874.000000,1705047000.000000,534241960706.000000,2152120540.000000,,18640499878.000000,555034581124.000000,1011571248744.000000,,596818663200.000000,597819550.000000,158145265053.000000,3000000000.000000,155145265053.000000,158145265053.000000,-27177598.000000,755534570205.000000,1767105818949.000000,1492046658.000000
12M 2014,,,47925923178.000000,,180708347578.000000,179215525111.000000,1492822467.000000,180708347578.000000,727207484.000000,387969639852.000000,65460956544.000000,682792074636.000000,,4550805011.000000,,1389719739866.000000,14894459156.000000,1409165004033.000000,2091957078669.000000,,,186961154130.000000,117927675251.000000,,38705967330.000000,,38705967330.000000,,6840140306.000000,20243229169.000000,,,,1840429905.000000,1077881000.000000,2918310905.000000,,325831169.000000,186961154130.000000,1100395869540.000000,,1075013112420.000000,,32221969.000000,590231000.000000,1075635565389.000000,4114077858.000000,,20646226293.000000,1100395869540.000000,1287357023670.000000,,596818663200.000000,597819550.000000,206747986452.000000,3000000000.000000,203747986452.000000,206747986452.000000,435585797.000000,804600054999.000000,2091957078669.000000,1492046658.000000
12M 2015,,,46258913361.000000,,153716229584.000000,153510371915.000000,205857669.000000,153716229584.000000,811035484.000000,459153960245.000000,52755127416.000000,712695266090.000000,,5256308120.000000,13212959103.000000,1439722058953.000000,14577773506.000000,1472769099682.000000,2185464365772.000000,,,765797690730.000000,103600821499.000000,,36970094641.000000,,36970094641.000000,,13893861653.000000,52801340970.000000,,557336610713.000000,,32221969.000000,590231000.000000,557959063682.000000,,572508285.000000,765797690730.000000,666989555131.000000,,554590256696.000000,,,35734439850.000000,590324696546.000000,,42782040755.000000,33882817830.000000,666989555131.000000,1432787245861.000000,,596818663200.000000,597819550.000000,155414060107.000000,4000000000.000000,151414060107.000000,155414060107.000000,-153422946.000000,752677119911.000000,2185464365772.000000,1492046658.000000
12M 2016,,,146960519291.000000,,107829168715.000000,107357848044.000000,471320671.000000,107829168715.000000,303677324.000000,406931058372.000000,37289036712.000000,699313460414.000000,,7251273833.000000,,1430164650247.000000,22123031456.000000,1459538955536.000000,2158852415950.000000,,,283923795368.000000,127090037431.000000,,47510128247.000000,,47510128247.000000,,12010098413.000000,51628254679.000000,,45129427317.000000,,,,45129427317.000000,,555849281.000000,283923795368.000000,795782069272.000000,,574004302319.000000,133746335000.000000,,,707750637319.000000,15880865699.000000,32408976809.000000,39741589445.000000,795782069272.000000,1079705864640.000000,,845828383200.000000,597819550.000000,232500379043.000000,4000000000.000000,228500379043.000000,232500379043.000000,219969517.000000,1079146551310.000000,2158852415950.000000,2114570958.000000
12M 2017,,,120542708894.000000,,111710555577.000000,111596481909.000000,114073668.000000,111710555577.000000,400355616.000000,483134992635.000000,34448471627.000000,750237084349.000000,,9477244272.000000,,1393421919181.000000,22524607312.000000,1425423770765.000000,2175660855114.000000,,,733771730418.000000,130329393300.000000,,62025367892.000000,,62025367892.000000,,12217295461.000000,7438155204.000000,,521074172380.000000,,,,521074172380.000000,,687346181.000000,733771730418.000000,269693789540.000000,,28787184647.000000,135002705000.000000,,,163789889647.000000,42668639397.000000,23342237350.000000,39893023146.000000,269693789540.000000,1003465519958.000000,,845828383200.000000,597819550.000000,325004245619.000000,6000000000.000000,319004245619.000000,325004245619.000000,764886787.000000,1172195335156.000000,2175660855114.000000,2114570958.000000
