Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,2909556473044.000000,-2541933340304.000000,367623132740.000000,-179382431469.000000,-175844890515.000000,,-3537540954.000000,-179382431469.000000,188240701271.000000,-81633360660.000000,-81633360660.000000,-81633360660.000000,106607340611.000000,-34849557781.000000,-36804427250.000000,1954869469.000000,,-34849557781.000000,71757782830.000000,,71757782830.000000,3429013473.000000,3429013473.000000,3429013473.000000,75186796303.000000,71757782830.000000,67597085761.000000,4160697069.000000,71757782830.000000,75186796303.000000,70695391610.000000,4491404693.000000,75186796303.000000
12M 2019,2809000828842.000000,-2454690219611.000000,354310609231.000000,-175819316527.000000,-173391511789.000000,,-2427804738.000000,-175819316527.000000,178491292704.000000,-30582390336.000000,-30582390336.000000,-30582390336.000000,147908902368.000000,-41328927819.000000,-40532988763.000000,-795939056.000000,,-41328927819.000000,106579974549.000000,,106579974549.000000,6613457276.000000,6613457276.000000,6613457276.000000,113193431825.000000,106579974549.000000,99176625587.000000,7403348962.000000,106579974549.000000,113193431825.000000,105413866295.000000,7779565530.000000,113193431825.000000
12M 2020,3031488092499.000000,-2588197004971.000000,443291087528.000000,-196549142655.000000,-194038677579.000000,,-2510465076.000000,-196549142655.000000,246741944873.000000,-123373914206.000000,-123373914206.000000,-123373914206.000000,123368030667.000000,-41930789254.000000,-41180904140.000000,-749885114.000000,,-41930789254.000000,81437241413.000000,,81437241413.000000,55513824393.000000,55513824393.000000,55513824393.000000,136951065806.000000,81437241413.000000,72774259621.000000,8662981792.000000,81437241413.000000,136951065806.000000,125663292210.000000,11287773596.000000,136951065806.000000
12M 2021,6234855968339.000000,-5402225868344.000000,832630099995.000000,-261854889197.000000,-255595776191.000000,,-6259113006.000000,-261854889197.000000,570775210798.000000,-178322965939.000000,-178322965939.000000,-178322965939.000000,392452244859.000000,-90617560290.000000,-91619779042.000000,1002218752.000000,,-90617560290.000000,301834684569.000000,,301834684569.000000,9181717878.000000,9181717878.000000,9181717878.000000,311016402447.000000,301834684569.000000,247352442892.000000,54482241677.000000,301834684569.000000,311016402447.000000,256072260110.000000,54944142337.000000,311016402447.000000
12M 2022,4390077670408.000000,-4052647405304.000000,337430265104.000000,-305895150900.000000,,-301545831911.000000,-4349318989.000000,-305895150900.000000,31535114204.000000,-426870921709.000000,-426870921709.000000,-426870921709.000000,-395335807505.000000,78264607147.000000,-5853914769.000000,84118521916.000000,,78264607147.000000,-317071200358.000000,,-317071200358.000000,1526462017.000000,1526462017.000000,1526462017.000000,-315544738341.000000,-317071200358.000000,-307614227520.000000,-9456972838.000000,-317071200358.000000,-315544738341.000000,-306094506220.000000,-9450232121.000000,-315544738341.000000
12M 2023,907226175158.000000,-1277502673277.000000,-370276498119.000000,-200260870211.000000,,-200260870211.000000,,-200260870211.000000,-570537368330.000000,-318303180731.000000,-318303180731.000000,-318303180731.000000,-888840549061.000000,7937780405.000000,-698816925.000000,8636597330.000000,,7937780405.000000,-880902768656.000000,,-880902768656.000000,2120656711.000000,2120656711.000000,2120656711.000000,-878782111945.000000,-880902768656.000000,-875626501220.000000,-5276267436.000000,-880902768656.000000,-878782111945.000000,-873591275868.000000,-5190836077.000000,-878782111945.000000
