Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok, Karyawan, Dan Pihak Ketiga",Adjustment,Pembayaran Pajak Penghasilan,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pemberian Kembali Pinjaman Dari Pihak Berelasi,Penerimaan Kembali Pinjaman Dari Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal Dari Pemegang Saham,Penerimaan Dari Penerbitan Saham Baru Entitas Anak,Penerimaan Dari Penerbitan Saham Baru Perusahaan,Pembayaran Utang Bank,Penerimaan Utang Bank,Pembayaran Utang Lain Non-Bank,Penerimaan Utang Lain Non-Bank,Pembayaran Utang Sewa Pembiayaan,Penerimaan Kembali Jaminan,Penempatan Jaminan,Pembayaran Utang Lain-Lain,Penerimaan Utang Lain-Lain,Pembayaran Kewajiban Anjak Piutang,Penerimaan Kewajiban Anjak Piutang,Pembayaran Biaya Emisi Saham Entitas Anak,Pembayaran Biaya Emisi Saham Perusahaan,Pembayaran Dividen,Pembayaran Dividen Entitas Anak Kepada Non Pengendali,Pembayaran Kembali Pinjaman Kepada Pihak Berelasi,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Uang Muka Pinjaman,Penerimaan Surat Utang Jangka Menengah,Pembayaran Surat Berharga Jangka Menengah,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-31357877645.000000,2978111697604.000000,-2916839346148.000000,,-39429546574.000000,-53200682527.000000,-31357877645.000000,-198350998795.000000,-164853959371.000000,,,-36359361341.000000,2862321917.000000,-198350998795.000000,239659495296.000000,,,,-15313471002.000000,93913755355.000000,-42061608487.000000,240505575088.000000,-2384755658.000000,,,,,,,,,,,,,,,-35000000000.000000,239659495296.000000,9950618856.000000,55902362472.000000,65852981328.000000
12M 2019,9325147040.000000,2831399497498.000000,-2737495711162.000000,,-29868267212.000000,-54710372084.000000,9325147040.000000,-340405627282.000000,-271586806102.000000,-87090665508.000000,,-1011776976.000000,19283621304.000000,-340405627282.000000,366807277550.000000,,,,-154787158986.000000,491541449411.000000,-240673454856.000000,291616583391.000000,-3541817917.000000,66226051534.000000,-111296770269.000000,,,,29834187360.000000,,,,,5681400000.000000,-4867192118.000000,-2926000000.000000,,,366807277550.000000,35726797308.000000,65852981328.000000,101579778636.000000
12M 2020,330195981238.000000,3049118159994.000000,-2558494407842.000000,,-43691369216.000000,-116736401698.000000,330195981238.000000,-576479181642.000000,-465486489998.000000,-110408810433.000000,,-583881211.000000,,-576479181642.000000,219336322548.000000,,,,-150851520636.000000,309560100353.000000,-95911788900.000000,187295742647.000000,-30502046855.000000,111296770269.000000,-145059893842.000000,,,-139934740699.000000,189480396960.000000,-1503590000.000000,,,,,-14533106749.000000,,,,219336322548.000000,-26946877856.000000,101579778636.000000,74632900780.000000
12M 2021,62366458773.000000,5564525003580.000000,-5272054134693.000000,,-40560382397.000000,-189544027717.000000,62366458773.000000,-1266112116960.000000,-416302651322.000000,-363539038408.000000,,-486270427230.000000,,-1266112116960.000000,1434171827019.000000,175000000000.000000,292074548070.000000,707040000000.000000,-645380532386.000000,888964795140.000000,-318204971541.000000,346774139272.000000,-28993391488.000000,145059893842.000000,-112703848857.000000,,,-239550564675.000000,239635749880.000000,-6861176575.000000,-28282821258.000000,,,,19600007595.000000,,,,1434171827019.000000,230426168832.000000,74632900779.000000,305059069611.000000
12M 2022,-741584297398.000000,4196482088640.000000,-4632448357649.000000,,-18537548082.000000,-287080480307.000000,-741584297398.000000,-389131713231.000000,-618433847482.000000,-6622642439.000000,14485787050.000000,221438989640.000000,,-389131713231.000000,996811874175.000000,,,,-389586814767.000000,1363755528328.000000,-131786508826.000000,252711108526.000000,-40411523618.000000,114634355172.000000,-240123964342.000000,-19385594041.000000,8087758490.000000,,,,,,-4926551196.000000,,83844080449.000000,,,,996811874175.000000,-133904136454.000000,305059069611.000000,171154933157.000000
12M 2023,61661969370.000000,796581160220.000000,-639065572524.000000,,-9263615453.000000,-86590002873.000000,61661969370.000000,77864628556.000000,-6930148293.000000,-11102924320.000000,216582001.000000,95681119168.000000,,77864628556.000000,-282678597769.000000,,,,-354327536956.000000,,-23717666935.000000,,-860779869.000000,264304014851.000000,-213076628860.000000,,45000000000.000000,,,,,,,,,,,,-282678597769.000000,-143151999843.000000,171154933157.000000,28002933314.000000
