Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Kewajiban Lembaga Keuangan Non Bank,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Kewajiban Lembaga Keuangan Non Bank,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Surat Berharga Jangka Menengah,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,65852981328.000000,216318534188.000000,6827455700.000000,209491078488.000000,216318534188.000000,4634745698.000000,,,4634745698.000000,165416319772.000000,1042127325482.000000,1494349906468.000000,,48352277833.000000,,,,,730037292208.000000,,5865101043.000000,24587593621.000000,808842264705.000000,2303192171173.000000,,,1360380962514.000000,409643295366.000000,,53875850688.000000,597993099507.000000,651868950195.000000,,243500683112.000000,,243500683112.000000,8958687164.000000,21580000.000000,,22283161483.000000,,2886154467.000000,25169315950.000000,21218450727.000000,1360380962514.000000,277354201249.000000,,177270428274.000000,,3115014911.000000,,180385443185.000000,,,,,,31903429924.000000,65065328140.000000,277354201249.000000,1637735163763.000000,,25000000000.000000,73996999509.000000,407166819042.000000,,407166819042.000000,407166819042.000000,62109397882.000000,97183790977.000000,665457007410.000000,2303192171173.000000,50000.000000
12M 2019,,,101579778636.000000,236917590863.000000,21318434291.000000,215599156572.000000,236917590863.000000,5155264228.000000,,,5155264228.000000,177617643354.000000,1303459760288.000000,1824730037369.000000,,30080433505.000000,,,,,978292550244.000000,,4759625080.000000,28387976862.000000,1041520585691.000000,2866250623060.000000,,,1437226769917.000000,446057281284.000000,,,609598896656.000000,609598896656.000000,,149443811647.000000,,149443811647.000000,22428382747.000000,3777647758.000000,,110909432523.000000,,6965929727.000000,117875362250.000000,88045387575.000000,1437226769917.000000,643700277953.000000,,388984461741.000000,,8432845070.000000,,397417306811.000000,,,145000000000.000000,,145000000000.000000,32717637806.000000,68565333336.000000,643700277953.000000,2080927047870.000000,,25000000000.000000,73996999509.000000,505068011955.000000,,505068011955.000000,505068011955.000000,76080986498.000000,105177577228.000000,785323575190.000000,2866250623060.000000,50000.000000
12M 2020,,,74632900780.000000,263517083371.000000,23362259669.000000,240154823702.000000,263517083371.000000,7952705628.000000,,,7952705628.000000,325787771422.000000,1207286989072.000000,1879177450273.000000,,30664314716.000000,,,,,1582801758507.000000,,5431438092.000000,28340914937.000000,1647238426252.000000,3526415876525.000000,,,1838692231209.000000,593459237531.000000,,,706109375706.000000,706109375706.000000,,240716689866.000000,,240716689866.000000,49472492140.000000,8552626365.000000,,92469211659.000000,,22965518744.000000,115434730403.000000,124947079198.000000,1838692231209.000000,757222373889.000000,,418731306074.000000,,42847433570.000000,,461578739644.000000,,,145000000000.000000,,145000000000.000000,18184531057.000000,132459103188.000000,757222373889.000000,2595914605098.000000,,25000000000.000000,76698393918.000000,547589856968.000000,,547589856968.000000,547589856968.000000,129206009123.000000,152007011418.000000,930501271427.000000,3526415876525.000000,400000.000000
12M 2021,,,305059069611.000000,900823111216.000000,15834614729.000000,884988496487.000000,900823111216.000000,3254593820.000000,,,3254593820.000000,463156899750.000000,1452020642533.000000,3124314316930.000000,,516934741946.000000,,,,,1982306909155.000000,,4740976399.000000,28486782938.000000,2532469410438.000000,5656783727368.000000,,,2132706074451.000000,550512350950.000000,,855079779939.000000,196037102547.000000,1051116882486.000000,,202747857597.000000,,202747857597.000000,103893512222.000000,18855381717.000000,,96669782264.000000,,29383857107.000000,126053639371.000000,79526450108.000000,2132706074451.000000,1107962435775.000000,,704050096087.000000,,23950718601.000000,,728000814688.000000,,,211538000000.000000,,211538000000.000000,37784538652.000000,130639082435.000000,1107962435775.000000,3240668510226.000000,,588380000000.000000,853726529155.000000,505559001308.000000,113343000000.000000,392216001308.000000,505559001308.000000,312848277042.000000,155601409637.000000,2416115217142.000000,5656783727368.000000,29419000000.000000
12M 2022,,,171154933157.000000,969020012377.000000,4960107755.000000,964059904622.000000,969020012377.000000,3203646060.000000,,,3203646060.000000,403259638651.000000,1159344935811.000000,2705983166056.000000,,295495752307.000000,,,,,2952591555542.000000,,87844408597.000000,28504066480.000000,3364435782926.000000,6070418948982.000000,,,3094485541081.000000,1536584360393.000000,,504063649569.000000,,504063649569.000000,,11700022044.000000,,11700022044.000000,175378651890.000000,61554176967.000000,,262637049586.000000,509392068526.000000,30354665312.000000,802383783424.000000,2820896794.000000,3094485541081.000000,878781882311.000000,,522012932977.000000,,27853536014.000000,,549866468991.000000,,,81160560000.000000,,81160560000.000000,121628619101.000000,126126234219.000000,878781882311.000000,3973267423392.000000,,588380000000.000000,853279195412.000000,197946287756.000000,117168000000.000000,80778287756.000000,197946287756.000000,298519451372.000000,159026591050.000000,2097151525590.000000,6070418948982.000000,29419000000.000000
12M 2023,,,28002933314.000000,1055958521306.000000,,1055958521306.000000,1055958521306.000000,3538592433.000000,,,3538592433.000000,56028542190.000000,565529241795.000000,1709057831038.000000,,,315678110197.000000,81327354807.000000,234350755390.000000,315678110197.000000,2853294879628.000000,2861667232.000000,96938585226.000000,28809481868.000000,3297582724151.000000,5006640555189.000000,,,903150008636.000000,,,,,,,32057382047.000000,,32057382047.000000,175010480672.000000,162794337105.000000,,100841931646.000000,423898802912.000000,7849666263.000000,532590400821.000000,697407991.000000,903150008636.000000,1552192479782.000000,,998767188909.000000,141142780000.000000,38018898943.000000,,1177928867852.000000,45000000000.000000,,,,,199794311599.000000,129469300331.000000,1552192479782.000000,2455342488418.000000,,588380000000.000000,853104489527.000000,-677680213464.000000,117168000000.000000,-794848213464.000000,-677680213464.000000,293328615295.000000,161061816402.000000,1218194707760.000000,3673537196178.000000,29419000000.000000
