Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2018,(31 B),(165 B),(196 B),-3924236.74
12M 2019,9 B,(359 B),(349 B),-6987046.49
12M 2020,330 B,(576 B),(576 B),-614248.30
12M 2021,62 B,(780 B),(717 B),-24.39
12M 2022,(742 B),(625 B),"(1,367 B)",-46.45
12M 2023,62 B,(18 B),44 B,1.48
