Period,Aset,Kas Dan Setara Kas,Penempatan Pada Bank Indonesia Dan Bank Lain,Giro Pada Bank Indonesia,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Dari Bank Lain,Surat Berharga Yang Diterbitkan,Liabilitas Akseptasi,Utang Pajak,Dana Syirkah Temporer,Others,Total Dana Syirkah Temporer,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,910000000.000000,244200000000.000000,30437000000.000000,,,1000101000000.000000,1275648000000.000000,,,469000000.000000,56629000000.000000,,,1181000000.000000,286705000000.000000,286705000000.000000,286705000000.000000,347014000000.000000,691998000000.000000,,819307000000.000000,3423000000.000000,,-239080000000.000000,583650000000.000000,1275648000000.000000,945069.000000
12M 2018,,1419000000.000000,365100000000.000000,4610000000.000000,,,290783000000.000000,661912000000.000000,,,189000000.000000,,,,431000000.000000,,,,131029000000.000000,131649000000.000000,,819307000000.000000,1916000000.000000,,-290960000000.000000,530263000000.000000,661912000000.000000,945069.000000
12M 2019,,162000000.000000,104200000000.000000,9437000000.000000,,,601824000000.000000,715623000000.000000,,,2000000.000000,,,,400000000.000000,,,,119504000000.000000,119906000000.000000,,819307000000.000000,,,-223590000000.000000,595717000000.000000,715623000000.000000,945069.000000
12M 2020,,182000000.000000,49100000000.000000,4163000000.000000,12630000000.000000,,655322000000.000000,721397000000.000000,,,2000000.000000,4000000.000000,,,640000000.000000,40162000000.000000,40162000000.000000,40162000000.000000,39315000000.000000,80123000000.000000,,819307000000.000000,,,-178033000000.000000,641274000000.000000,721397000000.000000,8193072560.000000
12M 2021,,224000000.000000,1139500000000.000000,16354000000.000000,51114000000.000000,,965970000000.000000,2173162000000.000000,,,1003000000.000000,,,,3042000000.000000,1038184000000.000000,1038184000000.000000,1038184000000.000000,84606000000.000000,1126835000000.000000,,1324135000000.000000,13554000000.000000,,-291362000000.000000,1046327000000.000000,2173162000000.000000,13241354364.000000
12M 2022,,651000000.000000,1734100000000.000000,83353000000.000000,45177000000.000000,,2870120000000.000000,4733401000000.000000,,,16392000000.000000,,684000000000.000000,,6066000000.000000,794649000000.000000,794649000000.000000,794649000000.000000,89018000000.000000,1590125000000.000000,,1377051000000.000000,2328052000000.000000,,-561827000000.000000,3143276000000.000000,4733401000000.000000,13770509989.000000
12M 2023,,1013000000.000000,1752700000000.000000,423910000000.000000,47367000000.000000,,4867130000000.000000,7092120000000.000000,,,69839000000.000000,,,,6973000000.000000,3254999000000.000000,3254999000000.000000,3254999000000.000000,675068000000.000000,4006879000000.000000,,1391838000000.000000,2478170000000.000000,,-784767000000.000000,3085241000000.000000,7092120000000.000000,13918379517.000000
12M 2024,,233000000.000000,2200176000000.000000,,34744000000.000000,,7126932000000.000000,9362085000000.000000,,,32612000000.000000,,600000000000.000000,,7853000000.000000,5410031000000.000000,5410031000000.000000,5410031000000.000000,172996000000.000000,6223492000000.000000,,1391848000000.000000,2601172000000.000000,,-854427000000.000000,3138593000000.000000,9362085000000.000000,13918476817.000000
