Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penyusutan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,54056436716.000000,-21958521900.000000,32097914816.000000,-27475229700.000000,-22211607779.000000,-5263621921.000000,-27475229700.000000,4622685116.000000,-2446760472.000000,-2434205097.000000,,-12555375.000000,-2446760472.000000,2175924644.000000,178023035.000000,,,178023035.000000,2353947679.000000,110119544.000000,,110119544.000000,2464067223.000000,2353947679.000000,2353947679.000000,,2353947679.000000,2464067223.000000,2464067223.000000,,2464067223.000000
12M 2019,64086124551.000000,-23649514523.000000,40436610028.000000,-25471481395.000000,-22825144927.000000,-2646336468.000000,-25471481395.000000,14965128633.000000,-4714921688.000000,-4050228206.000000,,-664693482.000000,-4714921688.000000,10250206945.000000,-2783577457.000000,,,-2783577457.000000,7466629488.000000,6830228.000000,,6830228.000000,7473459716.000000,7466629488.000000,7466629488.000000,,7466629488.000000,7473459716.000000,7473459716.000000,,7473459716.000000
12M 2020,37074443482.000000,-13394605323.000000,23679838159.000000,-21687644743.000000,-19518812123.000000,-2168832620.000000,-21687644743.000000,1992193416.000000,2427492935.000000,-3840145057.000000,3871354557.000000,2396283435.000000,2427492935.000000,4419686351.000000,763859152.000000,,,763859152.000000,5183545503.000000,84460114.000000,,84460114.000000,5268005617.000000,5183545503.000000,5183545503.000000,,5183545503.000000,5268005617.000000,5268005617.000000,,5268005617.000000
12M 2021,51021355702.000000,-15520264014.000000,35501091688.000000,-20855120619.000000,-18819682402.000000,-2035438217.000000,-20855120619.000000,14645971069.000000,-179014862.000000,-723199894.000000,326786831.000000,217398201.000000,-179014862.000000,14466956207.000000,-2320073851.000000,,,-2320073851.000000,12146882356.000000,-89230494.000000,,-89230494.000000,12057651862.000000,12146882356.000000,12146882356.000000,,12146882356.000000,12057651862.000000,12057651862.000000,,12057651862.000000
12M 2022,86440947394.000000,-22726026053.000000,63714921341.000000,-27148706112.000000,-24781283075.000000,-2367423037.000000,-27148706112.000000,36566215229.000000,-118278290.000000,-453784938.000000,3146000.000000,332360648.000000,-118278290.000000,36447936939.000000,-6686002095.000000,,,-6686002095.000000,29761934844.000000,-83152291.000000,,-83152291.000000,29678782553.000000,29761934844.000000,29761934844.000000,,29761934844.000000,29678782553.000000,29678782553.000000,,29678782553.000000
12M 2023,106354483808.000000,-27278287222.000000,79076196586.000000,-31331505595.000000,-28430485507.000000,-2901020088.000000,-31331505595.000000,47744690991.000000,-303722355.000000,-396542058.000000,,92819703.000000,-303722355.000000,47440968636.000000,-9001274481.000000,-7884458561.000000,-1116815920.000000,-9001274481.000000,38439694155.000000,209545185595.000000,209545185595.000000,209545185595.000000,247984879750.000000,38439694155.000000,38439694155.000000,,38439694155.000000,247984879750.000000,247984879750.000000,,247984879750.000000
12M 2024,102928711695.000000,-25717811250.000000,77210900445.000000,-34826665877.000000,-32105453795.000000,-2721212082.000000,-34826665877.000000,42384234568.000000,273086909.000000,-640654016.000000,1060834700.000000,-147093775.000000,273086909.000000,42657321477.000000,-7939219123.000000,-6807013977.000000,-1132205146.000000,-7939219123.000000,34718102354.000000,-26911642.000000,-26911642.000000,-26911642.000000,34691190712.000000,34718102354.000000,34718102354.000000,,34718102354.000000,34691190712.000000,34691190712.000000,,34691190712.000000
