Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Beban Usaha,Pembayaran Kepada Karyawan,Pendapatan Operasional Lain,Penerimaan Hibah Kemenparekraf,Penerimaan Bunga,Pembayaran Bunga Dan Bagi Hasil,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Penjualan Aset Tetap,Penerimaan Bunga Deposito,Pencairan Deposito,Penempatan Pada Deposito,Kas Yang Dibatasi Penggunaannya,Penempatan Aset Keuangan Yang Diukur Pada Nilai Wajar Melalui Laba Rugi,Pencairan Aset Keuangan Yang Diukur Pada Nilai Wajar Melalui Laba Rugi,Penerimaan Dividen Dari Aset Keuangan Yang Diukur Pada Nilai Wajar Melalui Laba Rugi,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Sewa Pembiayaan,Penerimaan Sewa Pembiayaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Kembali Utang Bank,Pemberian Piutang Kepada Pihak Berelasi,Pembayaran Kembali Pinjaman Musyarakah,Penerimaan Penjualan Dan Sewa Balik,Pembelian Saham Treasuri,Penerimaan Hasil Penjualan Saham Treasuri,Pembayaran Dividen Kas,Pelaksanaan Waran,Penerimaan Dari Penawaran Umum Perdana,Pembayaran Biaya Emisi Saham,Penerimaan Piutang Lain-Lain Pihak Berelasi,Pembayaran Piutang Lain-Lain Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Kepada Pihak Berelasi,Pembayaran Utang Lain-Lain Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,15814599459.000000,53725897602.000000,-12600626237.000000,-11204579421.000000,-11701493431.000000,29606043.000000,,,-2434205097.000000,,15814599459.000000,-29733295254.000000,-18210163800.000000,,,,,174575532.000000,,,,-11697706986.000000,-29733295254.000000,15515816252.000000,-392730110.000000,,23676528163.000000,,-3196294593.000000,,-2224573048.000000,,,,,,,,,-365464160.000000,,,-1981650000.000000,15515816252.000000,1597120457.000000,1883506918.000000,3480627375.000000
12M 2019,14343359989.000000,64136639663.000000,-14039268097.000000,-17782981567.000000,-13934931517.000000,,,14129713.000000,-4050228206.000000,,14343359989.000000,-66348140987.000000,-20005664855.000000,40000000.000000,,,-35382476132.000000,-11000000000.000000,,,,,-66348140987.000000,57050741210.000000,-612208272.000000,630000000.000000,17840000000.000000,,-3245468808.000000,,-2445356549.000000,,,,,,54880667800.000000,-8238191668.000000,,,,,-1758701293.000000,57050741210.000000,5045960212.000000,3480627375.000000,8526587587.000000
12M 2020,4880651391.000000,36950982083.000000,-6183026287.000000,-12085719241.000000,-10857989887.000000,,1303653280.000000,,-3840145057.000000,-407103500.000000,4880651391.000000,36751332250.000000,-8353757680.000000,430000000.000000,2895834773.000000,97782476132.000000,-71200000000.000000,11325424468.000000,,3871354557.000000,,,36751332250.000000,-48459869245.000000,-1302487500.000000,280000000.000000,16000000000.000000,,-47402497663.000000,,-14021939152.000000,,-1512964880.000000,,,19950.000000,,,,-500000000.000000,,,,-48459869245.000000,-6827885604.000000,8526587587.000000,1698701983.000000
12M 2021,19270951981.000000,54624976656.000000,-10133720277.000000,-12958995135.000000,-11582656272.000000,,,,-571834467.000000,-106818524.000000,19270951981.000000,-2337293125.000000,-2325206054.000000,,161126098.000000,11600000000.000000,-12100000000.000000,,,326786831.000000,,,-2337293125.000000,-17500386660.000000,-292935000.000000,,,,-6966666667.000000,,,,,1838344501.000000,-13179148494.000000,19000.000000,,,1100000000.000000,-600000000.000000,600000000.000000,,,-17500386660.000000,-566727804.000000,1698701983.000000,1131974179.000000
12M 2022,40703733529.000000,85628821247.000000,-14832567015.000000,-14386046381.000000,-12863670643.000000,,,,-453784938.000000,-2389018741.000000,40703733529.000000,-18029963337.000000,-18146241604.000000,,113132267.000000,,,,,3146000.000000,,,-18029963337.000000,-22253397730.000000,-122622500.000000,,4000000000.000000,,,,,,,,-25538212020.000000,7436790.000000,,,,,,,-600000000.000000,-22253397730.000000,420372462.000000,1131974178.000000,1552346640.000000
12M 2023,46825834906.000000,105582160429.000000,-17414554017.000000,-23794942427.000000,-15235738747.000000,,,,-396542058.000000,-1914548274.000000,46825834906.000000,-2584558210.000000,-10829398000.000000,,44839790.000000,8200000000.000000,,,,,,,-2584558210.000000,-39314063623.000000,-493966491.000000,,,,-3300000000.000000,,,,,,-35520097132.000000,,,,,,,,,-39314063623.000000,4927213073.000000,1552346640.000000,6479559713.000000
12M 2024,40007661348.000000,100598161584.000000,-15514305908.000000,-23470264614.000000,-19934685786.000000,,,,-344331890.000000,-1326912038.000000,40007661348.000000,-4894232346.000000,-3258617583.000000,,6025973.000000,-50000000.000000,,,-2996049800.000000,1060834700.000000,343574364.000000,,-4894232346.000000,-33023494758.000000,-1183768334.000000,,4300000000.000000,,,-240000000.000000,,,,,-35899726424.000000,,,,,,,,,-33023494758.000000,2089934244.000000,6479559713.000000,8569493957.000000
