Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,207324401120.000000,207324401120.000000,207324401120.000000,-76104360293.000000,131220040827.000000,-121545321386.000000,-99087358730.000000,-18400252183.000000,-4057710473.000000,-121545321386.000000,9674719441.000000,-2786989462.000000,512841174.000000,255765355.000000,,-5665400450.000000,2109804459.000000,-2786989462.000000,6887729979.000000,-2462378157.000000,-1731436600.000000,-730941557.000000,-2462378157.000000,4425351822.000000,-138228905.000000,4287122917.000000,,,,,4287122917.000000,4425351822.000000,-138228905.000000,4287122917.000000,,,,
12M 2009,226789755200.000000,226789755200.000000,226789755200.000000,-81988132270.000000,144801622930.000000,-135417286801.000000,-109294311483.000000,-19028280027.000000,-7094695291.000000,-135417286801.000000,9384336129.000000,7717165853.000000,463280122.000000,302396389.000000,,5500448985.000000,1451040357.000000,7717165853.000000,17101501982.000000,-5277166639.000000,-4484838680.000000,-792327959.000000,-5277166639.000000,11824335343.000000,-875796286.000000,10948539057.000000,,,,,10948539057.000000,11824335343.000000,-875796286.000000,10948539057.000000,,,,
12M 2010,247503238200.000000,247503238200.000000,247503238200.000000,-85131114395.000000,162372123805.000000,-143293976353.000000,-118869035585.000000,-20256309232.000000,-4168631536.000000,-143293976353.000000,19078147452.000000,3897739676.000000,598092265.000000,317368328.000000,,1328093000.000000,1654186083.000000,3897739676.000000,22975887128.000000,-6339140115.000000,-5057234411.000000,-1281905704.000000,-6339140115.000000,16636747013.000000,-870113628.000000,15766633385.000000,,,,,15766633385.000000,16636747013.000000,-870113628.000000,15766633385.000000,,,,
12M 2011,292477518944.000000,,292477518944.000000,-99993011129.000000,192484507815.000000,-156447906121.000000,-133943834614.000000,-21275767337.000000,-1228304170.000000,-156447906121.000000,36036601694.000000,,,,,,,,36036601694.000000,-8921527541.000000,-7718360858.000000,-1203166683.000000,-8921527541.000000,27115074153.000000,,27115074153.000000,2838962700.000000,2838962700.000000,2838962700.000000,29954036853.000000,27115074153.000000,25911801751.000000,1203272402.000000,27115074153.000000,29954036853.000000,28750764451.000000,1203272402.000000,29954036853.000000
12M 2012,353780408000.000000,,353780408000.000000,-119305413000.000000,234474995000.000000,-185174434000.000000,-162288015000.000000,-23886032000.000000,999613000.000000,-185174434000.000000,49300561000.000000,-1541632000.000000,,336656000.000000,-1878288000.000000,,,-1541632000.000000,47758929000.000000,-11975468000.000000,,,-11975468000.000000,35783461000.000000,,35783461000.000000,12842927000.000000,12842927000.000000,12842927000.000000,48626388000.000000,35783461000.000000,34371777000.000000,1411684000.000000,35783461000.000000,48626388000.000000,47214704000.000000,1411684000.000000,48626388000.000000
12M 2013,390551415000.000000,,390551415000.000000,-125687162000.000000,264864253000.000000,-226392068000.000000,-198806998000.000000,-28519180000.000000,934110000.000000,-226392068000.000000,38472185000.000000,-4085171000.000000,,127826000.000000,-4212997000.000000,,,-4085171000.000000,34387014000.000000,-9043007000.000000,,,-9043007000.000000,25344007000.000000,,25344007000.000000,12031793000.000000,12031793000.000000,12031793000.000000,37375800000.000000,25344007000.000000,23468116000.000000,1875891000.000000,25344007000.000000,37375800000.000000,35499909000.000000,1875891000.000000,37375800000.000000
12M 2014,376598541000.000000,,376598541000.000000,-125740726000.000000,250857815000.000000,-216637688000.000000,-186459730000.000000,-56427785000.000000,26249827000.000000,-216637688000.000000,34220127000.000000,-7481894000.000000,,271097000.000000,-7752991000.000000,,,-7481894000.000000,26738233000.000000,-5246709000.000000,,,-5246709000.000000,21491524000.000000,,21491524000.000000,-16396952000.000000,-16396952000.000000,-16396952000.000000,5094572000.000000,21491524000.000000,19387941000.000000,2103583000.000000,21491524000.000000,5094572000.000000,2990989000.000000,2103583000.000000,5094572000.000000
12M 2015,402329193000.000000,,402329193000.000000,-145965475000.000000,256363718000.000000,-246386715000.000000,-202265407000.000000,-56566708000.000000,12445400000.000000,-246386715000.000000,9977003000.000000,-8528537000.000000,,295121000.000000,-8823658000.000000,,,-8528537000.000000,1448466000.000000,-2996021000.000000,,,-2996021000.000000,-1547555000.000000,,-1547555000.000000,-14015636000.000000,-14015636000.000000,-14015636000.000000,-15563191000.000000,-1547555000.000000,-3387515000.000000,1839960000.000000,-1547555000.000000,-15563191000.000000,-17579389000.000000,2016198000.000000,-15563191000.000000
12M 2016,473543530000.000000,,473543530000.000000,-176021853000.000000,297521677000.000000,-279897186000.000000,-218000453000.000000,-64083728000.000000,2186995000.000000,-279897186000.000000,17624491000.000000,-8687427000.000000,,268247000.000000,-8955674000.000000,,,-8687427000.000000,8937064000.000000,-4427547000.000000,,,-4427547000.000000,4509517000.000000,,4509517000.000000,-2298666000.000000,-2298666000.000000,-2298666000.000000,2210851000.000000,4509517000.000000,2560472000.000000,1949045000.000000,4509517000.000000,2210851000.000000,224677000.000000,1986174000.000000,2210851000.000000
12M 2017,536443761000.000000,,536443761000.000000,-200200234000.000000,336243527000.000000,-314330433000.000000,-242590484000.000000,-64456509000.000000,-7283440000.000000,-314330433000.000000,21913094000.000000,-7253473000.000000,,161607000.000000,-7415080000.000000,,,-7253473000.000000,14659621000.000000,-4413908000.000000,,,-4413908000.000000,10245713000.000000,,10245713000.000000,1042999000.000000,,1042999000.000000,11288712000.000000,10245713000.000000,7883272000.000000,2362441000.000000,10245713000.000000,11288712000.000000,8871456000.000000,2417256000.000000,11288712000.000000
12M 2018,626810129000.000000,,626810129000.000000,-237999381000.000000,388810748000.000000,-354131712000.000000,-270495551000.000000,-72858548000.000000,-10777613000.000000,-354131712000.000000,34679036000.000000,-6273269000.000000,,268958000.000000,-6542227000.000000,,,-6273269000.000000,28405767000.000000,-8679398000.000000,,,-8679398000.000000,19726369000.000000,,19726369000.000000,-2022683000.000000,,-2022683000.000000,17703686000.000000,19726369000.000000,17270871000.000000,2455498000.000000,19726369000.000000,17703686000.000000,15178002000.000000,2525684000.000000,17703686000.000000
12M 2019,720999329000.000000,,720999329000.000000,-279579198000.000000,441420131000.000000,-398911836000.000000,-318641824000.000000,-86197377000.000000,5927365000.000000,-398911836000.000000,42508295000.000000,-3349534000.000000,,296408000.000000,-3645942000.000000,,,-3349534000.000000,39158761000.000000,-10503714000.000000,,,-10503714000.000000,28655047000.000000,,28655047000.000000,-2959079000.000000,,-2959079000.000000,25695968000.000000,28655047000.000000,25708656000.000000,2946391000.000000,28655047000.000000,25695968000.000000,22743113000.000000,2952855000.000000,25695968000.000000
12M 2020,372583278000.000000,,372583278000.000000,-149360962000.000000,223222316000.000000,-264336416000.000000,-219291816000.000000,-63384672000.000000,18340072000.000000,-264336416000.000000,-41114100000.000000,-10299197000.000000,,964903000.000000,-11264100000.000000,,,-10299197000.000000,-51413297000.000000,2403715000.000000,,,2403715000.000000,-49009582000.000000,,-49009582000.000000,1810268000.000000,,1810268000.000000,-47199314000.000000,-49009582000.000000,-48072251000.000000,-937331000.000000,-49009582000.000000,-47199314000.000000,-46329513000.000000,-869801000.000000,-47199314000.000000
12M 2021,423068585000.000000,,423068585000.000000,-171106687000.000000,251961898000.000000,-257470671000.000000,-205477772000.000000,-61611582000.000000,9618683000.000000,-257470671000.000000,-5508773000.000000,-7649064000.000000,,596150000.000000,-8245214000.000000,,,-7649064000.000000,-13157837000.000000,-4461982000.000000,,,-4461982000.000000,-17619819000.000000,,-17619819000.000000,-11923000.000000,,-11923000.000000,-17631742000.000000,-17619819000.000000,-17603059000.000000,-16760000.000000,-17619819000.000000,-17631742000.000000,-17601315000.000000,-30427000.000000,-17631742000.000000
12M 2022,555686213000.000000,,555686213000.000000,-218430384000.000000,337255829000.000000,-322373905000.000000,-242981546000.000000,-76076036000.000000,-3316323000.000000,-322373905000.000000,14881924000.000000,-3238514000.000000,,386852000.000000,-3625366000.000000,,,-3238514000.000000,11643410000.000000,-1877031000.000000,,,-1877031000.000000,9766379000.000000,,9766379000.000000,28680000.000000,,28680000.000000,9795059000.000000,9766379000.000000,8718956000.000000,1047423000.000000,9766379000.000000,9795059000.000000,8717248000.000000,1077811000.000000,9795059000.000000
12M 2023,623950741000.000000,,623950741000.000000,-243745677000.000000,380205064000.000000,-359338092000.000000,-281562872000.000000,-84304416000.000000,6529196000.000000,-359338092000.000000,20866972000.000000,-2622839000.000000,,336725000.000000,-2959564000.000000,,,-2622839000.000000,18244133000.000000,-639153000.000000,,,-639153000.000000,17604980000.000000,,17604980000.000000,622786000.000000,,622786000.000000,18227766000.000000,17604981000.000000,16055548000.000000,1549433000.000000,17604981000.000000,18227767000.000000,16779989000.000000,1447778000.000000,18227767000.000000
12M 2024,691241883000.000000,,691241883000.000000,-271051687000.000000,420190196000.000000,-394864274000.000000,-307619631000.000000,-88497864000.000000,1253221000.000000,-394864274000.000000,25325922000.000000,-1343784000.000000,,278445000.000000,-1622229000.000000,,,-1343784000.000000,23982138000.000000,-2008736000.000000,,,-2008736000.000000,21973402000.000000,,21973402000.000000,-2354491000.000000,,-2354491000.000000,19618911000.000000,21973403000.000000,21033126000.000000,940277000.000000,21973403000.000000,19618912000.000000,18897753000.000000,721159000.000000,19618912000.000000
