Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Penjualan,Penerimaan Dari Pihak-Pihak Hubungan Istimewa,Penerimaan Kas Dari Pelanggan,Pembayaran Pajak Penghasilan,Pembayaran Biaya Keuangan,Pembayaran Kepada Pemasok Dan Pihak Ketiga,Pembayaran Kepada Karyawan,Pembayaran Kepada Pemerintah,Restitusi Pajak,Penerimaan ( Pembayaran ) Bunga Dan Biaya Pinjaman Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Deposito Berjangka,Penempatan,Pencairan,Total Deposito Berjangka,Penerimaan Penjualan Aktiva Tetap,Penerimaan Dari Penjualan Aset Keuangan,Pembayaran Aktiva Tetap Dan Renovasi Bangunan Sewa,Perolehan Aset Tetap,Pembayaran Dividen,Penerimaan Deviden,Penerimaan Dari Pelepasan Investasi,Pembayaran Dividen Oleh Perusahaan Anak Kepada Pemegang Saham Minoritas,Penambahan Modal Saham Pada Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Jangka Panjang Baru,Pembayaran Dividen,Utang Bank ( Rekening Koran ),Penerimaan,Pembayaran,Total Utang Bank ( Rekening Koran ),Fasilitas Time Loan Revolving,Penerimaan,Pembayaran,Total Fasilitas Time Loan Revolving,Penempatan Investasi Jangka Pendek,Pencairan Investasi Jangka Pendek,Utang Bank Jangka Panjang,Pembayaran Pokok,Pembayaran Bunga,Total Utang Bank Jangka Panjang,Penerimaan Bunga,Penerimaan Pinjaman Bank ( Term Loan ),Pembayaran Pinjaman Jangka Panjang Non Bank,Pembayaran Liabilitas Sewa,Pembayaran Biaya Keuangan,Penerimaan Uang Tunai Dari Pengampunan Pajak,Pembayaran Deviden Kepada Pemegang Saham Minoritas,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,31686576577.000000,206424428967.000000,379661240.000000,,-2611398756.000000,,-131458521630.000000,-41047593244.000000,,,,31686576577.000000,-15068650047.000000,,,,,1155259395.000000,,,-15864163537.000000,,130254095.000000,,-490000000.000000,,-15068650047.000000,-14202548389.000000,,,,,,,,,,,,,,,-3128848389.000000,-3128848389.000000,,,-11073700000.000000,,,,,-14202548389.000000,2415378141.000000,4682059.000000,5446471402.000000,7866531602.000000
12M 2009,18916704245.000000,226384271005.000000,-21774560.000000,,-2251230028.000000,,-158833622112.000000,-46360940060.000000,,,,18916704245.000000,-14424128283.000000,,,,,463280121.000000,,,-14684636604.000000,,164728200.000000,,-367500000.000000,,-14424128283.000000,-5117786321.000000,,,,3140209121.000000,,3140209121.000000,,,,,-1500000000.000000,,,,-3340202942.000000,-3340202942.000000,,,-3417792500.000000,,,,,-5117786321.000000,-625210359.000000,3366848.000000,7866531602.000000,7244688091.000000
12M 2010,26372738748.000000,246997415940.000000,39176442.000000,,-3461161773.000000,,-166013000858.000000,-51189691003.000000,,,,26372738748.000000,-20344127249.000000,,-1500000000.000000,1500000000.000000,,1913354435.000000,,,-21962155358.000000,,194673674.000000,,-490000000.000000,,-20344127249.000000,-2959581347.000000,,,,4907005322.000000,,4907005322.000000,,,,,,,,,-1014686669.000000,-1014686669.000000,,,-6851900000.000000,,,,,-2959581347.000000,3069030152.000000,9385560.000000,7244688092.000000,10323103804.000000
12M 2011,36290689107.000000,292457013945.000000,,,-5535316750.000000,,-189862593398.000000,-60768414690.000000,,,,36290689107.000000,-20746045018.000000,,-500000000.000000,1500000000.000000,1000000000.000000,296877052.000000,,,-21400893820.000000,,337971750.000000,,-980000000.000000,,-20746045018.000000,-10108356723.000000,,,,4711066727.000000,-4907005322.000000,-195938595.000000,,,,,,,,,-1094918128.000000,-1094918128.000000,,,-8817500000.000000,,,,,-10108356723.000000,5436287366.000000,-122352.000000,10323103804.000000,15759268818.000000
12M 2012,39125103000.000000,,,352625094000.000000,-10442344000.000000,,-224212321000.000000,-78845326000.000000,,,,39125103000.000000,-50389605000.000000,,-500000000.000000,5500000000.000000,5000000000.000000,2335189000.000000,,,-58069525000.000000,,344731000.000000,,,,-50389605000.000000,13721628000.000000,25000000000.000000,,,5163361000.000000,-4711067000.000000,452294000.000000,,2500000000.000000,-2500000000.000000,,,,,,,,,,-10170714000.000000,,-1559952000.000000,,,13721628000.000000,2457126000.000000,-800000.000000,15759269000.000000,18215595000.000000
12M 2013,19931944000.000000,,,391771476000.000000,-9137433000.000000,,-257606952000.000000,-105095147000.000000,,,,19931944000.000000,-32473192000.000000,,-1500000000.000000,500000000.000000,-1000000000.000000,2764441000.000000,,,-34674293000.000000,,436660000.000000,,,,-32473192000.000000,8621649000.000000,13656415000.000000,,,6802918000.000000,-5163361000.000000,1639557000.000000,,10200000000.000000,-10000000000.000000,200000000.000000,,,,,,,,,-3571429000.000000,,-3302894000.000000,,,8621649000.000000,-3919599000.000000,-84422000.000000,18215595000.000000,14211574000.000000
12M 2014,14422393000.000000,,,374698998000.000000,-4323810000.000000,,-247805067000.000000,-108147728000.000000,,,,14422393000.000000,-36451612000.000000,,-2000000000.000000,,-2000000000.000000,1185711000.000000,,,-62150121000.000000,,459642000.000000,26053156000.000000,,,-36451612000.000000,19217618000.000000,31493456000.000000,,,9640761000.000000,-6802918000.000000,2837843000.000000,,9500000000.000000,-9500000000.000000,,,,,,,,,,-7360690000.000000,,-7752991000.000000,,,19217618000.000000,-2811601000.000000,-90534000.000000,14211574000.000000,11309439000.000000
12M 2015,25270723000.000000,,,406349484000.000000,-6164651000.000000,,-266525258000.000000,-108388852000.000000,,,,25270723000.000000,-14490668000.000000,,-3500000000.000000,3500000000.000000,,69673000.000000,,,-28163518000.000000,,1530000000.000000,12073177000.000000,,,-14490668000.000000,-11364464000.000000,15481481000.000000,,,3774867000.000000,-9640761000.000000,-5865894000.000000,,9500000000.000000,-9500000000.000000,,,,,,,,,,-13926574000.000000,,-7053477000.000000,,,-11364464000.000000,-584409000.000000,6238000.000000,11309437000.000000,10731266000.000000
12M 2016,48219811000.000000,,,473543531000.000000,-8058994000.000000,,-299297368000.000000,-120476721000.000000,,2509363000.000000,,48219811000.000000,-31090954000.000000,,,3500000000.000000,3500000000.000000,457734000.000000,,,-33088688000.000000,,,,-1960000000.000000,,-31090954000.000000,-13638484000.000000,1404723000.000000,,,14211814000.000000,-3774867000.000000,10436947000.000000,,9500000000.000000,-9500000000.000000,,,,,,,,,,-16628879000.000000,,-8955674000.000000,104399000.000000,,-13638484000.000000,3490373000.000000,-2353000.000000,10731265000.000000,14219285000.000000
12M 2017,57051249000.000000,,,536870862000.000000,-10949370000.000000,,-338125361000.000000,-130744882000.000000,,,,57051249000.000000,-35583032000.000000,,-4000000000.000000,2000000000.000000,-2000000000.000000,93440000.000000,,,-32696472000.000000,,,,-980000000.000000,,-35583032000.000000,-12924286000.000000,10395086000.000000,,,15412550000.000000,-14211814000.000000,1200736000.000000,,10000000000.000000,-9500000000.000000,500000000.000000,,,,,,,,,-17625028000.000000,,-7415080000.000000,20000000.000000,,-12924286000.000000,8543931000.000000,722000.000000,14219285000.000000,22763938000.000000
