Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Beban Akrual,Utang Lain-Lain,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Pinjaman Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,7866531602.000000,1921829000.000000,1675850041.000000,406301877.000000,369674700.000000,36627177.000000,406301877.000000,8861727627.000000,11983220241.000000,32715460388.000000,,21641637335.000000,210200762.000000,,27187958633.000000,49039796730.000000,81755257118.000000,,,30085309402.000000,,13238885198.000000,5926393159.000000,5237966562.000000,5682064483.000000,,,,,,30085309402.000000,43422975647.000000,,,,,251899064.000000,39447500000.000000,3723576583.000000,43422975647.000000,73508285049.000000,,110404000000.000000,5900000000.000000,-111599000248.000000,75967760.000000,-111674968008.000000,-111599000248.000000,3436377317.000000,105595000.000000,8246972069.000000,81755257118.000000,220808000.000000
12M 2009,,,7244688092.000000,5352877665.000000,2081334236.000000,136928078.000000,78526341.000000,58401737.000000,136928078.000000,11208011176.000000,13489224830.000000,39513064077.000000,,20872778264.000000,190737732.000000,,30090678097.000000,51154194093.000000,90667258170.000000,,,33804630768.000000,3140209121.000000,13827098197.000000,5995672233.000000,2165367072.000000,8676284145.000000,,,,,,33804630768.000000,35594515860.000000,,,,,1044227022.000000,30550000000.000000,4000288838.000000,35594515860.000000,69399146628.000000,,110404000000.000000,5900000000.000000,-100650461191.000000,75967760.000000,-100726428951.000000,-100650461191.000000,4198082029.000000,1416490705.000000,21268111543.000000,90667258171.000000,220808000.000000
12M 2010,,,10323103804.000000,,2587156496.000000,150859891.000000,,,150859891.000000,12486985953.000000,22869084441.000000,48417190585.000000,,27147834052.000000,163489490.000000,94749212.000000,33185646785.000000,60591719539.000000,109008910124.000000,,,38929633642.000000,4907005322.000000,16548179825.000000,6998903391.000000,1981804051.000000,8493741053.000000,,,,,,38929633642.000000,28841487309.000000,,,,,2420881938.000000,22477500000.000000,3943105371.000000,28841487309.000000,67771120951.000000,,110404000000.000000,5900000000.000000,-84883827806.000000,75967760.000000,-84959795566.000000,-84883827806.000000,4818625439.000000,4998991540.000000,41237789173.000000,109008910124.000000,220808000.000000
12M 2011,,,15759268817.000000,,2096755714.000000,,,,,14163757240.000000,27140377151.000000,59160158922.000000,,31199926478.000000,140133853.000000,167749238.000000,42764815034.000000,74272624603.000000,133432783525.000000,,,41665335463.000000,4711066727.000000,16316777237.000000,5611929361.000000,4030643038.000000,10994919100.000000,,,,,,41665335463.000000,21555622036.000000,,,,,3697048647.000000,13602000000.000000,4256573389.000000,21555622036.000000,63220957499.000000,,110404000000.000000,5900000000.000000,-58972026055.000000,75967760.000000,-59047993815.000000,-58972026055.000000,5041897841.000000,7837954240.000000,70211826026.000000,133432783525.000000,220808000.000000
12M 2012,,,18215595000.000000,,3252069000.000000,,,,,20520370000.000000,39316599000.000000,81304633000.000000,,110599515000.000000,117960000.000000,237706000.000000,11617180000.000000,122572361000.000000,203876994000.000000,,,55174303000.000000,5163361000.000000,16679927000.000000,6589114000.000000,,12597080000.000000,,9373429000.000000,,9373429000.000000,4771392000.000000,55174303000.000000,29864474000.000000,,19642857000.000000,,19642857000.000000,5161697000.000000,,5059920000.000000,29864474000.000000,85038777000.000000,,110404000000.000000,5900000000.000000,-24600246000.000000,75968000.000000,-24676214000.000000,-24600246000.000000,6453581000.000000,20680882000.000000,118838217000.000000,203876994000.000000,220808000.000000
12M 2013,,,14211574000.000000,,2029076000.000000,,,,,19699666000.000000,67501667000.000000,103441983000.000000,,128734478000.000000,62107000.000000,218324000.000000,18213516000.000000,147228425000.000000,250670408000.000000,,,55574717000.000000,9502918000.000000,15582454000.000000,7908741000.000000,,4106551000.000000,,13089964000.000000,,13089964000.000000,5384089000.000000,55574717000.000000,38881674000.000000,,27220248000.000000,,27220248000.000000,6963100000.000000,,4698326000.000000,38881674000.000000,94456391000.000000,,110404000000.000000,5900000000.000000,-1132130000.000000,75968000.000000,-1208098000.000000,-1132130000.000000,8329472000.000000,32712675000.000000,156214017000.000000,250670408000.000000,220808000.000000
12M 2014,,,11309437000.000000,,2130487000.000000,,,,,27570983000.000000,60633397000.000000,101644304000.000000,,173957960000.000000,46319000.000000,305910000.000000,18223205000.000000,192533394000.000000,294177698000.000000,,,68261270000.000000,9640761000.000000,21021686000.000000,5463221000.000000,,7123881000.000000,,12242146000.000000,,12242146000.000000,12769575000.000000,68261270000.000000,64607839000.000000,,49768887000.000000,,49768887000.000000,10851871000.000000,,3987081000.000000,64607839000.000000,132869109000.000000,,110404000000.000000,5900000000.000000,18255811000.000000,75968000.000000,18179843000.000000,18255811000.000000,10433055000.000000,16315723000.000000,161308589000.000000,294177698000.000000,220808000.000000
12M 2015,,,10731265000.000000,,2529477000.000000,,,,,23479213000.000000,50610729000.000000,87350684000.000000,,178735009000.000000,30045000.000000,546164000.000000,21456693000.000000,200767911000.000000,288118595000.000000,,,87310749000.000000,13274867000.000000,23790690000.000000,8148535000.000000,,6347041000.000000,,16649515000.000000,,16649515000.000000,19100101000.000000,87310749000.000000,66491134000.000000,,42068438000.000000,,42068438000.000000,10528433000.000000,,13894263000.000000,66491134000.000000,153801883000.000000,,110404000000.000000,5900000000.000000,7430201000.000000,75968000.000000,7354233000.000000,7430201000.000000,10582511000.000000,,134316712000.000000,288118595000.000000,220808000.000000
12M 2016,,,14219285000.000000,,2616354000.000000,,,,,32343626000.000000,43918921000.000000,93098186000.000000,,184238001000.000000,13772000.000000,728012000.000000,11911672000.000000,196891457000.000000,289989643000.000000,,,100253672000.000000,23711814000.000000,25451944000.000000,9314911000.000000,,5960148000.000000,,17308225000.000000,,17308225000.000000,18506630000.000000,100253672000.000000,54164009000.000000,,26185572000.000000,,26185572000.000000,11109903000.000000,,16868534000.000000,54164009000.000000,154417681000.000000,,110404000000.000000,6800000000.000000,7654878000.000000,75968000.000000,7578910000.000000,7654878000.000000,10659841000.000000,53243000.000000,135571962000.000000,289989643000.000000,220808000.000000
12M 2017,,,22763938000.000000,,2189253000.000000,,,,,28861107000.000000,45908391000.000000,99722689000.000000,,184427173000.000000,,1099929000.000000,20835328000.000000,206362430000.000000,306085119000.000000,,,111990277000.000000,25412550000.000000,28684592000.000000,9071722000.000000,,9174980000.000000,,18379173000.000000,,18379173000.000000,21267260000.000000,111990277000.000000,46654168000.000000,,17884682000.000000,,17884682000.000000,12963723000.000000,,15805763000.000000,46654168000.000000,158644445000.000000,,110404000000.000000,6800000000.000000,16513809000.000000,63443000.000000,16450366000.000000,16513809000.000000,13646897000.000000,75968000.000000,147440674000.000000,306085119000.000000,220808000.000000
