Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Operasional Lain,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan,Pembayaran Bunga,Pembayaran Operasional Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Akuisisi,Pemberian Piutang Kepada Pihak Berelasi,Penerimaan Piutang Dari Pihak Berelasi,Pembelian Investasi Saham,Penambahan Aset Sewa,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Additional Paid,Penerimaan Dari Hasil Ipo,Pembayaran Emisi Saham,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Pembayaran Utang Bank,Penerimaan Utang Bank,Pembayaran Dividen,Pembayaran Liabilitas Sewa,Penerimaan Tambahan Modal Disetor,Pembayaran Utang Pembiayaan,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Entitas Anak Yang Dilepas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,1884156818.000000,189361106564.000000,-180480582103.000000,-5783199104.000000,-896851433.000000,-316317106.000000,,1884156818.000000,-49840154353.000000,,-45350000000.000000,,,,10665454571.000000,-15155608924.000000,-49840154353.000000,51830343241.000000,,,,102136392431.000000,-29725217510.000000,-324000000.000000,,-17600000000.000000,-2638931680.000000,,-17900000.000000,,51830343241.000000,3874345706.000000,,4886305641.000000,8760651347.000000
12M 2022,-59010952452.000000,430644897170.000000,-478295828692.000000,-9875952431.000000,-1225622447.000000,-258446052.000000,,-59010952452.000000,-58256486874.000000,,-29689767855.000000,,-28000000000.000000,,20270274.000000,-586989293.000000,-58256486874.000000,118650751129.000000,,,-6456014195.000000,1519788663.000000,,-324000000.000000,,,-1075611339.000000,125000000000.000000,-13412000.000000,,118650751129.000000,1383311803.000000,,8760651347.000000,10143963150.000000
12M 2023,-956375497.000000,397928919654.000000,-377537877590.000000,-9298768918.000000,-2747729985.000000,-639445033.000000,-8661473625.000000,-956375497.000000,-158740732.000000,,,,,,18018018.000000,-176758750.000000,-158740732.000000,-7797734212.000000,,,,32834811198.000000,-39001937543.000000,-324000000.000000,,,-1187168434.000000,,-119439433.000000,,-7797734212.000000,-8912850441.000000,,10143963150.000000,1231112709.000000
12M 2024,-852738611.000000,263915550952.000000,-250400956262.000000,-8491348549.000000,,-788054048.000000,-5087930704.000000,-852738611.000000,-67800540.000000,,,,,,,-67800540.000000,-67800540.000000,699209562.000000,,,,30716955814.000000,-28918240293.000000,-324000000.000000,,,-650000000.000000,,-125505959.000000,,699209562.000000,-221329589.000000,,1231112709.000000,1009783120.000000
