Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,200886537120.000000,-172486689970.000000,28399847150.000000,-27309241727.000000,-8092922844.000000,-20224176133.000000,1007857250.000000,-27309241727.000000,1090605423.000000,-132585460.000000,707553161.000000,-840138621.000000,-132585460.000000,958019963.000000,-549349934.000000,,,,-549349934.000000,,,408670029.000000,-174536554.000000,-174536554.000000,-174536554.000000,234133475.000000,408670029.000000,408578082.000000,91947.000000,408670029.000000,234133475.000000,234231883.000000,-98408.000000,234133475.000000
12M 2022,449623068624.000000,-402164301280.000000,47458767344.000000,-29722277793.000000,-9213550232.000000,-24368241765.000000,3859514204.000000,-29722277793.000000,17736489551.000000,-299783616.000000,265326583.000000,-565110199.000000,-299783616.000000,17436705935.000000,-3655562389.000000,,,,-3655562389.000000,,,13781143546.000000,5045061433.000000,5045061433.000000,5045061433.000000,18826204979.000000,13781143546.000000,13780350311.000000,793235.000000,13781143546.000000,18826204979.000000,18827011633.000000,-806654.000000,18826204979.000000
12M 2023,404353571310.000000,-390931748356.000000,13421822954.000000,-36181675223.000000,-4441684678.000000,-25715232062.000000,-6024758483.000000,-36181675223.000000,-22759852269.000000,122881512.000000,946241565.000000,-823360053.000000,122881512.000000,-22636970757.000000,1980386273.000000,,,,1980386273.000000,,,-20656584484.000000,81052932.000000,81052932.000000,81052932.000000,-20575531552.000000,-20656584484.000000,-20655730421.000000,-854063.000000,-20656584484.000000,-20575531552.000000,-20574687222.000000,-844330.000000,-20575531552.000000
12M 2024,263480469443.000000,-271931394379.000000,-8450924936.000000,-21129458099.000000,-3873676127.000000,-25159363142.000000,7903581170.000000,-21129458099.000000,-29580383035.000000,-45556741.000000,863864956.000000,-909421697.000000,-45556741.000000,-29625939776.000000,-1268561913.000000,,,,-1268561913.000000,,,-30894501689.000000,-619334355.000000,-619334355.000000,-619334355.000000,-31513836044.000000,-30894501689.000000,-30894423139.000000,-78550.000000,-30894501689.000000,-31513836044.000000,-31513756034.000000,-80010.000000,-31513836044.000000
