Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,3569577383.000000,2263021010.000000,2263021010.000000,,2263021010.000000,,,,,1170350823.000000,250000000.000000,7252949216.000000,,9971419836.000000,9971419836.000000,,9971419836.000000,326742683.000000,36897075155.000000,589531294.000000,47784768968.000000,55037718184.000000,,,13660340215.000000,,2245673616.000000,7650392461.000000,9896066077.000000,,1000000000.000000,245658588.000000,1245658588.000000,413042302.000000,,,324000000.000000,,,324000000.000000,1781573248.000000,13660340215.000000,10910065537.000000,,9438964254.000000,,,9438964254.000000,1471101283.000000,10910065537.000000,24570405752.000000,,10200000000.000000,,19674521636.000000,,19674521636.000000,19674521636.000000,,592790796.000000,30467312432.000000,55037718184.000000,10200.000000
12M 2021,,,7508312441.000000,11273576931.000000,11273576931.000000,,11273576931.000000,618454545.000000,618454545.000000,,618454545.000000,2332277601.000000,138767585.000000,21871389103.000000,,,,,,285459128.000000,83697378981.000000,5360498020.000000,89343336129.000000,111214725232.000000,,,20313929589.000000,,15775365609.000000,135400000.000000,15910765609.000000,,,1360411230.000000,1360411230.000000,337089183.000000,404207663.000000,,324000000.000000,747642899.000000,,1071642899.000000,1229813005.000000,20313929589.000000,13022056650.000000,,9114964254.000000,2609550907.000000,,11724515161.000000,1297541489.000000,13022056650.000000,33335986239.000000,,75000000000.000000,,2161378345.000000,,,2161378345.000000,,717360648.000000,77878738993.000000,111214725232.000000,5000000000.000000
12M 2022,,,10143963150.000000,35853402986.000000,35853402986.000000,,35853402986.000000,,,,,49255703307.000000,7483968181.000000,102737037624.000000,,32038278530.000000,32038278530.000000,,32038278530.000000,249691685.000000,78504223513.000000,5194037910.000000,115986231638.000000,218723269262.000000,,,27115827906.000000,,11512341167.000000,1048970224.000000,12561311391.000000,,9276595245.000000,209883500.000000,9486478745.000000,2882842066.000000,120180791.000000,,324000000.000000,947474867.000000,80472000.000000,1351946867.000000,713068046.000000,27115827906.000000,11926397554.000000,,8790964254.000000,1859645094.000000,140826000.000000,10791435348.000000,1134962206.000000,11926397554.000000,39042225460.000000,,100000000000.000000,57968721312.000000,20415953187.000000,,,20415953187.000000,-77249.000000,1296446552.000000,179681043802.000000,218723269262.000000,5000000000.000000
12M 2023,,,1231112709.000000,42019783596.000000,42019783596.000000,,42019783596.000000,,,,,46441616706.000000,449476798.000000,90141989809.000000,,31190517986.000000,31190517986.000000,,31190517986.000000,2207216874.000000,72542744578.000000,5098013042.000000,111038492480.000000,201180482289.000000,,,31117704959.000000,,19909729129.000000,5248100181.000000,25157829310.000000,,2156748000.000000,1167301451.000000,3324049451.000000,350692217.000000,433356155.000000,,324000000.000000,947474867.000000,125505959.000000,1396980826.000000,454797000.000000,31117704959.000000,10957265080.000000,,8466964254.000000,856391680.000000,113776572.000000,9437132506.000000,1520132574.000000,10957265080.000000,42074970039.000000,,100000000000.000000,57968721312.000000,-239777234.000000,,,-239777234.000000,-921579.000000,1377489751.000000,159105512250.000000,201180482289.000000,5000000000.000000
12M 2024,,,1009783120.000000,39654297605.000000,39654297605.000000,,39654297605.000000,187000.000000,,187000.000000,187000.000000,10065438263.000000,20187280.000000,50749893268.000000,,28182006433.000000,28182006433.000000,,28182006433.000000,1113339011.000000,66349751043.000000,8165721988.000000,103810818475.000000,154560711743.000000,,,16178572375.000000,,9832698853.000000,49980000.000000,9882678853.000000,,946951968.000000,455729351.000000,1402681319.000000,960137443.000000,1282538522.000000,,324000000.000000,1275234196.000000,109485842.000000,1708720038.000000,941816200.000000,16178572375.000000,10790463162.000000,,8142964254.000000,,4290730.000000,8147254984.000000,2643208178.000000,10790463162.000000,26969035537.000000,,100000000000.000000,57968721312.000000,-31134200373.000000,,,-31134200373.000000,-1001589.000000,758156856.000000,127591676206.000000,154560711743.000000,5000000000.000000
