Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Berelasi,Pihak Ketiga,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Obligasi Pemerintah,Pihak Berelasi,Total Obligasi Pemerintah,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Piutang Pembiayaan Konsumen,Pihak Berelasi,Pihak Ketiga,Others,Total Piutang Pembiayaan Konsumen,Aset Tetap,Aset Tetap,Others,Total Aset Tetap,Aset Tak Berwujud,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Deposito Berjangka,Pihak Berelasi,Pihak Ketiga,Total Deposito Berjangka,Others,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Deposito Berjangka,Pihak Berelasi,Pihak Ketiga,Total Deposito Berjangka,Others,Total Simpanan Dari Bank Lain,Liabilitas Derivatif,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Derivatif,Liabilitas Akseptasi,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Akseptasi,Efek-Efek Yang Diterbitkan,Efek-Efek Yang Diterbitkan,Pihak Berelasi,Pihak Ketiga,Total Efek-Efek Yang Diterbitkan,Others,Total Efek-Efek Yang Diterbitkan,Liabilitas Pajak Tangguhan,Beban Akrual,Utang Pajak,Others,Total Utang Pajak,Pinjaman Yang Diterima,Pihak Berelasi,Pihak Ketiga,Obligasi Subordinasi,Pihak Berelasi,Pihak Ketiga,Total Obligasi Subordinasi,Others,Total Pinjaman Yang Diterima,Dana Syirkah Temporer,Others,Total Pihak Berelasi,Others,Total Pihak Ketiga,Others,Total Pihak Berelasi,Others,Total Pihak Ketiga,Others,Total Dana Syirkah Temporer,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,5909369000000.000000,28161059000000.000000,,,16833324000000.000000,,16833324000000.000000,,89466317000000.000000,89466317000000.000000,,783078000000.000000,137770474000000.000000,-13065168000000.000000,125488384000000.000000,,,,,,4531577000000.000000,,,4531577000000.000000,,,,,4096447000000.000000,44599113000000.000000,319085590000000.000000,,,852777000000.000000,247355023000000.000000,,181309000000.000000,94803949000000.000000,94985258000000.000000,152369765000000.000000,247355023000000.000000,5410341000000.000000,,2945659000000.000000,,2945659000000.000000,2464682000000.000000,5410341000000.000000,34348000000.000000,,34348000000.000000,34348000000.000000,5023235000000.000000,,5023235000000.000000,5023235000000.000000,4050564000000.000000,,30000000000.000000,4021467000000.000000,4051467000000.000000,-903000000.000000,4050564000000.000000,,540608000000.000000,1280398000000.000000,1280398000000.000000,1280398000000.000000,12280336000000.000000,,9345061000000.000000,,,2935275000000.000000,2935275000000.000000,,12280336000000.000000,,,,,,,,,,,,13007882000000.000000,289835512000000.000000,,10374776000000.000000,6570959000000.000000,8904837000000.000000,2611690000000.000000,6293147000000.000000,8904837000000.000000,6346000000.000000,3393160000000.000000,29250078000000.000000,319085590000000.000000,20749551742.000000
12M 2008,,8388974000000.000000,13354289000000.000000,,,29404818000000.000000,,29404818000000.000000,,88259039000000.000000,88259039000000.000000,,641263000000.000000,173858171000000.000000,-11861646000000.000000,162637788000000.000000,,,,,,4603560000000.000000,,,4603560000000.000000,,,,,6123919000000.000000,45666291000000.000000,358438678000000.000000,,,619798000000.000000,289112052000000.000000,,313909000000.000000,124757443000000.000000,125071352000000.000000,164040700000000.000000,289112052000000.000000,7718114000000.000000,,4565783000000.000000,,4565783000000.000000,3152331000000.000000,7718114000000.000000,160678000000.000000,,160678000000.000000,160678000000.000000,3842367000000.000000,,3842367000000.000000,3842367000000.000000,1016603000000.000000,,,1016603000000.000000,1016603000000.000000,,1016603000000.000000,,746808000000.000000,3174500000000.000000,3174500000000.000000,3174500000000.000000,12208158000000.000000,,9371508000000.000000,,,2836650000000.000000,2836650000000.000000,,12208158000000.000000,,,,,,,,,,,,9297662000000.000000,327896740000000.000000,,10452824000000.000000,6809056000000.000000,13179144000000.000000,5680357000000.000000,7498787000000.000000,13179144000000.000000,28069000000.000000,72845000000.000000,30541938000000.000000,358438678000000.000000,20905647788.000000
12M 2009,,8867881000000.000000,16055871000000.000000,,,41402410000000.000000,,41402410000000.000000,,89132940000000.000000,89132940000000.000000,,638057000000.000000,196488172000000.000000,-12435525000000.000000,184690704000000.000000,1404045000000.000000,,,,1404045000000.000000,4963306000000.000000,,,4963306000000.000000,,,,,6014085000000.000000,42085362000000.000000,394616604000000.000000,,,573557000000.000000,319550381000000.000000,,470237000000.000000,132588286000000.000000,133058523000000.000000,186491858000000.000000,319550381000000.000000,10786527000000.000000,,4943958000000.000000,,4943958000000.000000,5842569000000.000000,10786527000000.000000,41611000000.000000,,41611000000.000000,41611000000.000000,4356773000000.000000,,4356773000000.000000,4356773000000.000000,1671014000000.000000,,,1672619000000.000000,1672619000000.000000,-1605000000.000000,1671014000000.000000,,542921000000.000000,1855829000000.000000,1855829000000.000000,1855829000000.000000,10161424000000.000000,,3944356000000.000000,,,6217068000000.000000,6217068000000.000000,,10161424000000.000000,,,,,,,,,,,,9778304000000.000000,359318341000000.000000,,10485058000000.000000,6911587000000.000000,17858633000000.000000,5706921000000.000000,12151712000000.000000,17858633000000.000000,189494000000.000000,-146509000000.000000,35298263000000.000000,394616604000000.000000,20970116805.000000
12M 2010,,9521713000000.000000,24856699000000.000000,,,28914035000000.000000,,28914035000000.000000,,78092734000000.000000,78092734000000.000000,,799179000000.000000,243227805000000.000000,-11481725000000.000000,232545259000000.000000,2132823000000.000000,,,,2132823000000.000000,5527000000000.000000,,,5527000000000.000000,,,,,4401088000000.000000,63783200000000.000000,449774551000000.000000,,,757465000000.000000,337387909000000.000000,,1188078000000.000000,143955971000000.000000,145144049000000.000000,192243860000000.000000,337387909000000.000000,7202683000000.000000,,5422339000000.000000,,5422339000000.000000,1780344000000.000000,7202683000000.000000,33246000000.000000,,33246000000.000000,33246000000.000000,3950506000000.000000,,3950506000000.000000,3950506000000.000000,1491367000000.000000,,,1492744000000.000000,1492744000000.000000,-1377000000.000000,1491367000000.000000,,606975000000.000000,1408798000000.000000,1408798000000.000000,1408798000000.000000,11691410000000.000000,,5634838000000.000000,,,6056572000000.000000,6056572000000.000000,,11691410000000.000000,25251424000000.000000,,,24824245000000.000000,24824245000000.000000,,,427179000000.000000,427179000000.000000,25251424000000.000000,25251424000000.000000,17922732000000.000000,407704515000000.000000,,10498247000000.000000,6960680000000.000000,24442187000000.000000,5706921000000.000000,18735266000000.000000,24442187000000.000000,527228000000.000000,-358306000000.000000,42070036000000.000000,449774551000000.000000,20996494742.000000
12M 2011,,11357523000000.000000,36152674000000.000000,,1128238000000.000000,50411553000000.000000,-146729000000.000000,51393062000000.000000,,78459449000000.000000,78459449000000.000000,,37470066000000.000000,273623240000000.000000,-12105048000000.000000,298988258000000.000000,3185570000000.000000,,,,3185570000000.000000,6589594000000.000000,,,6589594000000.000000,,,,,3800412000000.000000,61965162000000.000000,551891704000000.000000,,,1830798000000.000000,384728603000000.000000,,31737658000000.000000,110592026000000.000000,142329684000000.000000,242398919000000.000000,384728603000000.000000,12317885000000.000000,,9001150000000.000000,690303000000.000000,9691453000000.000000,2626432000000.000000,12317885000000.000000,165378000000.000000,3880000000.000000,161498000000.000000,165378000000.000000,6551103000000.000000,287788000000.000000,6263315000000.000000,6551103000000.000000,2211588000000.000000,,203000000000.000000,2011177000000.000000,2214177000000.000000,-2589000000.000000,2211588000000.000000,,600545000000.000000,761737000000.000000,761737000000.000000,761737000000.000000,17555296000000.000000,977556000000.000000,10725942000000.000000,,2055900000000.000000,3795898000000.000000,5851798000000.000000,,17555296000000.000000,37857546000000.000000,6002057000000.000000,6002057000000.000000,31519744000000.000000,31519744000000.000000,,,335745000000.000000,335745000000.000000,37857546000000.000000,37857546000000.000000,24656817000000.000000,489237296000000.000000,,11666667000000.000000,17195760000000.000000,33505527000000.000000,5927268000000.000000,27578259000000.000000,33505527000000.000000,861189000000.000000,-574735000000.000000,62654408000000.000000,551891704000000.000000,23333333333.000000
12M 2012,,15286190000000.000000,38272155000000.000000,,1343968000000.000000,46979515000000.000000,-85258000000.000000,48238225000000.000000,,78935756000000.000000,78935756000000.000000,,45952610000000.000000,338629096000000.000000,-14011350000000.000000,370570356000000.000000,,5197000000.000000,3913949000000.000000,-90777000000.000000,3828369000000.000000,7002690000000.000000,,,7002690000000.000000,,860702000000.000000,,860702000000.000000,3966613000000.000000,68657652000000.000000,635618708000000.000000,,,1694231000000.000000,442837863000000.000000,,21604790000000.000000,123355461000000.000000,144960251000000.000000,297877612000000.000000,442837863000000.000000,14016837000000.000000,,,11444247000000.000000,11444247000000.000000,2572590000000.000000,14016837000000.000000,113257000000.000000,333000000.000000,112924000000.000000,113257000000.000000,7957512000000.000000,262481000000.000000,7695031000000.000000,7957512000000.000000,1545876000000.000000,,205000000000.000000,1343076000000.000000,1548076000000.000000,-2200000000.000000,1545876000000.000000,,2344762000000.000000,2662421000000.000000,2662421000000.000000,2662421000000.000000,16746782000000.000000,934868000000.000000,10673964000000.000000,,1936800000000.000000,3201150000000.000000,5137950000000.000000,,16746782000000.000000,40380074000000.000000,1978517000000.000000,1978517000000.000000,38097738000000.000000,38097738000000.000000,,,303819000000.000000,303819000000.000000,40380074000000.000000,40380074000000.000000,28786228000000.000000,559085843000000.000000,,11666667000000.000000,17195760000000.000000,46079465000000.000000,5927268000000.000000,40152197000000.000000,46079465000000.000000,1952745000000.000000,-361772000000.000000,76532865000000.000000,635618708000000.000000,23333333333.000000
12M 2013,,19051934000000.000000,43904419000000.000000,,916782000000.000000,44302651000000.000000,-105599000000.000000,45113834000000.000000,,82227428000000.000000,82227428000000.000000,,57315200000000.000000,409855249000000.000000,-16535651000000.000000,450634798000000.000000,,5738000000.000000,4639163000000.000000,-133356000000.000000,4511545000000.000000,7645598000000.000000,,,7645598000000.000000,,1160255000000.000000,,1160255000000.000000,4322498000000.000000,74527453000000.000000,733099762000000.000000,,,762130000000.000000,508996256000000.000000,,27976500000000.000000,141574497000000.000000,169550997000000.000000,339445259000000.000000,508996256000000.000000,12443313000000.000000,,,8109444000000.000000,8109444000000.000000,4333869000000.000000,12443313000000.000000,226168000000.000000,372000000.000000,225796000000.000000,226168000000.000000,10178370000000.000000,445929000000.000000,9732441000000.000000,10178370000000.000000,1779597000000.000000,,328000000000.000000,1454862000000.000000,1782862000000.000000,-3265000000.000000,1779597000000.000000,,3326475000000.000000,2126864000000.000000,2126864000000.000000,2126864000000.000000,20462803000000.000000,778314000000.000000,15218874000000.000000,,1939800000000.000000,2525815000000.000000,4465615000000.000000,,20462803000000.000000,47573678000000.000000,1026046000000.000000,1026046000000.000000,46319359000000.000000,46319359000000.000000,,,228273000000.000000,228273000000.000000,47573678000000.000000,47573678000000.000000,36433512000000.000000,644309166000000.000000,,11666667000000.000000,17316192000000.000000,59631998000000.000000,7431162000000.000000,52200836000000.000000,59631998000000.000000,1371359000000.000000,-1195620000000.000000,88790596000000.000000,733099762000000.000000,23333333333.000000
12M 2014,,20704563000000.000000,50598840000000.000000,,1503078000000.000000,59709674000000.000000,-95147000000.000000,61117605000000.000000,,86153906000000.000000,86153906000000.000000,,67613532000000.000000,455488285000000.000000,-17706947000000.000000,505394870000000.000000,,7420000000.000000,6080567000000.000000,-194852000000.000000,5893135000000.000000,8928856000000.000000,,,8928856000000.000000,,1644583000000.000000,,1644583000000.000000,4189120000000.000000,110414195000000.000000,855039673000000.000000,,,1156366000000.000000,583448911000000.000000,,33459942000000.000000,190474155000000.000000,223934097000000.000000,359514814000000.000000,583448911000000.000000,17531845000000.000000,,,11140783000000.000000,11140783000000.000000,6391062000000.000000,17531845000000.000000,157055000000.000000,8679000000.000000,148376000000.000000,157055000000.000000,13114059000000.000000,1366249000000.000000,11747810000000.000000,13114059000000.000000,2009625000000.000000,,437000000000.000000,1575256000000.000000,2012256000000.000000,-2631000000.000000,2009625000000.000000,,3880273000000.000000,1875141000000.000000,1875141000000.000000,1875141000000.000000,27973678000000.000000,252149000000.000000,23974955000000.000000,,1909800000000.000000,1836774000000.000000,3746574000000.000000,,27973678000000.000000,53175487000000.000000,492425000000.000000,492425000000.000000,52440757000000.000000,52440757000000.000000,,,242305000000.000000,242305000000.000000,53175487000000.000000,53175487000000.000000,45872671000000.000000,750195111000000.000000,,11666667000000.000000,17316192000000.000000,74042745000000.000000,9779446000000.000000,64263299000000.000000,74042745000000.000000,2186681000000.000000,-367723000000.000000,104844562000000.000000,855039673000000.000000,23333333333.000000
12M 2015,,25109124000000.000000,56314316000000.000000,,1991278000000.000000,35396345000000.000000,-66760000000.000000,37320863000000.000000,,103869361000000.000000,103869361000000.000000,,75405807000000.000000,511269630000000.000000,-22281842000000.000000,564393595000000.000000,,5886000000.000000,8172177000000.000000,-270614000000.000000,7907449000000.000000,9761688000000.000000,,,9761688000000.000000,,1915192000000.000000,,1915192000000.000000,4834522000000.000000,98637299000000.000000,910063409000000.000000,,,1156327000000.000000,622332331000000.000000,,37257210000000.000000,163968994000000.000000,201226204000000.000000,421106127000000.000000,622332331000000.000000,12636237000000.000000,,,5127585000000.000000,5127585000000.000000,7508652000000.000000,12636237000000.000000,299079000000.000000,3095000000.000000,295984000000.000000,299079000000.000000,11331273000000.000000,606737000000.000000,10724536000000.000000,11331273000000.000000,2398178000000.000000,,587750000000.000000,1815018000000.000000,2402768000000.000000,-4590000000.000000,2398178000000.000000,,3490801000000.000000,2131616000000.000000,,2131616000000.000000,37502374000000.000000,25178000000.000000,33739493000000.000000,,1687800000000.000000,2053867000000.000000,3741667000000.000000,-3964000000.000000,37502374000000.000000,54372863000000.000000,666356000000.000000,666356000000.000000,53388574000000.000000,53388574000000.000000,,,317933000000.000000,317933000000.000000,54372863000000.000000,54372863000000.000000,42920489000000.000000,790571568000000.000000,,11666667000000.000000,17316192000000.000000,89224718000000.000000,12402382000000.000000,76822336000000.000000,89224718000000.000000,2421551000000.000000,-1137287000000.000000,119491841000000.000000,910063409000000.000000,23333333333.000000
12M 2016,,22906775000000.000000,52484974000000.000000,,1725571000000.000000,71974664000000.000000,-83308000000.000000,73616927000000.000000,,98933278000000.000000,98933278000000.000000,,100201483000000.000000,549121470000000.000000,-32616760000000.000000,616706193000000.000000,,10532000000.000000,11844684000000.000000,-323378000000.000000,11531838000000.000000,,44736920000000.000000,-9073630000000.000000,35663290000000.000000,,4213322000000.000000,-2257826000000.000000,1955496000000.000000,5990101000000.000000,118917137000000.000000,1038706009000000.000000,,,1569911000000.000000,702060230000000.000000,,46271999000000.000000,191635079000000.000000,237907078000000.000000,464153152000000.000000,702060230000000.000000,9339196000000.000000,,286210000000.000000,3471269000000.000000,3757479000000.000000,5581717000000.000000,9339196000000.000000,502469000000.000000,10058000000.000000,492411000000.000000,502469000000.000000,14789244000000.000000,2481708000000.000000,12307536000000.000000,14789244000000.000000,9025994000000.000000,,3662000000000.000000,5398035000000.000000,9060035000000.000000,-34041000000.000000,9025994000000.000000,,3743496000000.000000,1258792000000.000000,,1258792000000.000000,36098189000000.000000,,35882757000000.000000,,,215432000000.000000,215432000000.000000,,36098189000000.000000,60776388000000.000000,914391000000.000000,914391000000.000000,59526083000000.000000,59526083000000.000000,,,335914000000.000000,335914000000.000000,60776388000000.000000,60776388000000.000000,46172377000000.000000,885336286000000.000000,,11666667000000.000000,17316192000000.000000,96930793000000.000000,5380268000000.000000,91550525000000.000000,96930793000000.000000,2915785000000.000000,24540286000000.000000,153369723000000.000000,1038706009000000.000000,23333333333.000000
